"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh12tg-TG01","Braixen","Pokémon","90","Fire","Delphox","Fennekin","TG01","Naoki Saito","Trainer Gallery Rare Holo","When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.","654","F","https://images.pokemontcg.io/swsh12tg/TG01.png","https://images.pokemontcg.io/swsh12tg/TG01_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Combustion","Fire","1","30","","Flare Parade","Colorless, Colorless","2","60×","This attack does 60 damage for each Serena card in your discard pile.","Water","×2"
"swsh12tg-TG02","Milotic","Pokémon","130","Water","","Feebas","TG02","chibi","Trainer Gallery Rare Holo","Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.","350","F","https://images.pokemontcg.io/swsh12tg/TG02.png","https://images.pokemontcg.io/swsh12tg/TG02_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Water Arrow","Water","1","","This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Mellow Wave","Water, Colorless","2","60","Your opponent's Active Pokémon is now Asleep.","Lightning","×2"
"swsh12tg-TG03","Flaaffy","Pokémon","90","Lightning","Ampharos","Mareep","TG03","saino misaki","Trainer Gallery Rare Holo","It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches.","180","E","https://images.pokemontcg.io/swsh12tg/TG03.png","https://images.pokemontcg.io/swsh12tg/TG03_hires.png","Legal",,"Legal","Colorless, Colorless","2","Dynamotor","Once during your turn (before your attack), you may attach a Lightning Energy card from your discard pile to 1 of your Benched Pokémon.","Ability","","","","Electro Ball","Lightning, Lightning, Colorless","3","50","","","","","","","Fighting","×2"
"swsh12tg-TG04","Jynx","Pokémon","100","Psychic","",,"TG04","HYOGONOSUKE","Trainer Gallery Rare Holo","In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.","124","F","https://images.pokemontcg.io/swsh12tg/TG04.png","https://images.pokemontcg.io/swsh12tg/TG04_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Selfish Lips","If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon V, your opponent can't take any Prize cards for it.","Ability","","","","Psychic Assault","Colorless, Colorless","2","10+","This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.","","","","","","Darkness","×2"
"swsh12tg-TG05","Gardevoir","Pokémon","150","Psychic","","Kirlia","TG05","AKIRA EGAWA","Trainer Gallery Rare Holo","It has the power to predict the future. Its power peaks when it is protecting its Trainer.","282","F","https://images.pokemontcg.io/swsh12tg/TG05.png","https://images.pokemontcg.io/swsh12tg/TG05_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Refinement","You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.","Ability","","","","Magical Shot","Psychic, Colorless","2","120","","","","","","","Metal","×2"
"swsh12tg-TG06","Malamar","Pokémon","120","Psychic","","Inkay","TG06","Fumie Kittaka","Trainer Gallery Rare Holo","It's said that Malamar's hypnotic powers played a role in certain history-changing events.","687","E","https://images.pokemontcg.io/swsh12tg/TG06.png","https://images.pokemontcg.io/swsh12tg/TG06_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Rapid Strike Tentacles","Psychic","1","40×","Reveal any number of Rapid Strike cards from your hand. This attack does 40 damage for each card you revealed in this way. Then, shuffle those cards into your deck.","","","","","","Darkness","×2"
"swsh12tg-TG07","Rockruff","Pokémon","70","Fighting","Lycanroc",,"TG07","Hideki Ishikawa","Trainer Gallery Rare Holo","When it rubs the rocks on its neck against you, that's proof of its love for you. However, the rocks are sharp, so the gesture is quite painful!","744","E","https://images.pokemontcg.io/swsh12tg/TG07.png","https://images.pokemontcg.io/swsh12tg/TG07_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Crunch","Fighting, Fighting","2","30","Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.","","","","","","Grass","×2"
"swsh12tg-TG08","Passimian","Pokémon","110","Fighting","",,"TG08","nagimiso","Trainer Gallery Rare Holo","Passimian live in groups of about 20, with each member performing an assigned role. Through cooperation, the group survives.","766","E","https://images.pokemontcg.io/swsh12tg/TG08.png","https://images.pokemontcg.io/swsh12tg/TG08_hires.png","Legal",,"Legal","Colorless","1","Throwing Coach","Your Rapid Strike Pokémon's attacks do 30 more damage to your opponent's Benched Pokémon V and Benched Pokémon-GX (before applying Weakness and Resistance). You can't apply more than 1 Throwing Coach Ability at a time.","Ability","","","","Fling","Fighting","1","","This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Psychic","×2"
"swsh12tg-TG09","Druddigon","Pokémon","120","Dragon","",,"TG09","Teeziro","Trainer Gallery Rare Holo","Druddigon are vicious and cunning. They take up residence in nests dug out by other Pokémon, treating the stolen nests as their own lairs.","621","E","https://images.pokemontcg.io/swsh12tg/TG09.png","https://images.pokemontcg.io/swsh12tg/TG09_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Revenge","Fire, Water","2","40+","If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, this attack does 120 more damage.","Dragon Claw","Fire, Water, Colorless","3","120","",,
"swsh12tg-TG10","Smeargle","Pokémon","70","Colorless","",,"TG10","KIYOTAKA OSHIYAMA","Trainer Gallery Rare Holo","It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them.","235","F","https://images.pokemontcg.io/swsh12tg/TG10.png","https://images.pokemontcg.io/swsh12tg/TG10_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Colorful Palette","Colorless","1","","Look at the top 5 cards of your deck. You may attach any number of basic Energy cards you find there to 1 of your Pokémon. Shuffle the other cards back into your deck.","Ram","Colorless, Colorless","2","30","","Fighting","×2"
