"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh45-1","Yanma","Pokemon","80","Grass","Yanmega",,"1","Kouki Saitou","Common","If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.","193","E","https://images.pokemontcg.io/swsh45/1.png","https://images.pokemontcg.io/swsh45/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Grass","1","10","","Wing Attack","Grass, Colorless","2","30","","Fire","x2"
"swsh45-2","Yanmega","Pokemon","120","Grass","","Yanma","2","Souichirou Gunjima","Rare","This six-legged Pokemon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.","469","E","https://images.pokemontcg.io/swsh45/2.png","https://images.pokemontcg.io/swsh45/2_hires.png","Legal",,"Legal","",,"","","","","","","Bug Bite","Grass","1","30","","Nosedive","Grass, Colorless","2","120","This Pokemon also does 30 damage to itself.","Fire","x2"
"swsh45-3","Celebi","Pokemon","70","Grass","",,"3","Yuu Nishida","Rare","It has the power to travel across time, but it is said to appear only in peaceful times.","251","E","https://images.pokemontcg.io/swsh45/3.png","https://images.pokemontcg.io/swsh45/3_hires.png","Legal",,"Legal","Colorless","1","Woodland Stroll","Once during your turn, if this Pokemon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Energy card you find there, and put it into your hand. Shuffle the other cards back into your deck.","Ability","","","","Leaf Step","Grass, Colorless, Colorless","3","40","","","","","","","Fire","x2"
"swsh45-4","Cacnea","Pokemon","70","Grass","Cacturne",,"4","Uta","Common","It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.","331","E","https://images.pokemontcg.io/swsh45/4.png","https://images.pokemontcg.io/swsh45/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Pierce","Grass, Grass","2","50","","","","","","","Fire","x2"
"swsh45-5","Tropius","Pokemon","110","Grass","",,"5","Akira Komayama","Uncommon","Bunches of delicious fruit grow around its neck. In warm areas, many ranches raise Tropius.","357","E","https://images.pokemontcg.io/swsh45/5.png","https://images.pokemontcg.io/swsh45/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Attach Leaves","Colorless","1","","Attach up to 2 Grass Energy cards from your discard pile to your Benched Pokemon in any way you like.","Gust","Grass, Colorless","2","30","","Fire","x2"
"swsh45-6","Rowlet","Pokemon","50","Grass","Dartrix",,"6","HYOGONOSUKE","Common","At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks.","722","D","https://images.pokemontcg.io/swsh45/6.png","https://images.pokemontcg.io/swsh45/6_hires.png","Legal",,"Legal","Colorless","1","Sky Circus","If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokemon's attack costs.","Ability","","","","Wind Shard","Colorless, Colorless, Colorless","3","","This attack does 60 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"swsh45-7","Dartrix","Pokemon","80","Grass","Decidueye","Rowlet","7","AKIRA EGAWA","Uncommon","It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point. These feathers are known as blade quills.","723","D","https://images.pokemontcg.io/swsh45/7.png","https://images.pokemontcg.io/swsh45/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Razor Leaf","Grass","1","40","","","","","","","Fire","x2"
"swsh45-8","Decidueye","Pokemon","140","Grass","","Dartrix","8","Ryota Murayama","Rare Holo","As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye's shots never miss.","724","D","https://images.pokemontcg.io/swsh45/8.png","https://images.pokemontcg.io/swsh45/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","Deep Forest Camo","Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon V and Pokemon-GX.","Ability","","","","Splitting Arrow","Grass, Colorless","2","90","This attack also does 20 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"swsh45-9","Dhelmise V","Pokemon","220","Grass","",,"9","Eske Yoshinob","Rare Holo V",,"781","D","https://images.pokemontcg.io/swsh45/9.png","https://images.pokemontcg.io/swsh45/9_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Anchor Anger","Grass","1","30+","If any of your Grass Pokemon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.","Giga Hammer","Grass, Grass, Colorless","3","200","During your next turn, this Pokemon can't use Giga Hammer.","Fire","x2"
"swsh45-10","Dhelmise VMAX","Pokemon","330","Grass","","Dhelmise V","10","PLANETA Mochizuki","Rare Holo VMAX",,"781","D","https://images.pokemontcg.io/swsh45/10.png","https://images.pokemontcg.io/swsh45/10_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Swinging Chain","Grass","1","","This attack does 30 damage to 1 of your opponent's Pokemon for each Grass Energy attached to this Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Max Anchor","Grass, Grass, Colorless","3","240","During your next turn, this Pokemon can't use Max Anchor.","Fire","x2"
"swsh45-11","Grookey","Pokemon","60","Grass","Thwackey",,"11","Naoki Saito","Common","When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.","810","D","https://images.pokemontcg.io/swsh45/11.png","https://images.pokemontcg.io/swsh45/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Swipes","Colorless","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"swsh45-12","Thwackey","Pokemon","90","Grass","Rillaboom","Grookey","12","0313","Uncommon","The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.","811","D","https://images.pokemontcg.io/swsh45/12.png","https://images.pokemontcg.io/swsh45/12_hires.png","Legal",,"Legal","Colorless, Colorless","2","Lay of the Land","If you have a Stadium in play, this Pokemon has no Retreat Cost.","Ability","","","","Branch Poke","Grass","1","20","","","","","","","Fire","x2"
"swsh45-13","Rillaboom","Pokemon","170","Grass","","Thwackey","13","Anesaki Dynamic","Rare Holo","By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.","812","D","https://images.pokemontcg.io/swsh45/13.png","https://images.pokemontcg.io/swsh45/13_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Voltage Beat","Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.","Ability","","","","Hammer In","Grass, Grass, Grass, Colorless","4","140","","","","","","","Fire","x2"
"swsh45-14","Gossifleur","Pokemon","60","Grass","Eldegoss",,"14","Yukiko Baba","Common","It whirls around in the wind while singing a joyous song. This delightful display has charmed many into raising this Pokemon.","829","E","https://images.pokemontcg.io/swsh45/14.png","https://images.pokemontcg.io/swsh45/14_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Leafage","Colorless","1","10","","","","","","","Fire","x2"
"swsh45-15","Eldegoss","Pokemon","90","Grass","","Gossifleur","15","kodama","Uncommon","The cotton on the head of this Pokemon can be spun into a glossy, gorgeous yarn—a Galar regional specialty.","830","E","https://images.pokemontcg.io/swsh45/15.png","https://images.pokemontcg.io/swsh45/15_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Enriching Seeds","Colorless","1","","Heal all damage from 1 of your Benched Pokemon.","Surprise Attack","Grass","1","50","Flip a coin. If tails, this attack does nothing.","Fire","x2"
"swsh45-16","Zarude","Pokemon","120","Grass","",,"16","Kouki Saitou","Rare","Once the vines on Zarude's body tear off, they become nutrients in the soil. This helps the plants of the forest grow.","893","E","https://images.pokemontcg.io/swsh45/16.png","https://images.pokemontcg.io/swsh45/16_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Suctioning Vines","Grass, Colorless","2","30","Heal 30 damage from this Pokemon.","Jungle Blast","Grass, Grass, Colorless","3","110","","Fire","x2"
"swsh45-17","Reshiram","Pokemon","120","Fire","",,"17","PLANETA Tsuji","Amazing Rare","When Reshiram's tail flares, the heat energy moves the atmosphere and changes the world's weather.","643","D","https://images.pokemontcg.io/swsh45/17.png","https://images.pokemontcg.io/swsh45/17_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Amazing Blaze","Fire, Lightning, Darkness","3","270","This Pokemon also does 60 damage to itself.","","","","","","Water","x2"
"swsh45-18","Cinderace V","Pokemon","210","Fire","",,"18","5ban Graphics","Rare Holo V",,"815","D","https://images.pokemontcg.io/swsh45/18.png","https://images.pokemontcg.io/swsh45/18_hires.png","Legal",,"Legal","Colorless, Colorless","2","Field Runner","If a Stadium is in play, this Pokemon has no Retreat Cost.","Ability","","","","Crimson Legs","Fire, Fire, Colorless","3","140","","","","","","","Water","x2"
"swsh45-19","Cinderace VMAX","Pokemon","320","Fire","","Cinderace V","19","PLANETA Mochizuki","Rare Holo VMAX",,"815","D","https://images.pokemontcg.io/swsh45/19.png","https://images.pokemontcg.io/swsh45/19_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Counter","Fire, Colorless","2","30+","If this Pokemon was damaged by an attack during your opponent's last turn, this attack does that much more damage.","Max Pyro Ball","Fire, Fire, Colorless","3","170","Your opponent's Active Pokemon is now Burned.","Water","x2"
"swsh45-20","Horsea","Pokemon","40","Water","Seadra",,"20","Taira Akitsu","Common","It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.","116","E","https://images.pokemontcg.io/swsh45/20.png","https://images.pokemontcg.io/swsh45/20_hires.png","Legal",,"Legal","",,"","","","","","","Water Gun","Water","1","10","","","","","","","Lightning","x2"
"swsh45-21","Kyogre","Pokemon","120","Water","",,"21","Anesaki Dynamic","Amazing Rare","It is said to have widened the seas by causing downpours. It had been asleep in a marine trench.","382","D","https://images.pokemontcg.io/swsh45/21.png","https://images.pokemontcg.io/swsh45/21_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Amazing Surge","Water, Lightning, Metal, Colorless","4","","This attack does 80 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Lightning","x2"
"swsh45-22","Buizel","Pokemon","70","Water","Floatzel",,"22","ryoma uratsuka","Common","It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.","418","E","https://images.pokemontcg.io/swsh45/22.png","https://images.pokemontcg.io/swsh45/22_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Rain Splash","Water","1","20","","","","","","","Lightning","x2"
"swsh45-23","Floatzel","Pokemon","110","Water","","Buizel","23","AKIRA EGAWA","Uncommon","Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.","419","E","https://images.pokemontcg.io/swsh45/23.png","https://images.pokemontcg.io/swsh45/23_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Surf","Water","1","50","","","","","","","Lightning","x2"
"swsh45-24","Manaphy","Pokemon","70","Water","",,"24","Narumi Sato","Rare","It starts its life with a wondrous power that permits it to bond with any kind of Pokemon.","490","E","https://images.pokemontcg.io/swsh45/24.png","https://images.pokemontcg.io/swsh45/24_hires.png","Legal",,"Legal","Colorless","1","Ocean Search","Once during your turn, if this Pokemon is in the Active Spot, you may look at the top 6 cards of your deck, reveal a Pokemon you find there, and put it into your hand. Shuffle the other cards back into your deck.","Ability","","","","Wave Splash","Water, Colorless","2","30","","","","","","","Lightning","x2"
"swsh45-25","Volcanion","Pokemon","130","Water","",,"25","nagimiso","Rare","It expels its internal steam from the arms on its back. It has enough power to blow away a mountain.","721","E","https://images.pokemontcg.io/swsh45/25.png","https://images.pokemontcg.io/swsh45/25_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Hammer In","Water, Colorless","2","50","","Dynamite Steam","Water, Water, Water, Colorless","4","120x","Flip 2 coins. This attack does 120 damage for each heads.","Lightning","x2"
"swsh45-26","Chewtle","Pokemon","80","Water","Drednaw",,"26","sowsow","Common","It starts off battles by attacking with its rock-hard horn, but as soon as the opponent flinches, this Pokemon bites down and never lets go.","833","E","https://images.pokemontcg.io/swsh45/26.png","https://images.pokemontcg.io/swsh45/26_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Tackle","Water","1","10","","Bite","Water, Colorless","2","30","","Lightning","x2"
"swsh45-27","Drednaw","Pokemon","140","Water","","Chewtle","27","Masakazu Fukuda","Rare","This Pokemon rapidly extends its retractable neck to sink its sharp fangs into distant enemies and take them down.","834","E","https://images.pokemontcg.io/swsh45/27.png","https://images.pokemontcg.io/swsh45/27_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Exoskeleton","This Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).","Ability","","","","Skull Bash","Water, Water, Colorless","3","130","","","","","","","Lightning","x2"
"swsh45-28","Cramorant","Pokemon","90","Water","",,"28","HYOGONOSUKE","Uncommon","This hungry Pokemon swallows Arrokuda whole. Occasionally, it makes a mistake and tries to swallow a Pokemon other than its preferred prey.","845","E","https://images.pokemontcg.io/swsh45/28.png","https://images.pokemontcg.io/swsh45/28_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Spit-Out Shot","Water, Water","2","","This attack does 50 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Lightning","x2"
"swsh45-29","Snom","Pokemon","50","Water","Frosmoth",,"29","Tika Matsuno","Common","It spits out thread imbued with a frigid sort of energy and uses it to tie its body to branches, disguising itself as an icicle while it sleeps.","872","D","https://images.pokemontcg.io/swsh45/29.png","https://images.pokemontcg.io/swsh45/29_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Call for Family","Water","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","","","","","","Metal","x2"
"swsh45-30","Frosmoth","Pokemon","90","Water","","Snom","30","Kagemaru Himeno","Rare Holo","It shows no mercy to any who desecrate fields and mountains. It will fly around on its icy wings, causing a blizzard to chase offenders away.","873","D","https://images.pokemontcg.io/swsh45/30.png","https://images.pokemontcg.io/swsh45/30_hires.png","Legal",,"Legal","Colorless, Colorless","2","Ice Dance","As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokemon.","Ability","","","","Aurora Beam","Water, Colorless","2","30","","","","","","","Metal","x2"
"swsh45-31","Shinx","Pokemon","60","Lightning","Luxio",,"31","Uta","Common","All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.","403","D","https://images.pokemontcg.io/swsh45/31.png","https://images.pokemontcg.io/swsh45/31_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Under Pressure","Lightning","1","10+","If your opponent has 3 or fewer Prize cards remaining, this attack does 50 more damage.","","","","","","Fighting","x2"
"swsh45-32","Luxio","Pokemon","90","Lightning","Luxray","Shinx","32","NC Empire","Uncommon","Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.","404","D","https://images.pokemontcg.io/swsh45/32.png","https://images.pokemontcg.io/swsh45/32_hires.png","Legal",,"Legal","Colorless","1","Top Entry","Once during your turn, if you drew this Pokemon from your deck at the beginning of your turn and your Bench isn't full, before you put it into your hand, you may put it onto your Bench.","Ability","","","","Zap Kick","Lightning","1","30","","","","","","","Fighting","x2"
"swsh45-33","Luxray","Pokemon","160","Lightning","","Luxio","33","Hasuno","Rare Holo","Luxray's ability to see through objects comes in handy when it's scouting for danger.","405","D","https://images.pokemontcg.io/swsh45/33.png","https://images.pokemontcg.io/swsh45/33_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Raid","Lightning","1","60+","If this Pokemon evolved from Luxio during this turn, this attack does 100 more damage.","Head Bolt","Lightning, Colorless","2","120","","Fighting","x2"
"swsh45-34","Rotom","Pokemon","80","Lightning","",,"34","ryoma uratsuka","Uncommon","One boy's invention led to the development of many different machines that take advantage of Rotom's unique capabilities.","479","D","https://images.pokemontcg.io/swsh45/34.png","https://images.pokemontcg.io/swsh45/34_hires.png","Legal",,"Legal","Colorless","1","Roto Choice","When you play this Pokemon from your hand onto your Bench during your turn, you may search your deck for up to 2 Item cards that have the word ""Rotom"" in their name, reveal them, and put them into your hand. Then, shuffle your deck.","Ability","","","","Thunder Shock","Lightning, Colorless","2","30","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Fighting","x2"
"swsh45-35","Morpeko","Pokemon","80","Lightning","",,"35","Saya Tsuruta","Common","As it eats the seeds stored up in its pocket-like pouches, this Pokemon is not just satisfying its constant hunger. It's also generating electricity.","877","D","https://images.pokemontcg.io/swsh45/35.png","https://images.pokemontcg.io/swsh45/35_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Famished","Colorless","1","","Draw a card.","Thunder Shock","Lightning, Colorless","2","40","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Fighting","x2"
"swsh45-36","Morpeko","Pokemon","80","Lightning","",,"36","Hideki Ishikawa","Common","As it eats the seeds stored up in its pocket-like pouches, this Pokemon is not just satisfying its constant hunger. It's also generating electricity.","877","D","https://images.pokemontcg.io/swsh45/36.png","https://images.pokemontcg.io/swsh45/36_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Famished","Colorless","1","","Draw a card.","Thunder Shock","Lightning, Colorless","2","40","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Fighting","x2"
