"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh45sv-SV001","Rowlet","Pokemon","50","Grass","Dartrix",,"SV001","Akira Komayama","Rare Shiny","At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks.","722","D","https://images.pokemontcg.io/swsh45sv/SV001.png","https://images.pokemontcg.io/swsh45sv/SV001_hires.png","Legal",,"Legal","Colorless","1","Sky Circus","If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokemon's attack costs.","Ability","","","","Wind Shard","Colorless, Colorless, Colorless","3","","This attack does 60 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"swsh45sv-SV002","Dartrix","Pokemon","80","Grass","Decidueye","Rowlet","SV002","Masakazu Fukuda","Rare Shiny","It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point. These feathers are known as blade quills.","723","D","https://images.pokemontcg.io/swsh45sv/SV002.png","https://images.pokemontcg.io/swsh45sv/SV002_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Razor Leaf","Grass","1","40","","","","","","","Fire","x2"
"swsh45sv-SV003","Decidueye","Pokemon","140","Grass","","Dartrix","SV003","nagimiso","Rare Shiny","As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye's shots never miss.","724","D","https://images.pokemontcg.io/swsh45sv/SV003.png","https://images.pokemontcg.io/swsh45sv/SV003_hires.png","Legal",,"Legal","Colorless, Colorless","2","Deep Forest Camo","Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon V and Pokemon-GX.","Ability","","","","Splitting Arrow","Grass, Colorless","2","90","This attack also does 20 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"swsh45sv-SV004","Grookey","Pokemon","60","Grass","Thwackey",,"SV004","Sanosuke Sakuma","Rare Shiny","When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.","810","D","https://images.pokemontcg.io/swsh45sv/SV004.png","https://images.pokemontcg.io/swsh45sv/SV004_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Swipes","Colorless","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"swsh45sv-SV005","Thwackey","Pokemon","90","Grass","Rillaboom","Grookey","SV005","tetsuya koizumi","Rare Shiny","The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.","811","D","https://images.pokemontcg.io/swsh45sv/SV005.png","https://images.pokemontcg.io/swsh45sv/SV005_hires.png","Legal",,"Legal","Colorless, Colorless","2","Lay of the Land","If you have a Stadium in play, this Pokemon has no Retreat Cost.","Ability","","","","Branch Poke","Grass","1","20","","","","","","","Fire","x2"
"swsh45sv-SV006","Rillaboom","Pokemon","170","Grass","","Thwackey","SV006","Ryuta Fuse","Rare Shiny","By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.","812","D","https://images.pokemontcg.io/swsh45sv/SV006.png","https://images.pokemontcg.io/swsh45sv/SV006_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Voltage Beat","Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.","Ability","","","","Hammer In","Grass, Grass, Grass, Colorless","4","140","","","","","","","Fire","x2"
"swsh45sv-SV007","Blipbug","Pokemon","50","Grass","Dottler",,"SV007","Kyoko Umemoto","Rare Shiny","Often found in gardens, this Pokemon has hairs on its body that it uses to assess its surroundings.","824","D","https://images.pokemontcg.io/swsh45sv/SV007.png","https://images.pokemontcg.io/swsh45sv/SV007_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gnaw","Grass","1","20","","","","","","","Fire","x2"
"swsh45sv-SV008","Dottler","Pokemon","70","Grass","Orbeetle","Blipbug","SV008","tetsuya koizumi","Rare Shiny","As it grows inside its shell, it uses its psychic abilities to monitor the outside world and prepare for evolution.","825","D","https://images.pokemontcg.io/swsh45sv/SV008.png","https://images.pokemontcg.io/swsh45sv/SV008_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Reflect","Colorless","1","","During your opponent's next turn, this Pokemon takes 40 less damage from attacks (after applying Weakness and Resistance).","Ram","Grass, Colorless","2","30","","Fire","x2"
"swsh45sv-SV009","Orbeetle","Pokemon","130","Grass","","Dottler","SV009","SATOSHI NAKAI","Rare Shiny","It emits psychic energy to observe and study what's around it—and what's around it can include things over six miles away.","826","D","https://images.pokemontcg.io/swsh45sv/SV009.png","https://images.pokemontcg.io/swsh45sv/SV009_hires.png","Legal",,"Legal","Colorless","1","Bug's Radar","Once during your turn, you may look at the top 3 cards of your opponent's deck and put them back in any order.","Ability","","","","Brainwave","Grass, Colorless","2","90+","This attack does 30 more damage for each Psychic Energy attached to this Pokemon.","","","","","","Fire","x2"
"swsh45sv-SV010","Gossifleur","Pokemon","50","Grass","Eldegoss",,"SV010","Kyoko Umemoto","Rare Shiny","It whirls around in the wind while singing a joyous song. This delightful display has charmed many into raising this Pokemon.","829","D","https://images.pokemontcg.io/swsh45sv/SV010.png","https://images.pokemontcg.io/swsh45sv/SV010_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Call for Family","Colorless","1","","Search your deck for up to 3 Basic Pokemon and put them onto your Bench. Then, shuffle your deck.","Razor Leaf","Grass","1","10","","Fire","x2"
