"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"tk1b-1","Electrike","Pokemon","50","Lightning","Manectric",,"1","Ken Sugimori",,,"309",,"https://images.pokemontcg.io/tk1b/1.png","https://images.pokemontcg.io/tk1b/1_hires.png","Legal",,,"Colorless","1","","","","","","","Headbutt","Colorless","1","10","","","","","","","Fighting","x2"
"tk1b-2","Latios","Pokemon","80","Colorless","",,"2","Kyoko Koizumi",,,"381",,"https://images.pokemontcg.io/tk1b/2.png","https://images.pokemontcg.io/tk1b/2_hires.png","Legal",,,"Colorless","1","","","","","","","Gather Energy","Lightning, Colorless","2","20","Flip a coin. If heads, search your deck for a basic Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward.","Dragon Claw","Lightning, Lightning, Colorless","3","40","","Psychic","x2"
"tk1b-3","Linoone","Pokemon","70","Colorless","","Zigzagoon","3","Ken Sugimori",,,"264",,"https://images.pokemontcg.io/tk1b/3.png","https://images.pokemontcg.io/tk1b/3_hires.png","Legal",,,"Colorless","1","","","","","","","Seek Out","Colorless","1","","Search your deck for up to 2 cards and put them into your hand. Shuffle your deck afterward.","Continuous Headbutt","Colorless, Colorless","2","40x","Flip a coin until you get tails. This attack does 40 damage times the number of heads.","Fighting","x2"
"tk1b-4","Magnemite","Pokemon","40","Lightning","Magneton",,"4","Tomokazu Komiya",,,"81",,"https://images.pokemontcg.io/tk1b/4.png","https://images.pokemontcg.io/tk1b/4_hires.png","Legal",,,"Colorless","1","","","","","","","Rollout","Colorless","1","10","","Hook","Colorless, Colorless","2","20","","Fighting","x2"
"tk1b-5","Magneton","Pokemon","80","Lightning","Magnezone","Magnemite","5","Kyoko Umemoto",,,"82",,"https://images.pokemontcg.io/tk1b/5.png","https://images.pokemontcg.io/tk1b/5_hires.png","Legal",,,"Colorless","1","","","","","","","Ram","Colorless, Colorless","2","20","","Triple Smash","Lightning, Colorless, Colorless","3","20+","Flip 3 coins. This attack does 20 damage plus 20 more damage for each heads.","Fighting","x2"
"tk1b-6","Pikachu","Pokemon","50","Lightning","Raichu",,"6","Mitsuhiro Arita",,,"25",,"https://images.pokemontcg.io/tk1b/6.png","https://images.pokemontcg.io/tk1b/6_hires.png","Legal",,,"Colorless","1","","","","","","","Scratch","Colorless","1","10","","Pika Bolt","Lightning, Colorless, Colorless","3","40","","Fighting","x2"
"tk1b-7","Zigzagoon","Pokemon","40","Colorless","Linoone",,"7","Atsuko Nishida",,,"263",,"https://images.pokemontcg.io/tk1b/7.png","https://images.pokemontcg.io/tk1b/7_hires.png","Legal",,,"Colorless","1","","","","","","","Fury Swipes","Colorless","1","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","","","","","","Fighting","x2"
"tk1b-8","Potion","Trainer",,"","",,"8","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/tk1b/8.png","https://images.pokemontcg.io/tk1b/8_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk1b-9","Energy Search","Trainer",,"","",,"9","Kai Ishikawa",,,"",,"https://images.pokemontcg.io/tk1b/9.png","https://images.pokemontcg.io/tk1b/9_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk1b-10","Lightning Energy","Energy",,"","",,"10",,,,"",,"https://images.pokemontcg.io/tk1b/10.png","https://images.pokemontcg.io/tk1b/10_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
