"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"tk2a-1","Beldum","Pokemon","50","Psychic","Metang",,"1","Kouki Saitou",,,"374",,"https://images.pokemontcg.io/tk2a/1.png","https://images.pokemontcg.io/tk2a/1_hires.png","Legal",,,"Colorless","1","","","","","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Shuffle your deck afterward.","Metal Ball","Psychic","1","","Put 1 damage counter on the Defending Pokemon.","Psychic","x2"
"tk2a-2","Electrike","Pokemon","50","Lightning","Manectric",,"2","Hiroki Fuchino",,,"309",,"https://images.pokemontcg.io/tk2a/2.png","https://images.pokemontcg.io/tk2a/2_hires.png","Legal",,,"Colorless","1","","","","","","","Recharge","Lightning","1","","Search your deck for a Lightning Energy card and attach it to Electrike. Shuffle your deck afterward.","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","Fighting","x2"
"tk2a-3","Grumpig","Pokemon","70","Psychic","","Spoink","3","Atsuko Nishida",,,"326",,"https://images.pokemontcg.io/tk2a/3.png","https://images.pokemontcg.io/tk2a/3_hires.png","Legal",,,"Colorless","1","","","","","","","Snap Tail","Colorless","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Psypunch","Psychic, Colorless","2","40","","Psychic","x2"
"tk2a-4","Meowth","Pokemon","50","Colorless","Persian",,"4","Masakazu Fukuda",,,"52",,"https://images.pokemontcg.io/tk2a/4.png","https://images.pokemontcg.io/tk2a/4_hires.png","Legal",,,"Colorless","1","","","","","","","Collect","Colorless","1","","Draw a card.","Cat Kick","Colorless, Colorless","2","20","","Fighting","x2"
"tk2a-5","Metang","Pokemon","80","Psychic","Metagross","Beldum","5","Hisao Nakamura",,,"375",,"https://images.pokemontcg.io/tk2a/5.png","https://images.pokemontcg.io/tk2a/5_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Psychic Boom","Psychic, Colorless","2","10+","Does 10 damage plus 10 more damage for each Energy attached to the Defending Pokemon.","Quick Blow","Psychic, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 20 more damage.","Psychic","x2"
"tk2a-6","Plusle","Pokemon","60","Lightning","",,"6","Katsura Tabata",,,"311",,"https://images.pokemontcg.io/tk2a/6.png","https://images.pokemontcg.io/tk2a/6_hires.png","Legal",,,"Colorless","1","","","","","","","Pickup Power","Colorless","1","","Search your discard pile for an Energy card, show it to your opponent, and put it in your hand","Rear Spark","Lightning, Colorless","2","10","Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"tk2a-7","Spoink","Pokemon","50","Psychic","Grumpig",,"7","Kagemaru Himeno",,,"325",,"https://images.pokemontcg.io/tk2a/7.png","https://images.pokemontcg.io/tk2a/7_hires.png","Legal",,,"Colorless","1","","","","","","","Knock Away","Psychic","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","","","","","","Psychic","x2"
"tk2a-8","Energy Search","Trainer",,"","",,"8","Kai Ishikawa",,,"",,"https://images.pokemontcg.io/tk2a/8.png","https://images.pokemontcg.io/tk2a/8_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk2a-9","Potion","Trainer",,"","",,"9","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/tk2a/9.png","https://images.pokemontcg.io/tk2a/9_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk2a-10","Professor Cozmo's Discovery","Trainer",,"","",,"10","Ken Sugimori",,,"",,"https://images.pokemontcg.io/tk2a/10.png","https://images.pokemontcg.io/tk2a/10_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"tk2a-11","Lightning Energy","Energy",,"","",,"11",,,,"",,"https://images.pokemontcg.io/tk2a/11.png","https://images.pokemontcg.io/tk2a/11_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk2a-12","Psychic Energy","Energy",,"","",,"12",,,,"",,"https://images.pokemontcg.io/tk2a/12.png","https://images.pokemontcg.io/tk2a/12_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
