"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xy12-1","Venusaur-EX","Pokemon","180","Grass","M Venusaur-EX",,"1","Eske Yoshinob","Rare Holo EX",,"3",,"https://images.pokemontcg.io/xy12/1.png","https://images.pokemontcg.io/xy12/1_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Poison Powder","Grass, Colorless, Colorless","3","60","Your opponent's Active Pokemon is now Poisoned.","Jungle Hammer","Grass, Grass, Colorless, Colorless","4","90","Heal 30 damage from this Pokemon.","Fire","x2"
"xy12-2","M Venusaur-EX","Pokemon","230","Grass","","Venusaur-EX","2","5ban Graphics","Rare Holo EX",,"3",,"https://images.pokemontcg.io/xy12/2.png","https://images.pokemontcg.io/xy12/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Crisis Vine","Grass, Grass, Grass, Colorless","4","120","Your opponent's Active Pokemon is now Paralyzed and Poisoned.","","","","","","Fire","x2"
"xy12-3","Caterpie","Pokemon","40","Grass","Metapod",,"3","Ken Sugimori","Common","It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.","10",,"https://images.pokemontcg.io/xy12/3.png","https://images.pokemontcg.io/xy12/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","String Shot","Grass","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Fire","x2"
"xy12-4","Metapod","Pokemon","70","Grass","Butterfree","Caterpie","4","Ken Sugimori","Uncommon","Even though it is encased in a sturdy shell, the body inside is tender. It can't withstand a harsh attack.","11",,"https://images.pokemontcg.io/xy12/4.png","https://images.pokemontcg.io/xy12/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Stiffen","Colorless, Colorless","2","","During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 40 (after applying Weakness and Resistance).","Stun Spore","Grass, Grass","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Fire","x2"
"xy12-5","Weedle","Pokemon","40","Grass","Kakuna",,"5","Mitsuhiro Arita","Common","Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.","13",,"https://images.pokemontcg.io/xy12/5.png","https://images.pokemontcg.io/xy12/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Poison Sting","Grass","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","","","","","","Fire","x2"
"xy12-6","Kakuna","Pokemon","80","Grass","Beedrill","Weedle","6","Keiji Kinebuchi","Uncommon","This Pokemon is in a temporary stage while making its body. It is almost completely unable to move on its own.","14",,"https://images.pokemontcg.io/xy12/6.png","https://images.pokemontcg.io/xy12/6_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Stiffen","Colorless, Colorless","2","","During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 40 (after applying Weakness and Resistance).","Poison Powder","Grass, Grass","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","Fire","x2"
"xy12-7","Beedrill","Pokemon","120","Grass","","Kakuna","7","Ken Sugimori","Rare","May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.","15",,"https://images.pokemontcg.io/xy12/7.png","https://images.pokemontcg.io/xy12/7_hires.png","Legal",,"Legal","",,"","","","","","","Poison Sting","Grass","1","30","Your opponent's Active Pokemon is now Poisoned.","Swarming Sting","Grass, Colorless","2","","This attack does 40 damage times the number of Beedrill you have in play to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire","x2"
"xy12-8","Tangela","Pokemon","80","Grass","Tangrowth",,"8","Mitsuhiro Arita","Common","Blue plant vines cloak the Pokemon's identity in a tangled mass. It entangles anything that gets close.","114",,"https://images.pokemontcg.io/xy12/8.png","https://images.pokemontcg.io/xy12/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Bind","Grass, Colorless","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Poison Powder","Grass, Grass, Grass","3","30","Your opponent's Active Pokemon is now Poisoned.","Fire","x2"
"xy12-9","Charmander","Pokemon","60","Fire","Charmeleon",,"9","Mitsuhiro Arita","Common","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","4",,"https://images.pokemontcg.io/xy12/9.png","https://images.pokemontcg.io/xy12/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Scratch","Colorless","1","10","","Ember","Fire, Colorless","2","30","Discard a Fire Energy attached to this Pokemon.","Water","x2"
"xy12-10","Charmeleon","Pokemon","80","Fire","Charizard","Charmander","10","Mitsuhiro Arita","Uncommon","It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.","5",,"https://images.pokemontcg.io/xy12/10.png","https://images.pokemontcg.io/xy12/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Slash","Colorless, Colorless, Colorless","3","50","","Flamethrower","Fire, Fire, Colorless","3","90","Discard a Fire Energy attached to this Pokemon.","Water","x2"
