"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xy8-1","Paras","Pokemon","60","Grass","Common","Colorless","1","","","Blot","Colorless","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"xy8-2","Parasect","Pokemon","100","Grass","Rare","Colorless, Colorless","2","","","Colorful Spores","Colorless","1","","Choose 3 of your Pokemon. For each of those Pokemon, search your deck for a different type of basic Energy card and attach it to that Pokemon. Shuffle your deck afterward.","X-Scissor","Grass, Colorless","2","30+","Flip a coin. If heads, this attack does 30 more damage.","Fire","x2"
"xy8-3","Pinsir","Pokemon","100","Grass","Uncommon","Colorless, Colorless","2","","","Overhead Throw","Grass","1","30","This attack does 20 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Heavy Suplex","Grass, Colorless, Colorless","3","40+","This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.","Fire","x2"
"xy8-4","Cacnea","Pokemon","60","Grass","Common","Colorless","1","","","Swagger","Colorless","1","10","Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon.","","","","","","Fire","x2"
"xy8-5","Pansage","Pokemon","60","Grass","Common","Colorless","1","","","Fury Swipes","Colorless","1","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","x2"
"xy8-6","Simisage","Pokemon","90","Grass","Rare","Colorless","1","","","Fire Fling","Colorless","1","","Put 3 Fire Energy cards from your discard pile into your hand.","Hand Fling","Colorless, Colorless","2","10x","This attack does 10 damage times the number of cards in your hand.","Fire","x2"
"xy8-7","Chespin","Pokemon","60","Grass","Common","Colorless","1","","","Nosh","Colorless","1","","Heal 20 damage from this Pokemon.","Seed Bomb","Grass, Colorless, Colorless","3","30","","Fire","x2"
"xy8-8","Chespin","Pokemon","60","Grass","Common","Colorless","1","","","Work","Colorless","1","10","","Seed Bomb","Grass, Colorless, Colorless","3","30","","Fire","x2"
"xy8-9","Chespin","Pokemon","60","Grass","Common","Colorless","1","","","Tree Climb","Grass","1","","Search your deck for a Grass Energy card, reveal it, and put it into your hand. Shuffle your deck afterward.","Seed Bomb","Grass, Colorless, Colorless","3","30","","Fire","x2"
"xy8-10","Quilladin","Pokemon","90","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Tackle","Grass, Colorless","2","20","","Pin Missile","Grass, Grass, Colorless","3","40x","Flip 4 coins. This attack does 40 damage times the number of heads.","Fire","x2"
"xy8-11","Chesnaught","Pokemon","160","Grass","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Spike Lariat","Grass, Colorless, Colorless","3","60+","If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage.","Adamantine Press","Grass, Grass, Colorless, Colorless","4","100","During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).","Fire","x2"
"xy8-13","Scatterbug","Pokemon","30","Grass","Common","Colorless","1","","","String Shot","Grass","1","","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Tackle","Grass, Colorless","2","20","","Fire","x2"
"xy8-14","Spewpa","Pokemon","70","Grass","Uncommon","Colorless, Colorless","2","","","Protect","Grass","1","","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","Tackle","Grass, Colorless","2","30","","Fire","x2"
"xy8-15","Vivillon","Pokemon","120","Grass","Rare Holo","Colorless","1","Energy Color","Once during your turn (before your attack), you may flip a coin. If heads, search your deck for a basic Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward.","Sleep Powder","Grass, Colorless, Colorless","3","60","Your opponent's Active Pokemon is now Asleep.","","","","","","Fire","x2"
"xy8-16","Skiddo","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Razor Leaf","Grass","1","10","","Rising Lunge","Grass, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","Fire","x2"
"xy8-17","Gogoat","Pokemon","120","Grass","Uncommon","Colorless, Colorless","2","","","Overrun","Grass","1","10","This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Horn Leech","Grass, Grass, Grass","3","90","Heal 30 damage from this Pokemon.","Fire","x2"
"xy8-18","Cyndaquil","Pokemon","60","Fire","Common","Colorless","1","","","Tackle","Colorless","1","10","","Ember","Fire, Colorless","2","30","Discard a Fire Energy attached to this Pokemon.","Water","x2"
"xy8-19","Quilava","Pokemon","80","Fire","Uncommon","Colorless","1","","","Mini Eruption","Fire, Colorless","2","30+","Discard the top card of your deck. If that card is an Energy card, this attack does 30 more damage.","","","","","","Water","x2"
"xy8-20","Typhlosion","Pokemon","150","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Massive Eruption","Fire","1","80x","Discard the top 5 cards of your deck. This attack does 80 damage times the number of Energy cards you discarded.","Flare Destroy","Fire, Fire, Colorless","3","130","Discard an Energy attached to this Pokemon. Then, discard an Energy attached to your opponent's Active Pokemon.","Water","x2"
"xy8-23","Pansear","Pokemon","60","Fire","Common","Colorless","1","","","Fury Swipes","Colorless","1","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","","","","","","Water","x2"
"xy8-24","Simisear","Pokemon","90","Fire","Rare","Colorless","1","","","Water Fling","Colorless","1","","Put 3 Water Energy from your discard pile into your hand.","Hand Fling","Colorless, Colorless","2","10x","This attack does 10 damage times the number of cards in your hand.","Water","x2"
"xy8-25","Fennekin","Pokemon","50","Fire","Common","Colorless","1","","","Firebreathing","Fire, Colorless","2","10+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Water","x2"
"xy8-26","Braixen","Pokemon","80","Fire","Uncommon","Colorless","1","","","Flamethrower","Fire, Colorless, Colorless","3","70","Discard an Energy attached to this Pokemon.","","","","","","Water","x2"
"xy8-27","Goldeen","Pokemon","60","Water","Common","Colorless","1","","","Reckless Charge","Colorless","1","20","This Pokemon does 10 damage to itself.","","","","","","Grass","x2"
