"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xyp-XY01","Chespin","Pokemon","60","Grass","Quilladin",,"XY01","5ban Graphics","Promo","The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.","650",,"https://images.pokemontcg.io/xyp/XY01.png","https://images.pokemontcg.io/xyp/XY01_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Vine Whip","Grass","1","10","","Seed Bomb","Grass, Colorless","2","20","","Fire","x2"
"xyp-XY02","Fennekin","Pokemon","60","Fire","Braixen",,"XY02","5ban Graphics","Promo","Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.","653",,"https://images.pokemontcg.io/xyp/XY02.png","https://images.pokemontcg.io/xyp/XY02_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Scratch","Fire","1","10","","Live Coal","Fire, Colorless","2","20","","Water","x2"
"xyp-XY03","Froakie","Pokemon","60","Water","Frogadier",,"XY03","5ban Graphics","Promo","It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.","656",,"https://images.pokemontcg.io/xyp/XY03.png","https://images.pokemontcg.io/xyp/XY03_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Pound","Water","1","10","","Water Drip","Water, Colorless","2","20","","Grass","x2"
"xyp-XY04","Sylveon","Pokemon","90","Fairy","","Eevee","XY04","5ban Graphics","Promo","It sends a soothing aura from its ribbonlike feelers to calm fights.","700",,"https://images.pokemontcg.io/xyp/XY04.png","https://images.pokemontcg.io/xyp/XY04_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Disarming Voice","Fairy","1","20","Your opponent's Active Pokemon is now Confused.","Fairy Wind","Fairy, Colorless, Colorless","3","60","","Metal","x2"
"xyp-XY05","Xerneas","Pokemon","130","Fairy","",,"XY05","5ban Graphics","Promo","Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.","716",,"https://images.pokemontcg.io/xyp/XY05.png","https://images.pokemontcg.io/xyp/XY05_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Geomancy","Fairy","1","","Choose 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon. Shuffle your deck afterward.","Rainbow Spear","Fairy, Fairy, Colorless","3","100","Discard an Energy attached to this Pokemon.","Metal","x2"
"xyp-XY06","Yveltal","Pokemon","130","Darkness","",,"XY06","5ban Graphics","Promo","When this legendary Pokemon's wings and tail feathers spread wide and glow red, it absorbs the life force of all living creatures.","717",,"https://images.pokemontcg.io/xyp/XY06.png","https://images.pokemontcg.io/xyp/XY06_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Oblivion Wing","Darkness","1","30","Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokemon.","Darkness Blade","Darkness, Darkness, Colorless","3","100","Flip a coin. If tails, this Pokemon can't attack during your next turn.","Lightning","x2"
"xyp-XY07","Xerneas-EX","Pokemon","170","Fairy","",,"XY07","5ban Graphics","Promo",,"716",,"https://images.pokemontcg.io/xyp/XY07.png","https://images.pokemontcg.io/xyp/XY07_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Break Through","Fairy, Colorless, Colorless","3","60","This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","X Blast","Fairy, Fairy, Colorless, Colorless","4","140","This Pokemon can't use X Blast during your next turn.","Metal","x2"
"xyp-XY08","Yveltal-EX","Pokemon","170","Darkness","",,"XY08","5ban Graphics","Promo",,"717",,"https://images.pokemontcg.io/xyp/XY08.png","https://images.pokemontcg.io/xyp/XY08_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Evil Ball","Darkness, Colorless","2","20+","This attack does 20 more damage times the amount of Energy attached to both Active Pokemon.","Y Cyclone","Darkness, Colorless, Colorless","3","90","Move an Energy from this Pokemon to 1 of your Benched Pokemon.","Lightning","x2"
"xyp-XY09","Garchomp-EX","Pokemon","170","Dragon","M Garchomp-EX",,"XY09","Ryo Ueda","Promo",,"445",,"https://images.pokemontcg.io/xyp/XY09.png","https://images.pokemontcg.io/xyp/XY09_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Dual Chop","Fighting, Colorless","2","30x","Flip 2 coins. This attack does 30 damage times the number of heads.","Power Blast","Water, Fighting, Colorless","3","120","Discard an Energy attached to this Pokemon.","Fairy","x2"
"xyp-XY10","Dragalge","Pokemon","100","Dragon","","Skrelp","XY10","5ban Graphics","Promo","Their poison is strong enough to eat through the hull of a tanker, and they spit it indiscriminately at anything that enters their territory.","691",,"https://images.pokemontcg.io/xyp/XY10.png","https://images.pokemontcg.io/xyp/XY10_hires.png","Legal",,"Legal","Colorless","1","Poison Barrier","Your opponent's Poisoned Pokemon can't retreat.","Ability","","","","Poison Breath","Water, Psychic, Colorless","3","60","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","","","","","","Fairy","x2"
"xyp-XY11","Skiddo","Pokemon","70","Grass","Gogoat",,"XY11","5ban Graphics","Promo","Thought to be one of the first Pokemon to live in harmony with humans, it has a placid disposition.","672",,"https://images.pokemontcg.io/xyp/XY11.png","https://images.pokemontcg.io/xyp/XY11_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Take Down","Grass, Grass","2","30","This Pokemon does 10 damage to itself.","","","","","","Fire","x2"
"xyp-XY12","Honedge","Pokemon","50","Metal","Doublade",,"XY12","5ban Graphics","Promo","Apparently this Pokemon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.","679",,"https://images.pokemontcg.io/xyp/XY12.png","https://images.pokemontcg.io/xyp/XY12_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Swords Dance","Colorless","1","","During your next turn, this Pokemon's Slash attack's base damage is 40.","Slash","Metal, Colorless","2","20","","Fire","x2"
"xyp-XY13","Machamp","Pokemon","150","Fighting","","Machoke","XY13","PLANETA","Promo","Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds.","68",,"https://images.pokemontcg.io/xyp/XY13.png","https://images.pokemontcg.io/xyp/XY13_hires.png","Legal",,"Legal","Colorless, Colorless","2","Fighting Fury","Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Ability","","","","Machamp Crush","Fighting, Fighting, Fighting","3","80","During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 40 (before applying Weakness and Resistance).","","","","","","Psychic","x2"
