"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"base2-1","Clefable","Pokemon","Stage 1","70","Colorless","Rare Holo","Colorless, Colorless","2","","","Metronome","Colorless","1","","Choose 1 of the Defending Pokemon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokemon is, Clefable's type is still Colorless.)","Minimize","Colorless, Colorless","2","","All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).","Fighting","x2"
"base2-2","Electrode","Pokemon","Stage 1","90","Lightning","Rare Holo","Colorless","1","","","Tackle","Colorless, Colorless","2","20","","Chain Lightning","Lightning, Lightning, Lightning","3","20","If the Defending Pokemon isn't Colorless, this attack does 10 damage to each Benched Pokemon of the same type as the Defending Pokemon (including your own).","Fighting","x2"
"base2-3","Flareon","Pokemon","Stage 1","70","Fire","Rare Holo","Colorless","1","","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","Flamethrower","Fire, Fire, Colorless, Colorless","4","60","Discard 1 Fire Energy card attached to Flareon in order to use this attack.","Water","x2"
"base2-4","Jolteon","Pokemon","Stage 1","70","Lightning","Rare Holo","Colorless","1","","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","Pin Missile","Lightning, Lightning, Colorless","3","20x","Flip 4 coins. This attack does 20 damage times the number of heads.","Fighting","x2"
"base2-5","Kangaskhan","Pokemon","Basic","90","Colorless","Rare Holo","Colorless, Colorless, Colorless","3","","","Fetch","Colorless","1","","Draw a card.","Comet Punch","Colorless, Colorless, Colorless, Colorless","4","20x","Flip 4 coins. This attack does 20 damage times the number of heads.","Fighting","x2"
"base2-6","Mr. Mime","Pokemon","Basic","40","Psychic","Rare Holo","Colorless","1","Invisible Wall","Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed.","Meditate","Psychic, Colorless","2","10+","Does 10 damage plus 10 more damage for each damage counter on the Defending Pokemon.","","","","","","Psychic","x2"
"base2-7","Nidoqueen","Pokemon","Stage 2","90","Grass","Rare Holo","Colorless, Colorless, Colorless","3","","","Boyfriends","Grass, Colorless","2","20+","Does 20 damage plus 20 more damage for each Nidoking you have in play.","Mega Punch","Grass, Grass, Colorless, Colorless","4","50","","Psychic","x2"
"base2-8","Pidgeot","Pokemon","Stage 2","80","Colorless","Rare Holo","","0","","","Wing Attack","Colorless, Colorless","2","20","","Hurricane","Colorless, Colorless, Colorless","3","30","Unless this attack Knocks Out the Defending Pokemon, return the Defending Pokemon and all cards attached to it to your opponent's hand.","Lightning","x2"
"base2-9","Pinsir","Pokemon","Basic","60","Grass","Rare Holo","Colorless","1","","","Irongrip","Grass, Grass","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Guillotine","Grass, Grass, Colorless, Colorless","4","50","","Fire","x2"
"base2-10","Scyther","Pokemon","Basic","70","Grass","Rare Holo","","0","","","Swords Dance","Grass","1","","During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.","Slash","Colorless, Colorless, Colorless","3","30","","Fire","x2"
