"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bw1-1","Snivy","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Tackle","Grass","1","10","","Vine Whip","Grass, Colorless","2","20","","Fire","x2"
"bw1-2","Snivy","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Leaf Blade","Grass, Colorless","2","10+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Fire","x2"
"bw1-3","Servine","Pokemon","Stage 1","80","Grass","Uncommon","Colorless","1","","","Wrap","Colorless","1","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Tackle","Grass, Colorless","2","30","","Fire","x2"
"bw1-4","Servine","Pokemon","Stage 1","80","Grass","Uncommon","Colorless","1","","","Wring Out","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed and discard an Energy attached to the Defending Pokemon.","","","","","","Fire","x2"
"bw1-5","Serperior","Pokemon","Stage 2","130","Grass","Rare Holo","","0","","","Vine Whip","Colorless, Colorless","2","40","","Leaf Storm","Grass, Grass","2","60","Heal 20 damage from each of your Grass Pokemon.","Fire","x2"
"bw1-6","Serperior","Pokemon","Stage 2","130","Grass","Rare Holo","Colorless","1","Royal Heal","At any time between turns, heal 10 damage from each of your Pokemon.","Leaf Tornado","Grass, Colorless","2","60","Move as many Grass Energy attached to your Pokemon to your other Pokemon in any way you like.","","","","","","Fire","x2"
"bw1-7","Pansage","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Scratch","Colorless","1","10","","Vine Whip","Grass, Colorless, Colorless","3","30","","Fire","x2"
"bw1-8","Simisage","Pokemon","Stage 1","90","Grass","Uncommon","Colorless, Colorless","2","","","Seed Bomb","Grass","1","30","","Fury Swipes","Colorless, Colorless, Colorless","3","40x","Flip 3 coins. This attack does 40 damage times the number of heads.","Fire","x2"
"bw1-9","Petilil","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Magical Leaf","Grass","1","10+","Flip a coin. If heads, this attack does 10 more damage and heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"bw1-10","Lilligant","Pokemon","Stage 1","80","Grass","Rare","Colorless","1","","","Petal Dance","Grass","1","30x","Flip 3 coins. This attack does 30 damage times the number of heads. This Pokemon is now confused.","Leaf Storm","Grass, Colorless","2","30","Heal 20 damage from each of your Grass Pokemon.","Fire","x2"
"bw1-11","Maractus","Pokemon","Basic","80","Grass","Uncommon","Colorless, Colorless","2","","","Mega Drain","Grass","1","20","Heal 20 damage from this Pokemon.","Pin Missile","Grass, Grass, Colorless","3","20x","Flip 4 coins. This attack does 20 damage times the number of heads.","Fire","x2"
"bw1-12","Maractus","Pokemon","Basic","90","Grass","Rare","Colorless, Colorless","2","","","Constant Rattle","Grass","1","","Flip 3 coins. If 1 of them is heads, this attack does 10 damage. If 2 of them are heads, this attack does 30 damage. If all of them are heads, this attack does 60 damage.","Giga Drain","Grass, Grass, Grass","3","50","Heal from this Pokemon the same amount of damage you did to the Defending Pokemon.","Fire","x2"
"bw1-13","Deerling","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Double Kick","Colorless","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","Leech Seed","Grass, Colorless","2","20","Heal 10 damage from this Pokemon.","Fire","x2"
"bw1-14","Sawsbuck","Pokemon","Stage 1","90","Grass","Rare","Colorless","1","","","Nature Power","Colorless","1","20+","Does 10 more damage for each Grass Energy attached to both your and your opponent's Pokemon.","Horn Leech","Grass, Colorless, Colorless","3","60","Heal 20 damage from this Pokemon.","Fire","x2"
"bw1-15","Tepig","Pokemon","Basic","60","Fire","Common","Colorless","1","","","Tackle","Fire","1","10","","Rollout","Fire, Colorless","2","20","","Water","x2"
"bw1-16","Tepig","Pokemon","Basic","70","Fire","Common","Colorless, Colorless","2","","","Take Down","Fire, Colorless","2","30","This Pokemon does 10 damage to itself.","","","","","","Water","x2"
"bw1-17","Pignite","Pokemon","Stage 1","100","Fire","Uncommon","Colorless, Colorless, Colorless","3","","","Flame Charge","Colorless","1","","Search your deck for a Fire Energy card and attach it to this Pokemon. Shuffle your deck afterward.","Heat Crash","Fire, Fire, Colorless","3","50","","Water","x2"
"bw1-18","Pignite","Pokemon","Stage 1","100","Fire","Uncommon","Colorless, Colorless, Colorless","3","","","Rollout","Colorless, Colorless","2","20","","Flamethrower","Fire, Fire, Colorless","3","70","Discard an Energy attached to this Pokemon.","Water","x2"
"bw1-19","Emboar","Pokemon","Stage 2","150","Fire","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Heat Crash","Fire, Colorless, Colorless","3","50","","Flare Blitz","Fire, Fire, Colorless, Colorless","4","150","Discard all Fire Energy attached to this Pokemon.","Water","x2"
"bw1-20","Emboar","Pokemon","Stage 2","150","Fire","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","Inferno Fandango","As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokemon.","Heat Crash","Fire, Fire, Colorless, Colorless","4","80","","","","","","","Water","x2"
"bw1-21","Pansear","Pokemon","Basic","60","Fire","Common","Colorless","1","","","Scratch","Colorless","1","10","","Live Coal","Fire, Colorless, Colorless","3","30","","Water","x2"
"bw1-22","Simisear","Pokemon","Stage 1","90","Fire","Uncommon","Colorless","1","","","Flame Burst","Fire","1","20","Does 20 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fury Swipes","Colorless, Colorless, Colorless","3","40x","Flip 3 coins. This attack does 40 damage times the number of heads.","Water","x2"
"bw1-23","Darumaka","Pokemon","Basic","70","Fire","Common","Colorless, Colorless","2","","","Firebreathing","Fire","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Water","x2"
