"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bw7-1","Oddish","Pokemon","50","Grass","Common","Colorless","1","","","Absorb","Grass","1","10","Heal 10 damage from this Pokemon.","Acid","Colorless, Colorless","2","20","","Fire","x2"
"bw7-2","Gloom","Pokemon","80","Grass","Uncommon","Colorless","1","","","Foul Odor","Colorless, Colorless","2","","Both this Pokemon and the Defending Pokemon are now Confused.","Poison Powder","Grass, Colorless, Colorless","3","40","The Defending Pokemon is now Poisoned.","Fire","x2"
"bw7-3","Vileplume","Pokemon","140","Grass","Rare Holo","Colorless, Colorless, Colorless","3","Allergy Panic","Apply Weakness for each Pokemon (both yours and your opponent's) as x4 instead.","Pollen Spray","Grass, Colorless, Colorless, Colorless","4","50","The Defending Pokemon is now Asleep and Poisoned.","","","","","","Fire","x2"
"bw7-4","Bellossom","Pokemon","110","Grass","Rare","Colorless","1","","","Grass Knot","Grass","1","10+","Does 20 more damage for each Colorless in the Defending Pokemon's Retreat Cost.","Petal Dance","Grass, Colorless, Colorless","3","50x","Flip 3 coins. This attack does 50 damage times the number of heads. This Pokemon is now Confused.","Fire","x2"
"bw7-5","Tangela","Pokemon","80","Grass","Common","Colorless, Colorless","2","","","Nap","Grass","1","","Heal 30 damage from this Pokemon.","Vine Whip","Grass, Colorless, Colorless","3","50","","Fire","x2"
"bw7-6","Tangrowth","Pokemon","130","Grass","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Hundred Furious Lashes","Grass","1","30x","Does 30 damage times the amount of Grass Energy attached to this Pokemon. This Pokemon can't use Hundred Furious Lashes during your next turn.","Mega Drain","Grass, Colorless, Colorless, Colorless","4","70","Heal 30 damage from this Pokemon.","Fire","x2"
"bw7-7","Scyther","Pokemon","70","Grass","Common","Colorless","1","","","Slash","Colorless","1","10","","Sharp Scythe","Colorless, Colorless","2","20","","Fire","x2"
"bw7-8","Heracross","Pokemon","100","Grass","Uncommon","Colorless, Colorless","2","","","Horn Attack","Grass","1","20","","Giga Horn","Grass, Grass, Colorless","3","80","Flip 2 coins. If both of them are tails, this attack does nothing.","Fire","x2"
"bw7-10","Shaymin","Pokemon","70","Grass","Rare","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Leaf Drain","Grass, Grass","2","30","Flip a coin. If heads, heal 30 damage from this Pokemon.","Fire","x2"
"bw7-11","Snivy","Pokemon","60","Grass","Common","Colorless","1","","","Vine Whip","Grass","1","10","","Cut","Grass, Colorless","2","20","","Fire","x2"
"bw7-12","Servine","Pokemon","80","Grass","Uncommon","Colorless","1","","","Vine Whip","Grass","1","20","","Double Slash","Grass, Colorless, Colorless","3","40x","Flip 2 coins. This attack does 40 damage times the number of heads.","Fire","x2"
"bw7-13","Serperior","Pokemon","140","Grass","Rare Holo","Colorless","1","","","Double Slash","Grass, Colorless","2","50x","Flip 2 coins. This attack does 50 damage times the number of heads.","Mega Drain","Grass, Colorless, Colorless","3","70","Heal 30 damage from this Pokemon.","Fire","x2"
"bw7-14","Cottonee","Pokemon","50","Grass","Common","Colorless","1","","","Ram","Colorless","1","10","","","","","","","Fire","x2"
"bw7-15","Whimsicott","Pokemon","80","Grass","Rare","Colorless","1","","","Fluffy Tag","Colorless","1","","Switch this Pokemon with 1 of your Benched Pokemon. During your next turn, the attacks of that Pokemon do 40 more damage to the Active Pokemon (before applying Weakness and Resistance).","Stun Spore","Grass","1","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fire","x2"
"bw7-16","Petilil","Pokemon","50","Grass","Uncommon","Colorless","1","","","Sleep Powder","Grass","1","10","Flip a coin. If heads, the Defending Pokemon is now Asleep.","","","","","","Fire","x2"
"bw7-17","Lilligant","Pokemon","80","Grass","Rare","Colorless","1","","","Return","Colorless","1","20","Draw cards until you have 6 cards in your hand.","Magical Leaf","Grass, Colorless, Colorless","3","50+","Flip a coin. If heads, this attack does 30 more damage and heal 30 damage from this Pokemon.","Fire","x2"
