"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bwp-BW01","Snivy","Pokemon","Basic","60","Grass","Promo","Colorless","1","","","Slam","Grass, Colorless","2","20x","Flip 2 coins. This attack does 20 damage times the number of heads.","","","","","","Fire","x2"
"bwp-BW02","Tepig","Pokemon","Basic","70","Fire","Promo","Colorless, Colorless","2","","","Ember","Fire, Colorless","2","30","Discard an Energy attached to this Pokemon.","","","","","","Water","x2"
"bwp-BW03","Oshawott","Pokemon","Basic","60","Water","Promo","Colorless","1","","","Water Pulse","Water, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Asleep.","","","","","","Lightning","x2"
"bwp-BW004","Reshiram","Pokemon","Basic","130","Fire","Promo","Colorless, Colorless","2","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokemon.","Blue Flare","Fire, Fire, Colorless","3","120","Discard 2 Fire Energy attached to this Pokemon.","Water","x2"
"bwp-BW005","Zekrom","Pokemon","Basic","130","Lightning","Promo","Colorless, Colorless","2","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokemon.","Bolt Strike","Lightning, Lightning, Colorless","3","120","This Pokemon does 40 damage to itself.","Fighting","x2"
"bwp-BW06","Snivy","Pokemon","Basic","60","Grass","Promo","Colorless","1","","","Paralyzing Gaze","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Tail Smack","Grass, Colorless","2","20","","Fire","x2"
"bwp-BW07","Tepig","Pokemon","Basic","60","Fire","Promo","Colorless","1","","","Singe","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Burned.","Firebreathing","Fire, Colorless","2","10+","Flip a coin. If heads, this attack does 20 more damage.","Water","x2"
"bwp-BW08","Oshawott","Pokemon","Basic","60","Water","Promo","Colorless","1","","","Sleep Pulse","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Asleep.","Surprise Attack","Water, Colorless","2","30","Flip a coin. If tails, this attack does nothing.","Lightning","x2"
"bwp-BW09","Zoroark","Pokemon","Stage 1","100","Darkness","Promo","Colorless","1","","","Nasty Plot","Darkness","1","","Search your deck for a card and put it into your hand. Shuffle your deck afterward.","Foul Play","Colorless, Colorless","2","","Choose 1 of the Defending Pokemon's attacks and use it as this attack.","Fighting","x2"
"bwp-BW10","Axew","Pokemon","Basic","50","Colorless","Promo","Colorless","1","","","Dragon Rage","Colorless, Colorless","2","50","Flip 2 coins. If either of them is tails, this attack does nothing.","","","","","",,
"bwp-BW11","Pansage","Pokemon","Basic","60","Grass","Promo","Colorless","1","","","Bullet Seed","Grass, Colorless","2","10x","Flip 4 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","x2"
"bwp-BW12","Zorua","Pokemon","Basic","60","Darkness","Promo","Colorless","1","","","Jump On","Darkness, Colorless","2","20+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Fighting","x2"
"bwp-BW13","Minccino","Pokemon","Basic","50","Colorless","Promo","Colorless","1","","","Gnaw","Colorless","1","10","","Tail Smack","Colorless, Colorless","2","20","","Fighting","x2"
"bwp-BW14","Pansage","Pokemon","Basic","60","Grass","Promo","Colorless","1","","","Bullet Seed","Grass, Colorless","2","10x","Flip 4 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","x2"
"bwp-BW15","Pidove","Pokemon","Basic","50","Colorless","Promo","Colorless","1","","","Gust","Colorless, Colorless","2","20","","","","","","","Lightning","x2"
"bwp-BW16","Axew","Pokemon","Basic","50","Colorless","Promo","Colorless","1","","","Dragon Rage","Colorless, Colorless","2","50","Flip 2 coins. If either of them is tails, this attack does nothing.","","","","","",,
"bwp-BW17","Ducklett","Pokemon","Basic","60","Water","Promo","Colorless","1","","","Water Gun","Water","1","10","","","","","","","Lightning","x2"
"bwp-BW18","Darumaka","Pokemon","Basic","60","Fire","Promo","Colorless, Colorless","2","","","Searing Flame","Fire, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Burned.","","","","","","Water","x2"
"bwp-BW19","Zoroark","Pokemon","Stage 1","100","Darkness","Promo","Colorless","1","","","Punishment","Colorless","1","20+","If the Defending Pokemon is a Stage 2 Pokemon, this attack does 20 more damage.","Snarl","Darkness, Darkness, Colorless","3","60","During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","Fighting","x2"
"bwp-BW20","Serperior","Pokemon","Stage 2","130","Grass","Promo","Colorless","1","Royal Heal","At any times between turns, heal 10 damage from each of your Pokemon.","Leaf Tornado","Grass, Colorless","2","60","Move as many Grass Energy attached to your Pokemon to your other Pokemon in any way you like.","","","","","","Fire","x2"
"bwp-BW21","Emboar","Pokemon","Stage 2","150","Fire","Promo","Colorless, Colorless, Colorless, Colorless","4","Inferno Fandango","As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokemon.","Heat Crash","Fire, Fire, Colorless, Colorless","4","80","","","","","","","Water","x2"
"bwp-BW22","Samurott","Pokemon","Stage 2","140","Water","Promo","Colorless, Colorless","2","Shell Armor","Any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).","Hydro Pump","Colorless, Colorless, Colorless","3","70+","Does 10 more damage for each Water Energy attached to this Pokemon.","","","","","","Lightning","x2"
"bwp-BW23","Reshiram","Pokemon","Basic","130","Fire","Promo","Colorless, Colorless","2","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokemon.","Blue Flare","Fire, Fire, Colorless","3","120","Discard 2 Fire Energy attached to this Pokemon.","Water","x2"
"bwp-BW24","Zekrom","Pokemon","Basic","130","Lightning","Promo","Colorless, Colorless","2","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokemon.","Bolt Strike","Lightning, Lightning, Colorless","3","120","This Pokemon does 40 damage to itself.","Fighting","x2"
"bwp-BW25","Scraggy","Pokemon","Basic","50","Darkness","Promo","Colorless","1","","","Paralyzing Gaze","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","High Jump Kick","Darkness, Colorless, Colorless","3","30","","Fighting","x2"
"bwp-BW26","Axew","Pokemon","Basic","50","Colorless","Promo","Colorless","1","","","Big Bite","Colorless, Colorless","2","20","The Defending Pokemon can't retreat during your opponent's next turn.","","","","","",,
"bwp-BW27","Litwick","Pokemon","Basic","50","Psychic","Promo","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Shuffle your deck afterward.","Will-O-Wisp","Psychic, Colorless","2","20","","Darkness","x2"
"bwp-BW32","Victini","Pokemon","Basic","60","Fire","Promo","Colorless","1","Victory Star","Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and begin flipping those coins again. You can't use more than 1 Victory Star Ability each turn.","Stored Power","Fire, Colorless","2","30","Move all Energy attached to this Pokemon to 1 of your Benched Pokemon.","","","","","","Water","x2"
"bwp-BW33","Riolu","Pokemon","Basic","60","Fighting","Promo","Colorless","1","","","Run Around","Colorless","1","","Switch this Pokemon with 1 of your Benched Pokemon.","Hook","Fighting, Colorless","2","30","","Psychic","x2"
"bwp-BW34","Luxio","Pokemon","Stage 1","80","Lightning","Promo","Colorless","1","","","Dazzle Blast","Lightning","1","10","Flip a coin. If heads, the Defending Pokemon is now Confused.","Random Spark","Lightning, Colorless, Colorless","3","","This attack does 40 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"bwp-BW35","Meowth","Pokemon","Basic","60","Colorless","Promo","Colorless","1","","","Nap","Colorless","1","","Heal 20 damage from this Pokemon.","Jump On","Colorless, Colorless","2","20+","Flip a coin. If heads, this attack does 10 more damage.","Fighting","x2"
"bwp-BW40","Volcarona","Pokemon","Stage 1","110","Fire","Promo","Colorless, Colorless, Colorless","3","Scorching Scales","Put 4 damage counters instead of 2 on your opponent's Burned Pokemon between turns.","Burning Wind","Fire, Colorless, Colorless","3","70","You may discard an Energy attached to this Pokemon. If you do, the Defending Pokemon is now Burned.","","","","","","Water","x2"
"bwp-BW41","Thundurus","Pokemon","Basic","110","Lightning","Promo","Colorless","1","","","Charge","Colorless","1","","Search your deck for a Lightning Energy card and attach it to this Pokemon. Shuffle your deck afterward.","Disaster Volt","Lightning, Lightning, Colorless","3","80","Discard an Energy attached to this Pokemon.","Fighting","x2"
"bwp-BW42","Tornadus","Pokemon","Basic","110","Colorless","Promo","Colorless","1","","","Energy Wheel","Colorless","1","","Move an Energy from 1 of your Benched Pokemon to this Pokemon.","Hurricane","Colorless, Colorless, Colorless","3","80","Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.","Lightning","x2"
"bwp-BW43","Landorus","Pokemon","Basic","110","Fighting","Promo","Colorless","1","","","Abundant Harvest","Fighting","1","","Attach a basic Energy card from your discard pile to this Pokemon.","Gaia Hammer","Fighting, Fighting, Colorless","3","80","Does 10 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)","Water","x2"
"bwp-BW44","Kyurem","Pokemon","Basic","130","Water","Promo","Colorless, Colorless","2","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokemon.","Glaciate","Water, Water, Colorless","3","","This attack does 30 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Metal","x2"
"bwp-BW48","Altaria","Pokemon","Stage 1","70","Dragon","Promo","Colorless","1","Fight Song","Your Dragon Pokemon's attacks do 20 more damage to the Active Pokemon (before applying Weakness and Resistance).","Glide","Water, Metal, Colorless","3","40","","","","","","","Dragon","x2"
"bwp-BW49","Lilligant","Pokemon","Stage 1","90","Grass","Promo","Colorless","1","","","Lead","Colorless","1","","Search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.","Dream Dance","Grass, Colorless","2","30","Both this Pokemon and the Defending Pokemon are now Asleep.","Fire","x2"
