"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sm1-1","Caterpie","Pokemon","50","Grass","Common","Colorless","1","","","Nap","Colorless","1","","Heal 20 damage from this Pokemon.","Gnaw","Colorless, Colorless","2","20","","Fire","x2"
"sm1-2","Metapod","Pokemon","80","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Iron Defense","Colorless","1","","Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","Bug Bite","Colorless, Colorless, Colorless","3","40","","Fire","x2"
"sm1-3","Butterfree","Pokemon","130","Grass","Rare","Colorless","1","","","Psy Bolt","Colorless","1","30","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Whirlwind","Colorless, Colorless, Colorless","3","80","Your opponent switches their Active Pokemon with 1 of their Benched Pokemon.","Fire","x2"
"sm1-4","Paras","Pokemon","60","Grass","Common","Colorless","1","","","Scratch","Grass, Colorless","2","30","","","","","","","Fire","x2"
"sm1-5","Parasect","Pokemon","110","Grass","Rare","Colorless, Colorless, Colorless","3","","","Fury Cutter","Colorless, Colorless","2","10+","Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 damage.","Mushroom Drain","Grass, Grass, Colorless","3","70","Heal 30 damage from this Pokemon.","Fire","x2"
"sm1-6","Pinsir","Pokemon","110","Grass","Uncommon","Colorless, Colorless","2","","","Roof Fling","Colorless, Colorless","2","","Flip a coin. If heads, put your opponent's Active Pokemon and all cards attached to it into your opponent's hand.","Guillotine","Grass, Grass","2","50","","Fire","x2"
"sm1-7","Surskit","Pokemon","50","Grass","Common","Colorless","1","","","Quick Attack","Colorless","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Fire","x2"
"sm1-8","Masquerain","Pokemon","90","Grass","Rare","","0","","","Struggle Bug","Colorless","1","30","Move an Energy from your opponent's Active Pokemon to 1 of their Benched Pokemon.","","","","","","Fire","x2"
"sm1-9","Rowlet","Pokemon","60","Grass","Common","Colorless","1","","","Tackle","Colorless","1","10","","Leafage","Grass, Colorless","2","20","","Fire","x2"
"sm1-10","Dartrix","Pokemon","80","Grass","Uncommon","Colorless","1","","","Sharp Blade Quill","Colorless","1","","This attack does 20 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Leaf Blade","Grass, Colorless, Colorless","3","50+","Flip a coin. If heads, this attack does 20 more damage.","Fire","x2"
