#,id,name,supertype,hp,types,rarity,retreatCost,convertedRetreatCost,AbilityName,AbilityText,Attack1Name,Attack1Cost,Attack1ConvertedCost,Attack1Damage,DamageFormula,Attack1Text
3169,sv3-3,Bellossom,Pokemon,130,Grass,Uncommon,Colorless,1,,,Powerful Dance,Grass,1,90x,H(Ea'A'),Flip a coin for each Energy attached to this Pokemon. This attack does 90 damage for each heads.
3526,sv3pt5-73,Tentacruel,Pokemon,120,Water,Uncommon,"Colorless, Colorless",2,,,Tentacular Panic,"Water, Colorless, Colorless",3,90x,H,"Flip a coin until you get tails. This attack does 90 damage for each heads. If the first flip is tails, your opponent's Active Pokemon is now Confused."
4007,sv5-49,Palafin,Pokemon,150,Water,Uncommon,"Colorless, Colorless",2,,,Double Hit,"Water, Colorless, Colorless",3,90x,H,Flip 2 coins. This attack does 90 damage for each heads.
4267,sv6-90,Slurpuff,Pokemon,120,Psychic,Uncommon,"Colorless, Colorless",2,,,Slurp Slurp,"Psychic, Colorless",2,90x,H,"Flip 2 coins. This attack does 90 damage for each heads. If both of them are tails,  your opponent's Active Pokemon is now Confused."
5914,swsh3-68,Wigglytuff,Pokemon,120,Psychic,Rare,"Colorless, Colorless",2,,,Double Smash,"Colorless, Colorless, Colorless",3,90x,H,Flip 2 coins. This attack does 90 damage for each heads.
6374,swsh5-28,Salazzle,Pokemon,90,Fire,Rare,Colorless,1,,,Derisive Roasting,"Colorless, Colorless",2,90x,,This attack does 90 damage for each Special Condition affecting your opponent's Active Pokemon.
6431,swsh5-70,Marowak,Pokemon,110,Fighting,Rare,"Colorless, Colorless",2,Battle Armor,This Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).,Bonemerang,"Fighting, Colorless",2,90x,H,Flip 2 coins. This attack does 90 damage for each heads.
6446,swsh5-80,Coalossal,Pokemon,180,Fighting,Rare Holo,"Colorless, Colorless, Colorless, Colorless",4,,,Coal Cannon,Colorless,1,90x,H(Ea'A'),Flip a coin for each Energy attached to this Pokemon. This attack does 90 damage for each heads.
6562,swsh6-51,Zebstrika,Pokemon,120,Lightning,Rare,Colorless,1,,,Spark Rush,"Lightning, Colorless, Colorless",3,90x,H,Flip a coin until you get tails. This attack does 90 damage for each heads.
6601,swsh6-85,Crabominable,Pokemon,150,Fighting,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Double Lariat,"Fighting, Colorless, Colorless",3,90x,H,Flip 2 coins. This attack does 90 damage for each heads.
221,sm10-39,Poliwrath,Pokemon,150,Water,Rare,"Colorless, Colorless, Colorless",3,,,Swirly Rush,"Water, Colorless, Colorless",3,90+,,"If Poliwag and Poliwhirl are on your Bench, this attack does 90 more damage."
926,sm12-163,Kommo-o,Pokemon,160,Dragon,Rare Holo,"Colorless, Colorless",2,,,Scaly Uppercut,"Lightning, Fighting",2,90+,90(Dt),"You may discard a Pokemon Tool card from this Pokemon. If you do, this attack does 90 more damage."
1402,sm4-21,Mamoswine,Pokemon,180,Water,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Forceful Tackle,"Water, Water, Colorless, Colorless",4,90+,,You may put up to 9 damage counters on this Pokemon. This attack does 10 more damage for each damage counter you placed in this way.
1680,sm6-11,Pheromosa,Pokemon,110,Grass,Rare Holo,,0,,,White Ray,"Grass, Grass, Colorless",3,90+,,"If you have only 1 Prize card remaining, this attack does 90 more damage."
