"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dc1-1","Team Magma's Numel","Pokemon","Basic","70","Fire","Common","Colorless, Colorless","2","","","Ember","Fire, Colorless","2","30","Discard an Energy attached to this Pokemon.","","","","","","Water","x2"
"dc1-2","Team Magma's Camerupt","Pokemon","Stage 1","110","Fire","Rare Holo","Colorless, Colorless, Colorless","3","Burning Draft","Once during your turn (before your attack), you may attach a Fighting or Fire Energy card from your discard pile to this Pokemon.","Flame Ball","Fire, Colorless, Colorless","3","60","Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.","","","","","","Water","x2"
"dc1-3","Team Aqua's Spheal","Pokemon","Basic","60","Water","Common","Colorless, Colorless","2","","","Water Gun","Water","1","10","","","","","","","Metal","x2"
"dc1-4","Team Aqua's Sealeo","Pokemon","Stage 1","90","Water","Common","Colorless, Colorless, Colorless","3","","","Splatter","Water, Colorless","2","","This attack does 20 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Hail Storm","Water, Colorless, Colorless","3","60+","If your opponent's Active Pokemon is a Team Magma Pokemon, this attack does 60 more damage.","Metal","x2"
"dc1-5","Team Aqua's Walrein","Pokemon","Stage 2","140","Water","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Power Blow","Colorless","1","30x","This attack does 30 damage times the amount of Energy attached to this Pokemon.","Dual Blizzard","Water, Water, Water, Colorless","4","","Discard 2 Water Energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Metal","x2"
"dc1-7","Team Aqua's Grimer","Pokemon","Basic","70","Psychic","Common","Colorless, Colorless","2","","","Pound","Psychic","1","10","","Mud-Slap","Psychic, Colorless, Colorless","3","30","","Psychic","x2"
"dc1-8","Team Aqua's Muk","Pokemon","Stage 1","110","Psychic","Rare Holo","Colorless, Colorless, Colorless","3","Sludge Festival","The Retreat Cost of each Pokemon in play (except for Team Aqua Pokemon) is Colorless more.","Pester","Psychic, Colorless, Colorless","3","60+","If your opponent's Active Pokemon is affected by a Special Condition, this attack does 60 more damage.","","","","","","Psychic","x2"
"dc1-9","Team Aqua's Seviper","Pokemon","Basic","90","Psychic","Common","Colorless","1","","","Venomous Fang","Psychic","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","Venom Tail","Colorless, Colorless","2","30","If your opponent's Active Pokemon is affected by a Special Condition, discard an Energy attached to that Pokemon.","Psychic","x2"
"dc1-10","Team Magma's Baltoy","Pokemon","Basic","50","Psychic","Common","Colorless","1","","","Telekinesis","Psychic, Colorless","2","","This attack does 20 damage to 1 of your opponent's Pokemon. This attack's damage isn't affected by Weakness or Resistance.","","","","","","Psychic","x2"
"dc1-11","Team Magma's Claydol","Pokemon","Stage 1","90","Psychic","Rare Holo","Colorless, Colorless","2","Magma Switch","Once during your turn (before your attack), you may move a basic Energy from 1 of your Pokemon to 1 of your Team Magma Pokemon.","Power Beam","Psychic, Colorless, Colorless","3","70","","","","","","","Psychic","x2"
"dc1-12","Team Magma's Aron","Pokemon","Basic","60","Fighting","Common","Colorless, Colorless","2","","","Gnaw","Fighting","1","10","","","","","","","Grass","x2"
"dc1-13","Team Magma's Lairon","Pokemon","Stage 1","90","Fighting","Common","Colorless, Colorless, Colorless","3","","","Gnaw","Fighting, Colorless","2","30","","Take Down","Fighting, Colorless, Colorless","3","60","This Pokemon does 10 damage to itself.","Grass","x2"
"dc1-14","Team Magma's Aggron","Pokemon","Stage 2","140","Fighting","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Rock Stomp","Fighting, Colorless","2","40x","Discard as many Fighting Energy attached to your Pokemon as you like. This attack does 40 damage times the amount of Fighting Energy you discarded.","Boulder Storm","Fighting, Fighting, Fighting, Colorless","4","120","This attack does 20 damage to each of your opponent's Benched Pokemon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","x2"
"dc1-16","Team Aqua's Poochyena","Pokemon","Basic","60","Darkness","Common","Colorless","1","","","Roar","Colorless","1","","Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.","Bite","Water, Colorless","2","20","","Fighting","x2"
"dc1-17","Team Magma's Poochyena","Pokemon","Basic","60","Darkness","Common","Colorless","1","","","Infiltrate","Colorless","1","","Your opponent reveals his or her hand.","Bite","Fighting, Colorless","2","20","","Fighting","x2"
"dc1-18","Team Aqua's Mightyena","Pokemon","Stage 1","100","Darkness","Common","Colorless","1","","","Teampact","Water, Colorless","2","30x","Flip a coin for each Team Aqua Pokemon you have in play. This attack does 30 damage times the number of heads.","Crunch","Water, Water, Colorless","3","80","Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon.","Fighting","x2"
"dc1-19","Team Magma's Mightyena","Pokemon","Stage 1","100","Darkness","Common","Colorless","1","","","Bite","Fighting, Colorless","2","30","","Hostile Fang","Fighting, Fighting, Colorless","3","80","If your opponent's Active Pokemon is a Team Aqua Pokemon, this attack does 40 more damage.","Fighting","x2"
"dc1-20","Team Aqua's Carvanha","Pokemon","Basic","50","Darkness","Common","Colorless","1","","","Fin Smack","Darkness","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","","","","","","Lightning","x2"
"dc1-21","Team Aqua's Sharpedo","Pokemon","Stage 1","90","Darkness","Rare Holo","","0","Aqua Search","Once during your turn (before your attack), you may search your deck for a Team Aqua Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.","Sharp Fang","Darkness, Colorless, Colorless","3","70","","","","","","","Lightning","x2"
"dc1-22","Team Magma's Zangoose","Pokemon","Basic","90","Colorless","Common","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for up to 2 Basic Team Magma Pokemon and put them onto your Bench. Shuffle your deck afterward.","Team Play","Colorless, Colorless, Colorless","3","20x","This attack does 20 damage times the number of Team Magma Pokemon on your Bench.","Fighting","x2"
