"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"det1-1","Bulbasaur","Pokemon","60","Grass","Common","Colorless","1","","","Find a Friend","Grass","1","","Search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","","","","","","Fire","x2"
"det1-2","Ludicolo","Pokemon","140","Grass","Rare","Colorless, Colorless, Colorless","3","Table Service","Once during your turn (before your attack), you may heal 30 damage from 1 of your Pokemon.","Punch and Run","Grass, Colorless, Colorless","3","70","Switch this Pokemon with 1 of your Benched Pokemon.","","","","","","Fire","x2"
"det1-3","Morelull","Pokemon","50","Grass","Common","Colorless","1","","","Sleep Spore","Grass","1","10","Your opponent's Active Pokemon is now Asleep.","","","","","","Fire","x2"
"det1-4","Charmander","Pokemon","60","Fire","Common","Colorless","1","","","Reckless Charge","Colorless","1","20","This Pokemon does 10 damage to itself.","","","","","","Water","x2"
"det1-6","Arcanine","Pokemon","120","Fire","Rare","Colorless, Colorless, Colorless","3","Security Guard","As long as this Pokemon is your Active Pokemon, all of your Pokemon take 30 less damage from your opponent's attacks (after applying Weakness and Resistance).","Sharp Fang","Fire, Colorless, Colorless","3","90","","","","","","","Water","x2"
"det1-7","Psyduck","Pokemon","80","Water","Common","Colorless, Colorless, Colorless","3","","","Panic","Water","1","10","This Pokemon is now Confused.","","","","","","Grass","x2"
"det1-8","Magikarp","Pokemon","30","Water","Common","Colorless","1","","","Hold Still","Water","1","","Heal 10 damage from this Pokemon.","","","","","","Lightning","x2"
"det1-10","Detective Pikachu","Pokemon","90","Lightning","Rare","Colorless, Colorless","2","","","Scout","Lightning","1","","Your opponent reveals their hand.","Surprise Attack","Colorless, Colorless, Colorless","3","80","Flip a coin. If tails, this attack does nothing.","Fighting","x2"
"det1-11","Mr. Mime","Pokemon","80","Psychic","Rare","Colorless","1","Pantomime","When you play this Pokemon from your hand onto your Bench during your turn, you may switch 1 of your face-down Prize cards with the top card of your deck.","Juggling","Psychic, Colorless","2","20x","Flip 4 coins. This attack does 20 damage for each heads.","","","","","","Psychic","x2"
"det1-13","Machamp","Pokemon","160","Fighting","Rare","Colorless, Colorless","2","","","Directing Traffic","Fighting","1","","Look at the top 5 cards of your deck and put them back in any order.","Cross Chop","Fighting, Fighting","2","80+","Flip a coin. If heads, this attack does 60 more damage.","Psychic","x2"
"det1-14","Jigglypuff","Pokemon","60","Fairy","Common","Colorless","1","","","Healing Melody","Fairy","1","","Heal 10 damage from each of your Pokemon.","","","","","","Metal","x2"
"det1-15","Snubbull","Pokemon","70","Fairy","Common","Colorless, Colorless","2","","","Play Rough","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Metal","x2"
"det1-16","Lickitung","Pokemon","100","Colorless","Common","Colorless, Colorless, Colorless","3","","","Continuous Lick","Colorless, Colorless","2","20x","Flip a coin until you get tails. This attack does 20 damage for each heads.","","","","","","Fighting","x2"
"det1-18","Slaking","Pokemon","180","Colorless","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Pitch","Colorless, Colorless, Colorless, Colorless","4","150","Your opponent switches their Active Pokemon with 1 of their Benched Pokemon.","","","","","","Fighting","x2"
