"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dpp-DP01","Turtwig","Pokemon","Basic","60","Grass","Promo","Colorless, Colorless","2","","","Tackle","","0","10","","Razor Leaf","Grass","1","20","","Fire","+10"
"dpp-DP02","Chimchar","Pokemon","Basic","50","Fire","Promo","Colorless","1","","","Scratch","","0","10","","Ember","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy attached to Chimchar.","Water","+10"
"dpp-DP03","Piplup","Pokemon","Basic","60","Water","Promo","Colorless","1","","","Peck","","0","10","","Water Splash","Water, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","Lightning","+10"
"dpp-DP04","Pachirisu","Pokemon","Basic","70","Lightning","Promo","Colorless","1","","","Minor Errand-Running","Colorless","1","","Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Thunder Jolt","Lightning","1","20","Flip a coin. If tails, Pachirisu does 10 damage to itself.","Fighting","+20"
"dpp-DP06","Buneary","Pokemon","Basic","50","Colorless","Promo","Colorless","1","","","Splash","Colorless","1","10","","Jump Kick","Colorless, Colorless","2","10","Does 10 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","+10"
"dpp-DP07","Cranidos","Pokemon","Stage 1","70","Fighting","Promo","Colorless","1","","","Headbutt","Colorless","1","20","","Steamroll","Fighting, Colorless","2","30","Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","+20"
"dpp-DP08","Shieldon","Pokemon","Stage 1","80","Metal","Promo","Colorless, Colorless","2","","","Hard Face","Metal, Colorless","2","20","During your opponent's next turn, any damage done to Shieldon by attacks is reduced by 20 (after applying Weakness and Resistance).","Shield Attack","Metal, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 20 more damage.","Fire","+20"
"dpp-DP09","Torterra LV.X","Pokemon","Level-Up","160","Grass","Promo","Colorless, Colorless, Colorless, Colorless","4","Forest Murmurs","Once during your turn (before your attack), if you have more Prize cards left than your opponent, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon. This power can't be used if Torterra is affected by a Special Condition.","Vigorous Dash","Grass, Grass, Grass, Colorless","4","100","Does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Torterra does 30 damage to itself.","","","","","","Fire","+30"
"dpp-DP10","Infernape LV.X","Pokemon","Level-Up","120","Fire","Promo","","0","Burning Head","Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose 1 of them, and put it into your hand. Discard the other 2 cards. This power can't be used if Infernape is affected by a Special Condition.","Flare Up","Fire, Fire","2","150","Search your discard pile for 8 Fire Energy cards, show them to your opponent, and shuffle them into your deck. (This attack does nothing if you don't have 8 Fire Energy cards in your discard pile.)","","","","","","Water","+30"
"dpp-DP11","Empoleon LV.X","Pokemon","Level-Up","140","Water","Promo","Colorless, Colorless","2","Supreme Command","Once during your turn (before your attack), you may choose up to 2 cards from your opponent's hand without looking and put them face down next to the Defending Pokemon. (These cards are not in play or in your opponent's hand.) At the end of your opponent's next turn, return those cards to your opponent's hand. This power can't be used if Empoleon is affected by a Special Condition.","Hydro Impact","Water, Water, Water","3","","Choose 1 of your opponent's Pokemon. This attack does 80 damage to that Pokemon (Don't apply Weakness and Resistance for Benched Pokemon.) Empoleon can't attack during your next turn.","","","","","","Lightning","+30"
