"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex1-1","Aggron","Pokemon","Stage 2","110","Metal","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Retaliate","Colorless","1","10x","Flip a coin. If heads, this attack does 10 damage times the number of damage counters on Aggron.","Mega Punch","Colorless, Colorless, Colorless","3","40","","Fire","x2"
"ex1-2","Beautifly","Pokemon","Stage 2","80","Grass","Rare Holo","","0","Withering Dust","As long as Beautifly is in play, do not apply Resistance for all Active Pokemon.","Stun Spore","Grass","1","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Parallel Gain","Grass, Colorless, Colorless","3","50","Remove 1 damage counter from each of your Pokemon, including Beautifly.","Fire","x2"
"ex1-3","Blaziken","Pokemon","Stage 2","100","Fire","Rare Holo","Colorless, Colorless","2","Firestarter","Once during your turn (before your attack), you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon. This power can't be used if Blaziken is affected by a Special Condition.","Fire Stream","Fire, Colorless, Colorless","3","50","Discard a Fire Energy card attached to Blaziken. If you do, this attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Water","x2"
"ex1-4","Camerupt","Pokemon","Stage 1","90","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Lava Burn","Fire, Colorless","2","20","Choose 1 of your opponent's Benched Pokemon. This attack does 10 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire Spin","Fire, Fire, Colorless, Colorless","4","100","Discard 2 basic Energy cards attached to Camerupt or this attack does nothing.","Water","x2"
"ex1-5","Delcatty","Pokemon","Stage 1","70","Colorless","Rare Holo","Colorless","1","Energy Draw","Once during your turn (before your attack), you may discard 1 Energy card from your hand. Then draw up to 3 cards from your deck. This power can't be used if Delcatty is affected by a Special Condition.","Max Energy Source","Colorless","1","10x","Does 10 damage times the amount of Energy attached to all of your Active Pokemon.","","","","","","Fighting","x2"
"ex1-6","Dustox","Pokemon","Stage 2","90","Grass","Rare Holo","","0","Protective Dust","Prevent all effects of attacks, except damage, done to Dustox by the Attacking Pokemon.","Toxic","Grass, Colorless","2","","The Defending Pokemon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokemon between turns.","Gust","Grass, Colorless, Colorless","3","50","","Psychic","x2"
"ex1-7","Gardevoir","Pokemon","Stage 2","100","Psychic","Rare Holo","Colorless, Colorless","2","Psy Shadow","Once during your turn (before your attack), you may search your deck for a Psychic Energy card and attach it to 1 of your Pokemon. Put 2 damage counters on that Pokemon. Shuffle your deck afterward. This power can't be used if Gardevoir is affected by a Special Condition.","Energy Burst","Psychic","1","10x","Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokemon.","","","","","","Psychic","x2"
"ex1-8","Hariyama","Pokemon","Stage 1","90","Fighting","Rare Holo","Colorless, Colorless","2","","","Super Slap Push","Fighting","1","","Does 20 damage to each Defending Pokemon.","Mega Throw","Fighting, Colorless, Colorless","3","40+","If the Defending Pokemon is a Pokemon-ex, this attack does 40 damage plus 40 more damage.","Psychic","x2"
"ex1-9","Manectric","Pokemon","Stage 1","70","Lightning","Rare Holo","Colorless","1","","","Attract Current","Colorless","1","10","Search your deck for a Lightning Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward.","Thunder Jolt","Lightning, Lightning, Colorless","3","50","Flip a coin. If tails, Manectric does 10 damage to itself.","Fighting","x2"
"ex1-10","Mightyena","Pokemon","Stage 1","70","Darkness","Rare Holo","Colorless","1","Intimidating Fang","As long as Mightyena is your Active Pokemon, any damage done to your Pokemon by an opponent's attack is reduced by 10 (before applying Weakness and Resistance).","Shakedown","Darkness, Colorless, Colorless","3","40","Flip a coin. If heads, choose 1 card from your opponent's hand without looking and discard it.","","","","","","Fighting","x2"
"ex1-11","Sceptile","Pokemon","Stage 2","120","Grass","Rare Holo","Colorless, Colorless, Colorless","3","","","Lizard Poison","Colorless","1","20","If 1 Energy is attached to Sceptile, the Defending Pokemon is now Asleep. If 2 Energy is attached to Sceptile, the Defending Pokemon is now Poisoned. If 3 Energy is attached to Sceptile, the Defending Pokemon is now Asleep and Poisoned. If 4 or more Energy is attached to Sceptile, the Defending Pokemon is now Asleep, Burned, and Poisoned.","Solarbeam","Grass, Grass, Colorless, Colorless, Colorless","5","70","","Fire","x2"
"ex1-12","Slaking","Pokemon","Stage 2","120","Colorless","Rare Holo","Colorless, Colorless, Colorless","3","Lazy","As long as Slaking is your Active Pokemon, your opponent's Pokemon can't use any Poke-Powers.","Critical Move","Colorless, Colorless, Colorless, Colorless","4","100","Discard a basic Energy card attached to Slaking or this attack does nothing. Slaking can't attack during your next turn.","","","","","","Fighting","x2"
"ex1-13","Swampert","Pokemon","Stage 2","110","Water","Rare Holo","Colorless, Colorless, Colorless","3","Water Call","Once during your turn (before your attack), you may attach a Water Energy card from your hand to your Active Pokemon. This power can't be used if Swampert is affected by a Special Condition.","Hypno Splash","Water, Water, Colorless, Colorless","4","50","The Defending Pokemon is now Asleep.","","","","","","Lightning","x2"
"ex1-14","Wailord","Pokemon","Stage 1","120","Water","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Take Down","Colorless, Colorless, Colorless","3","50","Wailord does 20 damage to itself.","Surf","Water, Water, Water, Colorless, Colorless","5","70","","Lightning","x2"
"ex1-15","Blaziken","Pokemon","Stage 2","110","Fire","Rare","Colorless, Colorless","2","","","Clutch","Colorless, Colorless","2","20","The Defending Pokemon can't retreat until the end of your opponent's next turn.","Flamethrower","Fire, Colorless, Colorless, Colorless","4","80","Discard a Fire Energy card attached to Blaziken.","Water","x2"
"ex1-16","Breloom","Pokemon","Stage 1","70","Grass","Rare","Colorless","1","","","Headbutt","Colorless, Colorless","2","20","","Battle Blast","Grass, Colorless, Colorless","3","40+","Does 40 damage plus 10 more damage for each Fighting Energy attached to Breloom.","Fire","x2"
"ex1-17","Donphan","Pokemon","Stage 1","80","Fighting","Rare","Colorless","1","","","Rend","Fighting, Colorless","2","20+","If the Defending Pokemon has any damage counters on it, this attack does 20 damage plus 20 more damage.","Double Spin","Fighting, Colorless, Colorless, Colorless","4","60x","Flip 2 coins. This attack does 60 damage times the number of heads.","Grass","x2"
"ex1-18","Nosepass","Pokemon","Basic","60","Fighting","Rare","Colorless","1","","","Invisible Hand","Colorless","1","","If any of your opponent's Active Pokemon are Evolved Pokemon, search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.","Repulsion","Colorless, Colorless","2","","Flip a coin. If heads, your opponent returns the Defending Pokemon and all cards attached to it to his or her hand. (If your opponent doesn't have any Benched Pokemon or other Active Pokemon, this attack does nothing.)","Water","x2"
"ex1-19","Pelipper","Pokemon","Stage 1","70","Water","Rare","Colorless","1","","","Stockpile","Colorless","1","","During your next turn, Spit Up's base damage is 70 instead of 30, and Swallow's base damage is 60 instead of 20.","Spit Up","Water, Colorless","2","30","","Lightning","x2"
"ex1-20","Sceptile","Pokemon","Stage 2","100","Grass","Rare","Colorless, Colorless, Colorless","3","Energy Trans","As often as you like during your turn (before your attack), move a Grass Energy card attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Sceptile is affected by a Special Condition.","Tail Rap","Grass, Colorless, Colorless","3","50x","Flip 2 coins. This attack does 50 damage times the number of heads.","","","","","","Fire","x2"
"ex1-21","Seaking","Pokemon","Stage 1","70","Water","Rare","","0","","","Water Arrow","Water","1","","Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fast Stream","Colorless, Colorless","2","30","Move 1 Energy card attached to the Defending Pokemon to the other Defending Pokemon. (Ignore this effect if your opponent has only 1 Defending Pokemon.)","Lightning","x2"
"ex1-22","Sharpedo","Pokemon","Stage 1","70","Water","Rare","Colorless","1","Rough Skin","If Sharpedo is your Active Pokemon and is damaged by an opponent's attack (even if Sharpedo is Knocked Out), put 2 damage counters on the Attacking Pokemon.","Dark Slash","Water, Colorless, Colorless","3","40+","You may discard a Darkness Energy card attached to Sharpedo. If you do, this attack does 40 damage plus 30 more damage.","","","","","","Lightning","x2"
"ex1-23","Swampert","Pokemon","Stage 2","100","Water","Rare","Colorless, Colorless","2","Natural Remedy","Once during your turn (before your attack), when you attach a Water Energy card from your hand to Swampert, remove 1 damage counter from Swampert.","Water Arrow","Water","1","","Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Waterfall","Water, Colorless, Colorless","3","50","","Lightning","x2"
