"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex4-1","Team Aqua's Cacturne","Pokemon","80","Grass, Darkness","Rare Holo","Colorless, Colorless","2","","","Dark Bind","Darkness","1","10","You may discard a Darkness Energy card attached to Team Aqua's Cacturne. If you do, the Defending Pokemon is now Paralyzed.","Poison Barb","Grass, Colorless, Colorless","3","40","The Defending Pokemon is now Poisoned.","Fire","x2"
"ex4-2","Team Aqua's Crawdaunt","Pokemon","80","Water, Darkness","Rare Holo","Colorless","1","","","Aqua Reverse","Darkness, Colorless","2","20","Before doing damage, you may choose 1 of your opponent's Benched Pokemon that has Team Magma in its name and switch it with 1 of the Defending Pokemon. Your opponent chooses the Defending Pokemon to switch.","Deep Impact","Water, Water, Colorless","3","40","If the Defending Pokemon already has any damage counters on it, the Defending Pokemon is now Confused.","Lightning","x2"
"ex4-3","Team Aqua's Kyogre","Pokemon","100","Water, Darkness","Rare Holo","Colorless, Colorless, Colorless","3","Power Saver","As long as the number of Pokemon in play (both yours and your opponent's) that has Team Aqua in its name is 3 or less, Team Aqua's Kyogre can't attack.","Aqua Trip","Water, Colorless","2","10","Flip a coin. If heads, the Defending Pokemon is now Confused. If tails, the Defending Pokemon is now Asleep.","Aqua Smash","Water, Water, Colorless","3","50+","If the Defending Pokemon is affected by a Special Condition, this attack does 50 damage plus 20 more damage.","Grass","x2"
"ex4-4","Team Aqua's Manectric","Pokemon","70","Lightning, Darkness","Rare Holo","Colorless","1","Power Shift","Once during your turn (before your attack), you may move any number of basic Energy cards attached to 1 of your Pokemon with Team Aqua in its name to another of your Pokemon. This power can't be used if Team Aqua's Manectric is affected by a Special Condition.","Thunderspark","Lightning, Colorless, Colorless","3","50","Does 10 damage to each Benched Pokemon (both yours and your opponent's) that has Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fighting","x2"
"ex4-5","Team Aqua's Sharpedo","Pokemon","70","Water, Darkness","Rare Holo","","0","","","Rage","Colorless, Colorless","2","10+","Does 10 damage plus 10 more damage for each damage counter on Team Aqua's Sharpedo.","Aqua Slash","Water, Water, Colorless","3","60","Team Aqua's Sharpedo can't attack during your next turn.","Lightning","x2"
"ex4-6","Team Aqua's Walrein","Pokemon","120","Water, Darkness","Rare Holo","Colorless, Colorless","2","","","Power Blow","Water","1","10+","Does 10 damage plus 10 more damage for each Energy attached to Team Aqua's Walrein.","Hydro Reverse","Water, Water, Colorless, Colorless","4","50+","You may return any number of basic Water Energy cards attached to all of your Pokemon to your hand. If you do, this attack does 50 damage plus 10 more damage for each Energy you returned.","Fighting","x2"
"ex4-7","Team Magma's Aggron","Pokemon","120","Fighting, Darkness","Rare Holo","Colorless, Colorless","2","","","Crush","Fighting","1","30x","Flip a coin for each Energy attached to Team Magma's Aggron. This attack does 30 damage times the number of heads.","Land Stream","Fighting, Fighting, Colorless, Colorless","4","50+","You may discard any number of basic Energy cards attached to Team Magma's Aggron. If you do, this attack does 50 damage plus 20 more damage for each basic Energy card you discarded.","Grass","x2"
"ex4-8","Team Magma's Claydol","Pokemon","80","Psychic, Darkness","Rare Holo","Colorless, Colorless","2","Magma Switch","Once during your turn (before your attack), you may move an Energy card attached to your Pokemon with Team Magma in its name to another of your Pokemon. This power can't be used if Team Magma's Claydol is affected by a Special Condition.","Dark Hand","Psychic, Colorless, Colorless","3","40+","If you have more cards in your hand than your opponent, this attack does 40 damage plus 20 more damage.","","","","","","Psychic","x2"
"ex4-9","Team Magma's Groudon","Pokemon","100","Fighting, Darkness","Rare Holo","Colorless, Colorless, Colorless","3","Power Saver","As long as the number of Pokemon in play (both yours and your opponent's) that has Team Magma in its name is 3 or less, Team Magma's Groudon can't attack.","Linear Attack","Fighting, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Pulverize","Fighting, Fighting, Colorless","3","50+","If the Defending Pokemon already has at least 2 damage counters on it, this attack does 50 damage plus 20 more damage.","Grass","x2"
"ex4-10","Team Magma's Houndoom","Pokemon","70","Fire, Darkness","Rare Holo","Colorless","1","","","Roasting Heat","Fire, Colorless","2","30+","If the Defending Pokemon is Burned, this attack does 30 damage plus 20 more damage.","Magma Spurt","Fire, Colorless, Colorless","3","30x","Discard the top 5 cards from your deck. This attack does 30 damage times the number of Fire and Fighting basic Energy cards discarded in this way.","Water","x2"
"ex4-11","Team Magma's Rhydon","Pokemon","90","Fighting, Darkness","Rare Holo","Colorless, Colorless","2","","","Magma Jab","Darkness, Colorless","2","20","This attack's damage is not affected by Resistance.","Shoot Down","Fighting, Fighting, Colorless","3","50","If the Defending Pokemon has Team Aqua in its name, the Defending Pokemon is now Confused.","Grass","x2"
"ex4-12","Team Magma's Torkoal","Pokemon","80","Fire, Darkness","Rare Holo","Colorless, Colorless","2","","","Magma Burn","Fire","1","10","Discard the top card from your opponent's deck, and flip a coin. If tails, discard a Fire Energy attached to Team Magma's Torkoal.","Hot Air","Fire, Colorless","2","30","Discard a Fire Energy attached to Team Magma's Torkoal and your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon, if any.","Water","x2"
"ex4-13","Raichu","Pokemon","80","Lightning","Rare","Colorless","1","","","Spark","Lightning, Colorless","2","20","Does 10 damage to 2 of your opponent's Benched Pokemon (1 if there is only 1). (Don't apply Weakness and Resistance for Benched Pokemon.)","Kerzap","Lightning, Lightning, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 40 more damage to the Defending Pokemon and discard all Lightning Energy cards attached to Raichu.","Fighting","x2"
"ex4-14","Team Aqua's Crawdaunt","Pokemon","80","Water","Rare","Colorless","1","","","Poison Reaction","Water, Colorless","2","20+","If the Defending Pokemon is Poisoned, this attack does 20 damage plus 20 more damage.","Double Claw","Water, Colorless, Colorless","3","30+","Flip 2 coins. This attack does 30 damage plus 20 more damage for each heads.","Lightning","x2"
"ex4-15","Team Aqua's Mightyena","Pokemon","70","Darkness","Rare","Colorless","1","","","Bite","Darkness, Colorless","2","20","","Mystic Fang","Water, Colorless, Colorless","3","50","If the Defending Pokemon is Pokemon-ex, the Defending Pokemon is now Confused.","Grass","x2"
"ex4-16","Team Aqua's Sealeo","Pokemon","70","Water","Rare","Colorless","1","","","Aqua Trance","Water","1","20","At the end of your opponent's next turn, the Defending Pokemon is now Asleep.","Super Hypnoblast","Water, Colorless","2","30+","If the Defending Pokemon is Asleep, this attack does 30 damage plus 20 more damage.","Metal","x2"
"ex4-17","Team Aqua's Seviper","Pokemon","80","Grass","Rare","Colorless, Colorless","2","","","Call for Family","Colorless","1","","Search your deck for a Grass Basic Pokemon or Basic Pokemon with Team Aqua in its name and put it onto your Bench. Shuffle your deck afterward.","Thick Poison","Grass, Colorless, Colorless","3","20","Flip a coin. If heads, the Defending Pokemon is now Confused and Poisoned. If tails, the Defending Pokemon is now Poisoned.","Psychic","x2"
"ex4-18","Team Aqua's Sharpedo","Pokemon","70","Water","Rare","","0","","","Slow-Acting Poison","Colorless, Colorless","2","20","At the end of your opponent's next turn, the Defending Pokemon is now Poisoned.","Aqua Smash","Water, Water, Colorless","3","50+","If the Defending Pokemon is affected by a Special Condition, this attack does 50 damage plus 20 more damage.","Lightning","x2"
"ex4-19","Team Magma's Camerupt","Pokemon","80","Fire","Rare","Colorless, Colorless","2","Overheat","Once during your turn (before your attack), you may search your discard pile for a basic Energy card and attach it to Team Magma's Camerupt. Put 2 damage counters on Team Mamga's Camerupt. This power can't be used if Team Magma's Camerupt is affected by a Special Condition.","Flame Ball","Fire, Colorless, Colorless","3","50","You may move a Fire Energy card attached to Team Magma's Camerupt to 1 of your Benched Pokemon.","","","","","","Water","x2"
"ex4-20","Team Magma's Lairon","Pokemon","80","Fighting","Rare","Colorless, Colorless","2","","","Body Slam","Colorless","1","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Tackle","Fighting, Fighting, Colorless","3","50","","Grass","x2"
"ex4-21","Team Magma's Mightyena","Pokemon","70","Darkness","Rare","Colorless","1","","","Overrun","Fighting","1","10","Choose 1 of your opponent's Benched Pokemon. This attack does 10 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Bite Off","Darkness, Colorless, Colorless","3","40+","If the Defending Pokemon is Pokemon-ex, this attack does 40 damage plus 40 more damage.","Fighting","x2"
"ex4-22","Team Magma's Rhydon","Pokemon","80","Fighting","Rare","Colorless, Colorless","2","","","Second Strike","Colorless, Colorless","2","20+","If the Defending Pokemon already has at least 2 damage counters on it, this attack does 20 damage plus 20 more damage.","Land Crush","Fighting, Fighting, Colorless","3","60","Flip a coin. If tails, discard an Energy card attached to Team Magma's Rhydon.","Grass","x2"
"ex4-23","Team Magma's Zangoose","Pokemon","70","Colorless","Rare","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for a Colorless Basic Pokemon or Basic Pokemon with Team Magma in its name and put it onto your Bench. Shuffle your deck afterward.","Team Play","Colorless, Colorless, Colorless","3","10x","Does 10 damage times the number of Pokemon in play with Team Magma in its name.","Fighting","x2"
"ex4-24","Team Aqua's Cacnea","Pokemon","50","Grass, Darkness","Uncommon","Colorless","1","","","Paralyzing Gaze","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Pin Missile","Colorless, Colorless","2","10x","Flip 4 coins. This attack does 10 damage times the number of heads.","Fire","x2"
"ex4-25","Team Aqua's Carvanha","Pokemon","50","Water","Uncommon","Colorless","1","Dark Lift","If Team Aqua's Carvanha has any Darkness Energy attached to it, the Retreat Cost for Team Aqua's Carvanha is 0.","Slow-Acting Poison","Colorless, Colorless","2","20","At the end of your opponent's next turn, the Defending Pokemon is now Poisoned.","","","","","","Lightning","x2"
"ex4-26","Team Aqua's Corphish","Pokemon","50","Water","Uncommon","Colorless","1","","","Double Pinchers","Colorless","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","Dark Poison","Darkness, Colorless","2","20","Discard a basic Energy card attached to Team Aqua's Corphish or this attack does nothing. The Defending Pokemon is now Poisoned.","Lightning","x2"
"ex4-27","Team Aqua's Electrike","Pokemon","50","Lightning","Uncommon","Colorless","1","","","Random Spark","Lightning","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Plasma","Colorless, Colorless","2","10","Flip a coin. If heads, search your discard pile for a Lightning Energy card and attach it to Team Aqua's Electrike.","Fighting","x2"
"ex4-28","Team Aqua's Lanturn","Pokemon","80","Lightning","Uncommon","Colorless","1","Auxiliary Light","Once during your turn (before your attack), you may attach a basic Energy card from your hand to Team Aqua's Lanturn. Put 2 damage counters on Team Aqua's Lanturn. This power can't be used if Team Aqua's Lanturn is affected by a Special Condition.","Lightning Ball","Lightning, Colorless, Colorless","3","50","","","","","","","Fighting","x2"
"ex4-29","Team Aqua's Manectric","Pokemon","80","Lightning","Uncommon","Colorless","1","","","Aqua Beam","Lightning, Colorless","2","20","If the Defending Pokemon has Team Magma in its name, the Defending Pokemon is now Confused.","Chaos Crush","Lightning, Colorless, Colorless","3","50","If the Defending Pokemon is Confused, discard an Energy card attached to the Defending Pokemon.","Fighting","x2"
"ex4-30","Team Aqua's Mightyena","Pokemon","80","Darkness","Uncommon","Colorless","1","","","Aqua Call","Colorless","1","","Search your deck for Pokemon that has Team Aqua in its name, show up to 3 of them to your opponent, and put them into your hand. Shuffle your deck afterward.","Wave Splash","Water, Colorless","2","30","","Grass","x2"
"ex4-31","Team Aqua's Sealeo","Pokemon","80","Water","Uncommon","Colorless, Colorless","2","","","Aurora Beam","Colorless, Colorless","2","20","","Knock Over","Water, Water, Colorless","3","40","You may discard any Stadium card in play.","Metal","x2"
"ex4-32","Team Magma's Baltoy","Pokemon","50","Psychic","Uncommon","Colorless","1","","","Psymist","Colorless","1","","Flip 2 coins. For each heads, choose 1 of you opponent's Pokemon and put 1 damage counter on that Pokemon.","Pain Amplifier","Psychic, Colorless","2","","Put 1 damage counter on each of your opponent's Pokemon that already has damage counters on it.","Psychic","x2"
"ex4-33","Team Magma's Claydol","Pokemon","80","Fighting","Uncommon","Colorless","1","","","Clay Curse","Colorless, Colorless","2","","Put 2 damage counters on your opponent's Pokemon in any way you like.","Clay Pulse","Fighting, Fighting, Colorless","3","50","Does 10 damage to each of your opponent's Benched Pokemon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","x2"
"ex4-34","Team Magma's Houndoom","Pokemon","70","Fire","Uncommon","Colorless","1","","","Target Scorch","Fire, Colorless","2","30","If the Defending Pokemon has Team Aqua in its name, the Defending Pokemon is now Burned.","Damage Burn","Fire, Colorless, Colorless","3","40+","If the Defending Pokemon already has any damage counters on it, this attack does 40 damage plus 20 more damage.","Water","x2"
"ex4-35","Team Magma's Houndour","Pokemon","50","Fire","Uncommon","Colorless","1","","","Singe","Fire","1","","Flip a coin. If heads, the Defending Pokemon is now Burned.","Dark Shock","Darkness, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Water","x2"
"ex4-36","Team Magma's Lairon","Pokemon","70","Fighting","Uncommon","Colorless","1","","","Gnaw","Colorless","1","20","","Land Sonic","Fighting, Fighting, Colorless","3","40","If the Defending Pokemon already has any damage counters on it, the Defending Pokemon is now Confused.","Grass","x2"
"ex4-37","Team Magma's Mightyena","Pokemon","80","Darkness","Uncommon","Colorless","1","Call for Help","Once during your turn (before your attack), if Team Magma's Mightyena is your Active Pokemon, you may search your deck for a Pokemon with Team Magma in its name, show it to your opponent, and put it into your hand. Shuffle your deck afterward. This power can't be used if Team Magma's Mightyena is affected by a Special Condition.","Lunge","Fighting, Colorless","2","50","Flip a coin. If tails, this attack does nothing.","","","","","","Fighting","x2"
"ex4-38","Team Magma's Rhyhorn","Pokemon","50","Fighting","Uncommon","Colorless","1","","","Double Damage","Colorless","1","","Does 10 damage to each Defending Pokemon.","Horn Rush","Fighting, Colorless, Colorless","3","60","Flip a coin. If tails, this attack does nothing.","Grass","x2"
"ex4-39","Bulbasaur","Pokemon","50","Grass","Common","Colorless","1","","","Growth","Colorless","1","","Attach a Grass Energy card from your hand to Bulbasaur.","Razor Leaf","Grass","1","10","","Fire","x2"
"ex4-40","Cubone","Pokemon","50","Fighting","Common","Colorless","1","","","Bone Attack","Fighting","1","20","Flip a coin. If tails, this attack does nothing.","","","","","","Grass","x2"
"ex4-41","Jigglypuff","Pokemon","50","Colorless","Common","Colorless","1","","","Doubleslap","Colorless","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","Rest","Colorless, Colorless","2","","Remove all Special Conditions and 3 damage counters from Jigglypuff (all if there are less than 3). Jigglypuff is now Asleep.","Fighting","x2"
"ex4-42","Meowth","Pokemon","50","Colorless","Common","Colorless","1","","","Plunder","Colorless","1","10","Before doing damage, discard all Trainer cards attached to the Defending Pokemon (before they affect the damage).","Scratch","Colorless, Colorless","2","20","","Fighting","x2"
"ex4-43","Pikachu","Pokemon","50","Lightning","Common","Colorless","1","","","Agility","Colorless","1","","Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.","Thundershock","Lightning, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fighting","x2"
"ex4-44","Psyduck","Pokemon","40","Water","Common","Colorless","1","","","Bubble","Water","1","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Confuse Ray","Psychic","1","10","Flip a coin. If heads, the Defending Pokemon is now Confused.","Lightning","x2"
"ex4-45","Slowpoke","Pokemon","50","Psychic","Common","Colorless","1","","","Amnesia","Psychic","1","","Choose 1 of the Defending Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn.","Tail Strike","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","Psychic","x2"
"ex4-46","Squirtle","Pokemon","50","Water","Common","Colorless","1","Shell Retreat","As long as Squirtle has any Energy cards attached to it, damage done to Squirtle by an opponent's attack is reduced by 10 (after applying Weakness and Resistance).","Tackle","Colorless","1","10","","","","","","","Lightning","x2"
"ex4-47","Team Aqua's Carvanha","Pokemon","40","Water","Common","Colorless","1","","","Confuse Ray","Colorless","1","10","Flip a coin. If heads, the Defending Pokemon is now Confused.","Poison Fang","Water, Colorless","2","10","The Defending Pokemon is now Poisoned.","Lightning","x2"
"ex4-48","Team Aqua's Carvanha","Pokemon","50","Water","Common","Colorless","1","","","Wave Splash","Water","1","10","","Razor Fin","Colorless, Colorless","2","20","","Lightning","x2"
"ex4-49","Team Aqua's Chinchou","Pokemon","50","Lightning","Common","Colorless","1","","","Confuse Ray","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Confused.","Wave Splash","Lightning, Colorless","2","20","","Fighting","x2"
"ex4-50","Team Aqua's Corphish","Pokemon","40","Water","Common","Colorless","1","","","Toxic Grip","Colorless","1","","The Defending Pokemon is now Poisoned.","","","","","","Lightning","x2"
"ex4-51","Team Aqua's Corphish","Pokemon","50","Water","Common","Colorless","1","","","Slash","Water","1","10","","Slow-Acting Poison","Colorless, Colorless","2","10","At the end of your opponent's next turn, the Defending Pokemon is now Poisoned.","Lightning","x2"
"ex4-52","Team Aqua's Electrike","Pokemon","50","Lightning","Common","Colorless","1","","","Scratch","Colorless","1","10","","Thundershock","Lightning, Colorless","2","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fighting","x2"
"ex4-53","Team Aqua's Electrike","Pokemon","50","Lightning","Common","Colorless","1","","","Self Charge","Colorless","1","","Attach an Energy card from your hand to Team Aqua's Electrike.","Tackle","Colorless, Colorless","2","20","","Fighting","x2"
"ex4-54","Team Aqua's Poochyena","Pokemon","40","Darkness","Common","Colorless","1","","","Double Scratch","Colorless","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","Tail Slap","Colorless, Colorless","2","20","","Grass","x2"
"ex4-55","Team Aqua's Poochyena","Pokemon","50","Darkness","Common","Colorless","1","","","Roar","Colorless","1","","Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon, if any.","Aqua Crush","Water, Colorless","2","10","Flip a coin. If heads, discard an Energy card attached to the Defending Pokemon.","Grass","x2"
"ex4-56","Team Aqua's Spheal","Pokemon","40","Water","Common","Colorless","1","","","Powder Snow","Water","1","10","The Defending Pokemon is now Asleep.","","","","","","Metal","x2"
"ex4-57","Team Aqua's Spheal","Pokemon","50","Water","Common","Colorless","1","","","Rollout","Water","1","10","","Aqua Trance","Water, Colorless","2","20","At the end of your opponent's next turn, the Defending Pokemon is now Asleep.","Metal","x2"
"ex4-58","Team Magma's Aron","Pokemon","50","Fighting","Common","Colorless","1","","","Mud Slap","Fighting","1","10","","Tackle","Colorless, Colorless","2","20","","Grass","x2"
"ex4-59","Team Magma's Aron","Pokemon","50","Fighting","Common","Colorless","1","","","Dig Under","Fighting","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance.","","","","","","Grass","x2"
"ex4-60","Team Magma's Baltoy","Pokemon","50","Fighting","Common","Colorless","1","","","Peck","Colorless","1","10","","Double Spin","Fighting, Colorless","2","20x","Flip 2 coins. This attack does 20 damage times the number of heads.","Grass","x2"
"ex4-61","Team Magma's Baltoy","Pokemon","50","Fighting","Common","Colorless","1","","","Night Attack","Fighting","1","","Put 1 damage counter on 1 of your opponent's Pokemon.","Spinning Attack","Colorless, Colorless","2","20","","Grass","x2"
"ex4-62","Team Magma's Houndour","Pokemon","50","Fire","Common","Colorless","1","","","Combustion","Fire","1","10","","Super Singe","Fire, Colorless","2","10","The Defending Pokemon is now Burned.","Water","x2"
"ex4-63","Team Magma's Houndour","Pokemon","50","Fire","Common","Colorless","1","","","Kick Away","Colorless","1","10","Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon, if any.","Steady Firebreathing","Fire, Colorless","2","20","","Water","x2"
"ex4-64","Team Magma's Numel","Pokemon","50","Fire","Common","Colorless","1","","","Collect","Colorless","1","","Draw a card.","Combustion","Fire, Colorless","2","20","","Water","x2"
"ex4-65","Team Magma's Poochyena","Pokemon","40","Darkness","Common","Colorless","1","","","Snarl","Colorless","1","","Flip a coin. If heads, this attack does 10 damage to the Defending Pokemon. If tails, the Defending Pokemon is now Paralyzed.","","","","","","Fighting","x2"
"ex4-66","Team Magma's Poochyena","Pokemon","50","Darkness","Common","Colorless","1","","","Darkness Call","Colorless","1","","Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon, if any.","Sharp Fang","Fighting, Colorless","2","20","","Fighting","x2"
"ex4-67","Team Magma's Rhyhorn","Pokemon","50","Fighting","Common","Colorless","1","","","Double Stab","Fighting","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","Second Strike","Colorless, Colorless","2","10+","If the Defending Pokemon already has at least 2 damage counters on it, this attack does 10 damage plus 20 more damage.","Grass","x2"
"ex4-68","Team Magma's Rhyhorn","Pokemon","60","Fighting","Common","Colorless, Colorless","2","","","Ram","Colorless","1","10","","Knock Over","Fighting, Colorless","2","10","You may discard any Stadium card in play.","Grass","x2"
