"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"g1-3","Caterpie","Pokemon","Basic","40","Grass","Common","Colorless","1","Adaptive Evolution","This Pokemon can evolve during your first turn or the turn you play it.","Bug Bite","Grass","1","10","","","","","","","Fire","x2"
"g1-4","Metapod","Pokemon","Stage 1","70","Grass","Uncommon","Colorless, Colorless","2","Adaptive Evolution","This Pokemon can evolve during your first turn or the turn you play it.","Harden","Colorless, Colorless","2","","During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.","","","","","","Fire","x2"
"g1-5","Butterfree","Pokemon","Stage 2","130","Grass","Rare Holo","Colorless","1","","","Quiver Dance","Grass","1","","Search your deck for a basic Energy card and attach it to this Pokemon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokemon.","Gust","Grass, Colorless, Colorless","3","70","","Lightning","x2"
"g1-6","Paras","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Blot","Colorless","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"g1-7","Parasect","Pokemon","Stage 1","100","Grass","Rare","Colorless, Colorless","2","","","Colorful Spores","Colorless","1","","Choose 3 of your Pokemon. For each of those Pokemon, search your deck for a different type of basic Energy card and attach it to that Pokemon. Shuffle your deck afterward.","X-Scissor","Grass, Colorless","2","30+","Flip a coin. If heads, this attack does 30 more damage.","Fire","x2"
"g1-8","Tangela","Pokemon","Basic","80","Grass","Common","Colorless, Colorless","2","","","Absorb","Grass, Colorless","2","20","Heal 20 damage from this Pokemon.","Vine Whip","Grass, Grass, Colorless","3","30","","Fire","x2"
"g1-9","Pinsir","Pokemon","Basic","100","Grass","Rare","Colorless, Colorless","2","","","Overhead Throw","Grass","1","30","This attack does 20 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Heavy Suplex","Grass, Colorless, Colorless","3","40+","This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.","Fire","x2"
"g1-14","Ponyta","Pokemon","Basic","60","Fire","Common","Colorless","1","","","Agility","Fire","1","10","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","Flame Tail","Colorless, Colorless","2","20","","Water","x2"
"g1-15","Rapidash","Pokemon","Stage 1","90","Fire","Rare","","0","","","Agility","Fire","1","20","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","Overrun","Colorless, Colorless","2","40","This attack does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Water","x2"
"g1-16","Magmar","Pokemon","Basic","80","Fire","Common","Colorless, Colorless","2","","","Ram","Fire","1","10","","Ember","Fire, Colorless","2","30","Discard a Fire Energy attached to this Pokemon.","Water","x2"
