"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"hgss2-1","Jirachi","Pokemon","60","Psychic","Rare Holo","Colorless","1","Stardust Song","Once during your turn, when you put Jirachi from your hand onto your Bench, you may flip 3 coins. For each heads, search your discard pile for a Psychic Energy card and attach it to Jirachi.","Time Hollow","Psychic","1","","Choose a number of your opponent's Stage 1 or Stage 2 Evolved Pokemon up to the amount of Energy attached to Jirachi. Remove the highest Stage Evolution card from each of those Pokemon and put those cards back into your opponent's hand.","","","","","","Psychic","x2"
"hgss2-2","Magmortar","Pokemon","110","Fire","Rare Holo","Colorless, Colorless","2","","","Hard Crush","Fire, Colorless, Colorless","3","50x","Discard the top 3 cards from your deck. This attack does 50 damage times the number of Energy cards you discarded.","Mantle Bazooka","Fire, Fire, Colorless, Colorless","4","100","Discard 2 Fire Energy attached to Magmortar.","Water","x2"
"hgss2-3","Manaphy","Pokemon","60","Water","Rare Holo","","0","","","Deep Sea Swirl","Colorless","1","","Shuffle your hand into your deck. Then, draw 5 cards.","Wave Splash","Water","1","20","","Lightning","x2"
"hgss2-4","Metagross","Pokemon","130","Psychic","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","Psychic Float","If you have any Psychic Energy attached to your Active Pokemon, the Retreat Cost for that Pokemon is 0.","Pulse Blast","Colorless, Colorless","2","60","","Double Leg Hammer","Psychic, Psychic, Psychic","3","","Choose 2 of your opponent's Benched Pokemon. This attack does 40 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokemon.)","Psychic","x2"
"hgss2-5","Mismagius","Pokemon","90","Psychic","Rare Holo","Colorless","1","Magical Trans","Once during your turn (before your attack), you may move a Psychic Energy attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Mismagius is affected by a Special Condition.","Psychic Pulse","Psychic","1","30","Does 10 damage to each of your opponent's Benched Pokemon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Darkness","x2"
"hgss2-6","Octillery","Pokemon","80","Water","Rare Holo","Colorless, Colorless","2","","","Switch Cannon","Water","1","","Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Switch Octillery with 1 of your Benched Pokemon.","Ink Bomb","Water, Colorless, Colorless","3","50","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","Lightning","x2"
"hgss2-7","Politoed","Pokemon","120","Water","Rare Holo","Colorless, Colorless","2","Leap Frog","Once during your turn (before your attack), you may choose a Water Pokemon on your Bench and switch it with your Active Pokemon. This power can't be used if Politoed is affected by a Special Condition.","Big Chorus","Water, Colorless, Colorless","3","30x","Flip a coin for each Water Pokemon you have in play. This attack does 30 damage times the number of heads.","","","","","","Lightning","x2"
"hgss2-8","Shaymin","Pokemon","70","Grass","Rare Holo","Colorless","1","Celebration Wind","Once during your turn, when you put Shaymin from your hand onto your Bench, you may move as many Energy cards attached to your Pokemon as you like to any of your other Pokemon.","Energy Bloom","Grass, Colorless","2","30","Remove 3 damage counters from each of your Pokemon that has any Energy attached to it.","","","","","","Fire","x2"
"hgss2-9","Sudowoodo","Pokemon","90","Fighting","Rare Holo","Colorless, Colorless","2","","","Push Over","Fighting","1","20x","Does 20 damage times the amount of Fighting Energy attached to Sudowoodo.","Rumble","Colorless, Colorless, Colorless","3","40","The Defending Pokemon can't retreat during your opponent's next turn.","Water","x2"
"hgss2-10","Torterra","Pokemon","140","Grass","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Giga Drain","Grass, Colorless, Colorless","3","40","Remove from Torterra the number of damage counters equal to the damage you did to the Defending Pokemon.","Land Crush","Grass, Colorless, Colorless, Colorless","4","80","","Fire","x2"
"hgss2-11","Xatu","Pokemon","90","Psychic","Rare Holo","Colorless","1","","","Psywave","Psychic","1","20x","Does 20 damage times the amount of Energy attached to the Defending Pokemon.","Confuse Ray","Psychic, Colorless, Colorless","3","50","Flip a coin. If heads, the Defending Pokemon is now Confused.","Lightning","x2"
"hgss2-12","Beedrill","Pokemon","110","Grass","Rare","","0","","","Twineedle","Grass","1","50x","Flip 2 coins. This attack does 50 damage times the number of heads.","Paralyze Poison","Grass, Colorless","2","20","The Defending Pokemon is now Poisoned. Flip a coin. If heads, the Defending Pokemon is also Paralyzed.","Fire","x2"
"hgss2-13","Blastoise","Pokemon","130","Water","Rare","Colorless, Colorless, Colorless","3","Wash Out","As often as you like during your turn (before your attack), you may move a Water Energy attached to 1 of your Benched Pokemon to your Active Pokemon. This power can't be used if Blastoise is affected by a Special Condition.","Hydro Launcher","Water, Water, Colorless, Colorless","4","","Return 2 Water Energy attached to Blastoise to your hand. Choose 1 of your opponent's Pokemon. This attack does 100 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Lightning","x2"
"hgss2-14","Crobat","Pokemon","110","Psychic","Rare","","0","","","Supersonic","Psychic","1","30","The Defending Pokemon is now Confused.","Hurricane Wing","Psychic, Colorless, Colorless","3","30x","Flip 4 coins. This attack does 30 damage times the number of heads.","Lightning","x2"
"hgss2-15","Fearow","Pokemon","80","Colorless","Rare","Colorless","1","","","Wing Attack","Colorless, Colorless","2","30","","Repeating Drill","Colorless, Colorless, Colorless","3","20x","Flip 5 coins. This attack does 20 damage times the number of heads.","Lightning","x2"
"hgss2-16","Floatzel","Pokemon","80","Water","Rare","","0","Water Acceleration","Once during your turn (before your attack), you may attach a Water Energy card from your hand to Floatzel. This power can't be used if Floatzel is affected by a Special Condition.","Waterfall","Water, Water, Colorless","3","60","","","","","","","Lightning","x2"
"hgss2-17","Kingdra","Pokemon","130","Water","Rare","Colorless","1","","","Water Arrow","Water","1","","Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Stream Pump","Water, Colorless, Colorless","3","50+","You may do 50 damage plus 30 more damage. If you do, return an Energy card attached to Kingdra to your hand.","Lightning","x2"
"hgss2-18","Lanturn","Pokemon","90","Lightning","Rare","Colorless, Colorless","2","","","Confuse Ray","Lightning","1","20","Flip a coin. If heads, the Defending Pokemon is now Confused.","Reflect Energy","Lightning, Colorless, Colorless","3","60","Move an Energy card attached to Lanturn to 1 of your Benched Pokemon.","Fighting","x2"
"hgss2-19","Lucario","Pokemon","90","Fighting","Rare","Colorless","1","","","Bulk Up","Colorless","1","30","During your next turn, each of Lucario's attacks does 30 more damage to the Defending Pokemon (before applying Weakness and Resistance).","Magnum Punch","Fighting, Fighting","2","50","","Psychic","x2"
"hgss2-20","Ninetales","Pokemon","90","Fire","Rare","Colorless","1","","","Heat Acceleration","Fire","1","","Search your discard pile for up to 3 Fire Energy cards and attach them to 1 of your Pokemon.","Searing Flame","Fire, Colorless","2","30","The Defending Pokemon is now Burned.","Water","x2"
"hgss2-21","Poliwrath","Pokemon","130","Water","Rare","Colorless, Colorless, Colorless","3","","","Steamroll","Water, Colorless","2","40","Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Dynamic Punch","Water, Colorless, Colorless","3","60+","Flip a coin. If heads, this attack does 60 damage plus 40 more damage and the Defending Pokemon is now Confused.","Lightning","x2"
"hgss2-22","Primeape","Pokemon","90","Fighting","Rare","Colorless","1","","","Low Kick","Colorless, Colorless","2","30","","Bebop Punch","Fighting, Fighting","2","","Choose 1 of your opponent's Pokemon. Flip a coin until you get tails. This attack does 50 damage times the number of heads to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Psychic","x2"
"hgss2-23","Roserade","Pokemon","90","Grass","Rare","Colorless","1","Energy Signal","When you attach a Grass Energy card or Psychic Energy card from your hand to Roserade during your turn, you may use this power. If you attach a Grass Energy card, the Defending Pokemon is now Confused. If you attach a Psychic Energy card, the Defending Pokemon is now Poisoned. This power can't be used if Roserade is affected by a Special Condition.","Power Blow","Grass, Colorless","2","20x","Does 20 damage times the amount of Energy attached to Roserade.","","","","","","Fire","x2"
"hgss2-24","Steelix","Pokemon","120","Metal","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Guard Press","Metal, Colorless, Colorless","3","40","During your opponent's next turn, any damage done to Steelix by attacks is reduced by 20 (after applying Weakness and Resistance).","Steel Swing","Metal, Metal, Colorless, Colorless","4","80x","Flip 2 coins. This attack does 80 damage times the number of heads.","Fire","x2"
