"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pgo-1","Bulbasaur","Pokemon","Basic","70","Grass","Common","Colorless, Colorless","2","","","Vine Whip","Grass","1","10","","Razor Leaf","Grass, Colorless","2","20","","Fire","x2"
"pgo-2","Ivysaur","Pokemon","Stage 1","100","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Summoning Aroma","Grass","1","","Search your deck for up to 2 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.","Razor Leaf","Grass, Colorless, Colorless","3","60","","Fire","x2"
"pgo-3","Venusaur","Pokemon","Stage 2","180","Grass","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","Loopy Lasso","Once during your turn, you may flip a coin. If heads, switch 1 of your opponent's Benched Pokemon with their Active Pokemon, and the new Active Pokemon is now Asleep and Poisoned.","Solar Beam","Grass, Grass, Colorless, Colorless","4","130","","","","","","","Fire","x2"
"pgo-6","Spinarak","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Poison Sting","Grass","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","","","","","","Fire","x2"
"pgo-7","Ariados","Pokemon","Stage 1","110","Grass","Uncommon","Colorless","1","","","Poison String-Up","Colorless","1","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed and Poisoned.","Absorb","Grass, Colorless","2","50","Heal 50 damage from this Pokemon.","Fire","x2"
"pgo-8","Charmander","Pokemon","Basic","60","Fire","Common","Colorless","1","","","Tail on Fire","Fire","1","10","Search your deck for a Fire Energy card and attach it to this Pokemon. Then, shuffle your deck.","","","","","","Water","x2"
"pgo-9","Charmeleon","Pokemon","Stage 1","90","Fire","Uncommon","Colorless, Colorless","2","","","Scratch","Fire, Colorless","2","30","","Flamethrower","Fire, Fire, Colorless, Colorless","4","100","Discard a Fire Energy from this Pokemon.","Water","x2"
"pgo-10","Charizard","Pokemon","Stage 2","170","Fire","Rare Holo","Colorless, Colorless, Colorless","3","Burn Brightly","Each basic Fire Energy attached to your Pokemon provides FireFire Energy. You can't apply more than 1 Burn Brightly Ability at a time.","Flare Blitz","Fire, Fire, Colorless, Colorless","4","170","Discard all Fire Energy from this Pokemon.","","","","","","Water","x2"
"pgo-12","Moltres","Pokemon","Basic","120","Fire","Rare Holo","Colorless, Colorless","2","Flare Symbol","Your Basic Fire Pokemon's attacks, except any Moltres, do 10 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Fire Wing","Fire, Fire, Colorless","3","110","","","","","","","Water","x2"
"pgo-13","Numel","Pokemon","Basic","80","Fire","Common","Colorless, Colorless, Colorless","3","","","Tackle","Fire, Colorless","2","20","","Stomp","Fire, Fire, Colorless","3","50+","Flip a coin. If heads, this attack does 50 more damage.","Water","x2"
"pgo-14","Camerupt","Pokemon","Stage 1","140","Fire","Uncommon","Colorless, Colorless, Colorless, Colorless","4","","","Split Bomb","Fire, Colorless","2","","This attack does 50 damage to 2 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Heat Blast","Fire, Fire, Colorless","3","120","","Water","x2"
"pgo-15","Squirtle","Pokemon","Basic","70","Water","Common","Colorless","1","","","Water Gun","Water","1","20","","","","","","","Lightning","x2"
"pgo-16","Wartortle","Pokemon","Stage 1","90","Water","Uncommon","Colorless, Colorless","2","","","Water Gun","Water","1","30","","Hydro Pump","Colorless, Colorless, Colorless","3","50+","This attack does 10 more damage for each Water Energy attached to this Pokemon.","Lightning","x2"
"pgo-17","Blastoise","Pokemon","Stage 2","170","Water","Rare Holo","Colorless, Colorless, Colorless","3","Vitality Spring","Once during your turn, you may search your deck for up to 6 Energy cards and attach them to your Pokemon in any way you like. Then, shuffle your deck. If you use this Ability, your turn ends.","Hydro Pump","Colorless, Colorless, Colorless, Colorless","4","90+","This attack does 30 more damage for each Water Energy attached to this Pokemon.","","","","","","Lightning","x2"
"pgo-19","Slowpoke","Pokemon","Basic","70","Water","Common","Colorless, Colorless","2","","","Hold Still","Colorless","1","","Heal 30 damage from this Pokemon.","Ideal Fishing Day","Water","1","","Put an Item card from your discard pile into your hand.","Lightning","x2"
"pgo-20","Slowbro","Pokemon","Stage 1","120","Water","Uncommon","Colorless, Colorless, Colorless","3","","","Tumbling Tackle","Colorless","1","20","Both Active Pokemon are now Asleep.","Twilight Inspiration","Colorless, Colorless","2","","You can use this attack only if your opponent has exactly 1 Prize card remaining. Take 2 Prize cards.","Lightning","x2"
"pgo-21","Magikarp","Pokemon","Basic","30","Water","Common","Colorless","1","","","Lively Grouping","Colorless","1","","Search your deck for any number of Magikarp, reveal them, and put them into your hand. Then, shuffle your deck.","Raging Fin","Colorless, Colorless","2","10+","This attack does 30 more damage for each Magikarp and Gyarados in your discard pile.","Lightning","x2"
"pgo-22","Gyarados","Pokemon","Stage 1","170","Water","Rare Holo","Colorless, Colorless, Colorless","3","","","Wreak Havoc","Colorless","1","","Flip a coin until you get tails. For each heads, discard the top 2 cards of your opponent's deck.","Wild Splash","Water, Water, Colorless, Colorless","4","230","Discard the top 5 cards of your deck.","Lightning","x2"
"pgo-23","Lapras","Pokemon","Basic","120","Water","Rare Holo","Colorless, Colorless","2","","","Ice Beam","Water","1","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Surf","Water, Water, Colorless","3","110","","Lightning","x2"
"pgo-24","Articuno","Pokemon","Basic","120","Water","Rare Holo","Colorless, Colorless","2","Ice Symbol","Your Basic Water Pokemon's attacks, except any Articuno, do 10 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Freezing Wind","Water, Water, Colorless","3","110","","","","","","","Metal","x2"
"pgo-25","Wimpod","Pokemon","Basic","70","Water","Common","Colorless, Colorless, Colorless","3","Punk Out","If your opponent has any Pokemon V in play, this Pokemon has no Retreat Cost.","Gnaw","Water","1","10","","","","","","","Lightning","x2"
"pgo-26","Golisopod","Pokemon","Stage 1","130","Water","Rare Holo","Colorless, Colorless","2","","","First Impression","Water","1","20+","If this Pokemon moved from your Bench to the Active Spot this turn, this attack does 90 more damage.","Slash","Water, Colorless, Colorless","3","100","","Lightning","x2"
"pgo-27","Pikachu","Pokemon","Basic","60","Lightning","Common","Colorless","1","","","Buddy Bolt","Lightning, Colorless, Colorless","3","30+","If you played a Supporter card from your hand during this turn, this attack does 30 more damage.","","","","","","Fighting","x2"
"pgo-28","Pikachu","Pokemon","Basic","70","Lightning","Rare Holo","Colorless","1","","","Wild Charge","Lightning, Lightning, Colorless","3","90","This Pokemon also does 30 damage to itself.","","","","","","Fighting","x2"
"pgo-29","Zapdos","Pokemon","Basic","120","Lightning","Rare Holo","Colorless, Colorless","2","Lightning Symbol","Your Basic Lightning Pokemon's attacks, except any Zapdos, do 10 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Electric Ball","Lightning, Lightning, Colorless","3","110","","","","","","","Fighting","x2"
"pgo-32","Natu","Pokemon","Basic","50","Psychic","Common","Colorless","1","","","Nap","Colorless","1","","Heal 20 damage from this Pokemon.","Peck","Psychic, Colorless","2","20","","Darkness","x2"
"pgo-33","Xatu","Pokemon","Stage 1","110","Psychic","Uncommon","","0","","","Pinpoint Wave","Psychic","1","","This attack does 90 damage to 1 of your opponent's Pokemon V. This damage isn't affected by Weakness or Resistance.","Mind Bend","Psychic, Colorless","2","50","Your opponent's Active Pokemon is now Confused.","Darkness","x2"
"pgo-34","Lunatone","Pokemon","Basic","90","Psychic","Uncommon","Colorless","1","","","Cycle Draw","Psychic","1","","Discard a card from your hand. If you do, draw 3 cards.","Moon Kinesis","Colorless, Colorless, Colorless","3","30+","This attack does 30 more damage for each Psychic Energy attached to this Pokemon.","Darkness","x2"
"pgo-35","Sylveon","Pokemon","Stage 1","120","Psychic","Rare Holo","Colorless","1","","","Souvenir","Psychic","1","","Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.","Wonder Flash","Colorless, Colorless, Colorless","3","90+","If your opponent's Active Pokemon is a Dragon Pokemon, this attack does 90 more damage.","Metal","x2"
"pgo-36","Onix","Pokemon","Basic","120","Fighting","Common","Colorless, Colorless, Colorless, Colorless","4","","","Rock Tomb","Colorless, Colorless, Colorless","3","50","During your opponent's next turn, the Defending Pokemon can't retreat.","Raging Swing","Fighting, Fighting, Colorless, Colorless","4","50x","This attack does 50 damage for each damage counter on this Pokemon.","Grass","x2"
"pgo-37","Larvitar","Pokemon","Basic","60","Fighting","Common","Colorless","1","","","Rock Smash","Colorless","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Grass","x2"
"pgo-38","Pupitar","Pokemon","Stage 1","90","Fighting","Uncommon","Colorless","1","","","Crashing Bullet","Colorless","1","20","This attack also does 20 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)","Tackle","Fighting, Colorless, Colorless","3","70","","Grass","x2"
"pgo-39","Solrock","Pokemon","Basic","90","Fighting","Uncommon","Colorless","1","Sun Energy","Once during your turn, you may attach a Psychic Energy card from your discard pile to 1 of your Lunatone.","Spinning Attack","Fighting, Colorless","2","50","","","","","","","Grass","x2"
"pgo-41","Alolan Rattata","Pokemon","Basic","40","Darkness","Common","Colorless","1","","","Hyper Fang","Colorless, Colorless","2","50","Flip a coin. If tails, this attack does nothing.","","","","","","Grass","x2"
