"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pop8-1","Heatran","Pokemon","Basic","100","Fire","Rare","Colorless, Colorless, Colorless","3","","","Body Slam","Colorless, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fire Spin","Fire, Fire, Fire, Colorless","4","90","Discard 2 Basic Energy cards attached to Heatran. (If you can't discard cards, this attack does nothing.","Water","+30"
"pop8-2","Lucario","Pokemon","Stage 1","90","Fighting","Rare","Colorless","1","","","Blocking Punch","Metal, Colorless","2","40","During your opponent's next turn, any damage done to Lucario by attacks is reduced by 20 (after applying Weakness and Resistance).","Striking Kick","Fighting, Colorless, Colorless","3","60","This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon","Psychic","+20"
"pop8-3","Luxray","Pokemon","Stage 2","120","Lightning","Rare","Colorless","1","Intimidating Fang","As long as Luxray is your Active Pokemon, any damage done by an opponent's attack is reduced by 10 (before applying Weakness and Resistance).","Thunder","Lightning, Lightning, Lightning, Colorless","4","120","Flip a coin. If tails, Luxray does 40 damage to itself.","","","","","","Fighting","+30"
"pop8-4","Probopass","Pokemon","Stage 1","90","Metal","Rare","Colorless, Colorless, Colorless","3","","","Rock Slide","Fighting, Colorless","2","20","Does 10 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Triple Nose","Metal, Colorless, Colorless","3","50+","Flip 3 coins. This attack does 50 damage plus 20 more damage for each heads.","Fire","+30"
"pop8-5","Yanmega","Pokemon","Stage 1","90","Grass","Rare","","0","","","Supersonic","Grass","1","","Flip a coin. If heads, the Defending Pokemon is now Confused.","Air Slash","Colorless, Colorless, Colorless, Colorless","4","70","Flip a coin. If tails, discard an Energy attached to Yanmega.","Lightning","+20"
"pop8-6","Cherrim","Pokemon","Stage 1","80","Grass","Uncommon","Colorless, Colorless","2","","","Worry Seed","Grass","1","20","Flip a coin. If heads, the Defending Pokemon is now Confused.","Magical Leaf","Grass, Grass","2","20+","Flip a coin. If heads, this attack does 20 damage plus 20 more damage and remove 3 damage counters from Cherrim.","Fire","+20"
"pop8-7","Carnivine","Pokemon","Basic","70","Grass","Uncommon","Colorless","1","","","Swallow Up","Grass, Colorless","2","30","Before doing damage, count the remaining HP of the Defending Pokemon and Carnivine. If the Defending Pokemon has fewer remaining HP than Carnivine's, this attack does 60 damage instead.","Wring Out","Grass, Grass","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed and discard an Energy card attached to the Defending Pokemon.","Fire","+20"
"pop8-8","Luxio","Pokemon","Stage 1","80","Lightning","Uncommon","","0","","","Fasten Claw","Colorless","1","10+","Flip a coin. If heads, this attack does 10 damage plus 30 more damage.","Thunder Fang","Lightning, Lightning","2","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fighting","+20"
"pop8-12","Chimchar","Pokemon","Basic","50","Fire","Common","Colorless","1","","","Scratch","","0","10","","Ember","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy attached to Chimchar.","Water","+10"
"pop8-13","Croagunk","Pokemon","Basic","60","Psychic","Common","Colorless","1","","","Ghastly Sound","Colorless","1","","Flip a coin. If heads, your opponent can't play any Supporter cards from his or her hand during his or her next turn.","Finger Poke","Psychic, Psychic","2","20","Flip a coin. If heads, the Defending Pokemon is now Poisoned.","Psychic","+10"
"pop8-14","Happiny","Pokemon","Basic","60","Colorless","Common","Colorless","1","Baby Evolution","Once during your turn (before your attack), you may put Chansey from your hand onto Happiny (this counts as evolving Happiny) and remove all damage counters from Happiny.","Lively","","0","","Remove 2 damage counters from 1 of your Pokemon.","","","","","","Fighting","+10"
"pop8-15","Piplup","Pokemon","Basic","60","Water","Common","Colorless","1","","","Peck","","0","10","","Water Splash","Water, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","Lightning","+10"
"pop8-16","Riolu","Pokemon","Basic","50","Fighting","Common","Colorless","1","Inner Focus","Riolu can't be Paralyzed.","Quick Attack","Fighting","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","","","","","","Psychic","+10"
"pop8-17","Turtwig","Pokemon","Basic","60","Grass","Common","Colorless, Colorless","2","","","Tackle","","0","10","","Razor Leaf","Grass","1","20","","Fire","+10"
