"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sm115-1","Caterpie","Pokemon","60","Grass","Common","Colorless","1","","","Tackle","Grass","1","10","","","","","","","Fire","x2"
"sm115-2","Metapod","Pokemon","90","Grass","Uncommon","Colorless, Colorless","2","","","Tackle","Grass, Colorless","2","30","","","","","","","Fire","x2"
"sm115-3","Butterfree","Pokemon","130","Grass","Rare","Colorless","1","","","Gust","Grass, Colorless","2","80","","","","","","","Fire","x2"
"sm115-4","Paras","Pokemon","70","Grass","Common","Colorless","1","","","Scratch","Colorless","1","10","","Slash","Grass, Colorless","2","20","","Fire","x2"
"sm115-5","Scyther","Pokemon","100","Grass","Uncommon","Colorless","1","","","Slash","Grass","1","10","","Sharp Scythe","Grass, Colorless","2","30","","Fire","x2"
"sm115-7","Charmander","Pokemon","70","Fire","Common","Colorless","1","","","Gnaw","Fire","1","10","","Flare","Fire, Colorless","2","20","","Water","x2"
"sm115-8","Charmeleon","Pokemon","100","Fire","Uncommon","Colorless","1","","","Slash","Fire, Colorless","2","30","","Flamethrower","Fire, Fire, Colorless","3","80","","Water","x2"
"sm115-10","Magmar","Pokemon","90","Fire","Uncommon","Colorless, Colorless","2","","","Fire Punch","Fire, Fire","2","50","","","","","","","Water","x2"
"sm115-11","Psyduck","Pokemon","60","Water","Common","Colorless","1","","","Headache","Water","1","20","","","","","","","Grass","x2"
"sm115-12","Slowpoke","Pokemon","70","Water","Common","Colorless, Colorless","2","","","Yawn","Colorless","1","","Your opponent's Active Pokemon is now Asleep.","","","","","","Grass","x2"
"sm115-13","Staryu","Pokemon","50","Water","Common","Colorless","1","","","Numbing Water","Colorless","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Grass","x2"
"sm115-15","Magikarp","Pokemon","30","Water","Common","Colorless","1","","","Splash","Colorless","1","10","","","","","","","Lightning","x2"
"sm115-17","Lapras","Pokemon","120","Water","Rare","Colorless, Colorless","2","","","Aqua Wave","Water, Water, Colorless","3","80","","","","","","","Grass","x2"
"sm115-18","Vaporeon","Pokemon","120","Water","Rare Holo","Colorless, Colorless, Colorless","3","","","Water Gun","Water, Colorless","2","30","","Bubble Drain","Water, Water, Colorless","3","80","Heal 30 damage from this Pokemon.","Grass","x2"
"sm115-19","Pikachu","Pokemon","70","Lightning","Common","Colorless","1","","","Quick Attack","Lightning","1","10","","Electro Ball","Lightning, Lightning, Colorless","3","60","","Fighting","x2"
"sm115-21","Voltorb","Pokemon","50","Lightning","Common","Colorless","1","","","Lightning Ball","Lightning","1","20","","","","","","","Fighting","x2"
"sm115-22","Electrode","Pokemon","100","Lightning","Rare","Colorless","1","","","Lightning Ball","Lightning","1","30","","Electroblast","Lightning, Colorless, Colorless","3","60+","Flip 2 coins. This attack does 30 more damage for each heads.","Fighting","x2"
"sm115-23","Jolteon","Pokemon","90","Lightning","Rare","","0","Electromagnetic Wall","As long as this Pokemon is your Active Pokemon, whenever your opponent attaches an Energy card from their hand to 1 of their Pokemon, put 2 damage counters on that Pokemon.","Thunderbolt","Lightning, Colorless","2","90","Discard all Energy from this Pokemon.","","","","","","Fighting","x2"
