"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sm4-1","Weedle","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Poison Sting","Grass","1","","Your opponent's Active Pokemon is now Poisoned.","","","","","","Fire","x2"
"sm4-2","Kakuna","Pokemon","Stage 1","80","Grass","Uncommon","Colorless, Colorless","2","","","Multiply","Grass","1","","Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.","","","","","","Fire","x2"
"sm4-3","Beedrill","Pokemon","Stage 2","120","Grass","Rare","","0","","","Sudden Sting","Grass","1","10","If this Pokemon evolved from Kakuna during this turn, your opponent's Active Pokemon is now Paralyzed and Poisoned.","Sharp Sting","Grass","1","60","","Fire","x2"
"sm4-4","Exeggcute","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Hypnosis","Colorless","1","","Your opponent's Active Pokemon is now Asleep.","Ram","Grass","1","10","","Fire","x2"
"sm4-5","Cacnea","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Sucker Punch","Grass","1","10+","If this Pokemon has any Darkness Energy attached to it, this attack does 30 more damage.","","","","","","Fire","x2"
"sm4-6","Cacturne","Pokemon","Stage 1","110","Grass","Rare","Colorless, Colorless","2","","","Spike Rend","Grass","1","30+","If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage.","Hunt","Grass, Colorless","2","","Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 40 damage to the new Active Pokemon.","Fire","x2"
"sm4-7","Karrablast","Pokemon","Basic","60","Grass","Common","Colorless, Colorless","2","Shell On","Once during your turn (before your attack), you may discard a Shelmet from your hand. If you do, search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.","Peck","Colorless, Colorless, Colorless","3","30","","","","","","","Fire","x2"
"sm4-8","Shelmet","Pokemon","Basic","60","Grass","Common","Colorless, Colorless, Colorless","3","","","Absorb","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"sm4-9","Accelgor","Pokemon","Stage 1","90","Grass","Uncommon","Colorless","1","","","Recover","Colorless","1","","Discard an Energy from this Pokemon and heal all damage from it.","Speed Attack","Grass, Colorless","2","70","","Fire","x2"
"sm4-10","Skiddo","Pokemon","Basic","70","Grass","Common","Colorless","1","","","Seed Bomb","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"sm4-11","Gogoat","Pokemon","Stage 1","120","Grass","Rare Holo","Colorless, Colorless","2","Sap Sipper","This Pokemon's attacks do 80 more damage to your opponent's Grass Pokemon (before applying Weakness and Resistance).","Horn Leech","Grass, Colorless, Colorless","3","80","Heal 20 damage from this Pokemon.","","","","","","Fire","x2"
"sm4-12","Alolan Marowak","Pokemon","Stage 1","100","Fire","Rare Holo","Colorless, Colorless","2","","","Dance of Flames","","0","","For each Energy attached to your opponent's Pokemon, attach a Fire Energy card from your discard pile to your Pokemon in any way you like.","Burning Bonemerang","Fire, Fire, Colorless","3","70x","Flip 2 coins. This attack does 70 damage for each heads. If either of them is heads, your opponent's Active Pokemon is now Burned.","Water","x2"
"sm4-13","Numel","Pokemon","Basic","80","Fire","Common","Colorless, Colorless, Colorless","3","","","Continuous Headbutt","Fire, Colorless","2","30x","Flip a coin until you get tails. This attack does 30 damage for each heads.","","","","","","Water","x2"
"sm4-14","Camerupt","Pokemon","Stage 1","140","Fire","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Continuous Headbutt","Fire, Colorless, Colorless","3","80x","Flip a coin until you get tails. This attack does 80 damage for each heads.","Searing Flame","Fire, Fire, Colorless, Colorless","4","120","Your opponent's Active Pokemon is now Burned.","Water","x2"
"sm4-15","Staryu","Pokemon","Basic","60","Water","Common","Colorless","1","","","Spinning Attack","Colorless","1","10","","","","","","","Grass","x2"
"sm4-16","Starmie","Pokemon","Stage 1","90","Water","Rare","Colorless","1","Escape","Once during your turn (before your attack), you may shuffle this Pokemon and all cards attached to it into your deck.","Spinning Attack","Colorless","1","40","","","","","","","Grass","x2"
"sm4-17","Magikarp","Pokemon","Basic","30","Water","Common","Colorless","1","Submerge","As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent's).","Waterfall Evolution","Water, Colorless, Colorless","3","","Search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.","","","","","","Lightning","x2"
"sm4-19","Swinub","Pokemon","Basic","60","Water","Common","Colorless, Colorless, Colorless","3","","","Gnaw","Colorless, Colorless","2","30","","","","","","","Metal","x2"
"sm4-20","Piloswine","Pokemon","Stage 1","100","Water","Uncommon","Colorless, Colorless, Colorless, Colorless","4","","","Stampede","Water","1","20","","Rest","Colorless, Colorless, Colorless, Colorless","4","","This Pokemon is now Asleep. Heal 90 damage from it.","Metal","x2"
"sm4-21","Mamoswine","Pokemon","Stage 2","180","Water","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Double Stomp","Water, Colorless, Colorless","3","60+","Flip 2 coins. This attack does 30 more damage for each heads.","Forceful Tackle","Water, Water, Colorless, Colorless","4","90+","You may put up to 9 damage counters on this Pokemon. This attack does 10 more damage for each damage counter you placed in this way.","Metal","x2"
"sm4-22","Remoraid","Pokemon","Basic","60","Water","Common","Colorless","1","","","Water Gun","Water, Colorless","2","30","","","","","","","Grass","x2"
"sm4-23","Octillery","Pokemon","Stage 1","100","Water","Rare","Colorless, Colorless","2","","","Ink Spit","Colorless","1","","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","Special Artillery","Water, Colorless","2","40+","You may discard a Special Energy from this Pokemon. If you do, this attack does 80 more damage.","Grass","x2"
"sm4-24","Corphish","Pokemon","Basic","70","Water","Common","Colorless, Colorless","2","","","Crabhammer","Water, Water","2","30","","","","","","","Grass","x2"
"sm4-25","Crawdaunt","Pokemon","Stage 1","110","Water","Rare","Colorless, Colorless","2","","","Double Claws","Water, Water, Water, Colorless","4","80","Discard 2 Energy from your opponent's Active Pokemon.","","","","","","Grass","x2"
"sm4-26","Feebas","Pokemon","Basic","30","Water","Common","Colorless","1","","","Splashing Dodge","Water","1","10","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","","","","","","Grass","x2"
"sm4-27","Milotic","Pokemon","Stage 1","120","Water","Rare Holo","Colorless, Colorless","2","","","TLC","Water","1","","Shuffle 1 of your opponent's Benched Pokemon that has any damage counters on it and all cards attached to it into their deck.","Ocean Cyclone","Water, Water, Colorless, Colorless","4","80","This attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","x2"
"sm4-28","Regice","Pokemon","Basic","130","Water","Rare Holo","Colorless, Colorless, Colorless","3","Iceberg Shield","If you have Regirock in play, prevent all effects of attacks, including damage, done to this Pokemon by your opponent's Stage 2 Pokemon.","Frost Smash","Water, Colorless, Colorless","3","70","","","","","","","Metal","x2"
"sm4-29","Shellos","Pokemon","Basic","60","Water","Common","Colorless","1","","","Regeneration","Colorless","1","","Heal 30 damage from this Pokemon.","Mud-Slap","Colorless","1","10","","Grass","x2"
"sm4-30","Pikachu","Pokemon","Basic","60","Lightning","Common","Colorless","1","","","Pika Draw","Colorless","1","","Draw a card.","Quick Attack","Colorless, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","Fighting","x2"
"sm4-31","Alolan Raichu","Pokemon","Stage 1","110","Lightning","Rare Holo","Colorless, Colorless","2","Surge Surfer","If there is any Stadium card in play, this Pokemon has no Retreat Cost.","Psychic","Colorless, Colorless, Colorless","3","70+","This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokemon.","","","","","","Fighting","x2"
"sm4-32","Alolan Geodude","Pokemon","Basic","60","Lightning","Common","Colorless, Colorless","2","","","Defense Curl","","0","","Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","Tackle","Colorless, Colorless","2","20","","Fighting","x2"
"sm4-33","Alolan Graveler","Pokemon","Stage 1","100","Lightning","Uncommon","Colorless, Colorless, Colorless","3","","","Corkscrew Punch","Colorless, Colorless","2","30","","Self-Destruct","Lightning, Lightning, Colorless","3","100","This Pokemon does 100 damage to itself.","Fighting","x2"
"sm4-35","Emolga","Pokemon","Basic","60","Lightning","Uncommon","Colorless","1","","","Energy Catch","Colorless","1","","Put 3 basic Energy cards from your discard pile into your hand.","Volt Switch","Lightning","1","30","Switch this Pokemon with 1 of your Benched Lightning Pokemon.","Lightning","x2"
"sm4-36","Gastly","Pokemon","Basic","50","Psychic","Common","Colorless","1","","","Ominous Eyes","Psychic","1","","Put 1 damage counter on 1 of your opponent's Pokemon.","","","","","","Darkness","x2"
"sm4-37","Haunter","Pokemon","Stage 1","70","Psychic","Uncommon","Colorless","1","","","Pain Amplifier","Psychic","1","","Put 2 damage counters on each of your opponent's Pokemon that has any damage counters on it.","","","","","","Darkness","x2"
"sm4-38","Gengar","Pokemon","Stage 2","130","Psychic","Rare Holo","","0","Gnawing Curse","Whenever your opponent attaches an Energy card from their hand to 1 of their Pokemon, put 2 damage counters on that Pokemon.","Fade to Black","Psychic, Colorless, Colorless","3","70","Your opponent's Active Pokemon is now Confused.","","","","","","Darkness","x2"
"sm4-39","Misdreavus","Pokemon","Basic","60","Psychic","Common","Colorless","1","","","Confuse Ray","Psychic","1","","Your opponent's Active Pokemon is now Confused.","","","","","","Darkness","x2"
"sm4-40","Mismagius","Pokemon","Stage 1","110","Psychic","Rare","Colorless","1","","","Chaos Wheel","Psychic","1","30","Your opponent can't play any Pokemon Tool, Special Energy, or Stadium cards from their hand during their next turn.","Dark Arts","Psychic, Colorless, Colorless","3","20x","This attack does 20 damage for each card in your opponent's hand.","Darkness","x2"
"sm4-41","Spoink","Pokemon","Basic","50","Psychic","Common","Colorless","1","","","Splash","Colorless","1","10","","","","","","","Psychic","x2"
"sm4-42","Grumpig","Pokemon","Stage 1","120","Psychic","Uncommon","Colorless, Colorless","2","Own Tempo","This Pokemon can't be Confused.","Psych Up","Psychic, Colorless, Colorless","3","60","During your next turn, this Pokemon's Psych Up attack does 60 more damage (before applying Weakness and Resistance).","","","","","","Psychic","x2"
"sm4-43","Chimecho","Pokemon","Basic","70","Psychic","Common","Colorless","1","","","Bell of Silence","Psychic","1","10","Your opponent can't play any Pokemon that has an Ability from their hand during their next turn.","","","","","","Psychic","x2"
"sm4-44","Pumpkaboo","Pokemon","Basic","60","Psychic","Common","Colorless, Colorless","2","","","Astonish","Psychic","1","","Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.","","","","","","Darkness","x2"
"sm4-45","Gourgeist","Pokemon","Stage 1","120","Psychic","Rare","Colorless, Colorless, Colorless","3","","","Confuse Ray","Psychic","1","","Your opponent's Active Pokemon is now Confused.","Pumpkin Bomb","Colorless, Colorless","2","10+","Before doing damage, you may discard any number of Pokemon Tool cards from your Pokemon. This attack does 40 more damage for each card you discarded in this way.","Darkness","x2"
"sm4-46","Salandit","Pokemon","Basic","60","Psychic","Common","Colorless","1","","","Singe","Psychic","1","","Your opponent's Active Pokemon is now Burned.","","","","","","Psychic","x2"
"sm4-47","Salazzle","Pokemon","Stage 1","110","Psychic","Rare Holo","Colorless","1","","","Nasty Plot","Psychic","1","","Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.","Severe Poison","Psychic","1","","Your opponent's Active Pokemon is now Poisoned. Put 4 damage counters instead of 1 on that Pokemon between turns.","Psychic","x2"
"sm4-48","Oranguru","Pokemon","Basic","110","Psychic","Rare","Colorless, Colorless","2","","","Fixer of the Forest","Psychic","1","","Put 3 Pokemon Tool cards from your discard pile into your hand.","Zen Headbutt","Psychic, Colorless, Colorless","3","70","","Psychic","x2"
"sm4-50","Mankey","Pokemon","Basic","60","Fighting","Common","Colorless","1","","","Three-Step Strike","Fighting","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Psychic","x2"
"sm4-51","Primeape","Pokemon","Stage 1","90","Fighting","Rare","Colorless","1","","","Low Kick","Colorless, Colorless","2","30","","Lucha Fight","Fighting, Fighting","2","90","During your opponent's next turn, the Defending Pokemon's attacks do 30 more damage (before applying Weakness and Resistance).","Psychic","x2"
"sm4-52","Cubone","Pokemon","Basic","70","Fighting","Common","Colorless, Colorless","2","","","Leer","Colorless","1","","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Headbutt","Colorless, Colorless","2","20","","Grass","x2"
"sm4-53","Regirock","Pokemon","Basic","130","Fighting","Rare","Colorless, Colorless, Colorless","3","Rock Peak Growl","Your Registeel's attacks do 10 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Tough Swing","Fighting, Fighting, Colorless","3","110","This attack's damage isn't affected by Resistance.","","","","","","Grass","x2"
