"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv4-1","Surskit","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Triple Spin","Grass","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"sv4-2","Masquerain","Pokemon","Stage 1","100","Grass","Uncommon","Colorless","1","","","Daunting Eyes","Grass","1","","Flip a coin until you get tails. For each heads, shuffle an Energy attached to your opponent's Active Pokemon into their deck.","Cutting Wind","Grass, Colorless","2","70","","Fire","x2"
"sv4-4","Pansage","Pokemon","Basic","70","Grass","Common","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","Leech Seed","Grass, Colorless, Colorless","3","30","Heal 10 damage from this Pokemon.","Fire","x2"
"sv4-5","Simisage","Pokemon","Stage 1","100","Grass","Uncommon","Colorless","1","Monkey Trio","If you have Simisage, Simisear, and Simipour in play, ignore all Colorless Energy in the costs of attacks used by this Pokemon.","Arm Thrust Needle","Grass, Colorless, Colorless","3","100","During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Pokemon that have an Ability, except any Simisage.","","","","","","Fire","x2"
"sv4-6","Dwebble","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Beat","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"sv4-7","Crustle","Pokemon","Stage 1","130","Grass","Common","Colorless, Colorless, Colorless","3","","","Confront","Colorless, Colorless","2","50","","Crag Bash","Grass, Colorless, Colorless","3","100","During your opponent's next turn, this Pokemon takes 100 less damage from attacks from Evolution Pokemon (after applying Weakness and Resistance).","Fire","x2"
"sv4-8","Bounsweet","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Quick Blow","Grass","1","10+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Fire","x2"
"sv4-9","Steenee","Pokemon","Stage 1","90","Grass","Uncommon","Colorless, Colorless","2","","","Spinning Attack","Grass","1","30","","Double Spin","Grass, Grass","2","40x","Flip 2 coins. This attack does 40 damage for each heads.","Fire","x2"
"sv4-10","Blipbug","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Surprise Attack","Grass","1","30","Flip a coin. If tails, this attack does nothing.","","","","","","Fire","x2"
"sv4-11","Dottler","Pokemon","Stage 1","80","Grass","Common","Colorless, Colorless","2","","","Protect","Grass","1","","Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon.","Zen Headbutt","Colorless, Colorless","2","20","","Fire","x2"
"sv4-12","Orbeetle","Pokemon","Stage 2","130","Grass","Uncommon","Colorless","1","","","Satellite Beam","Grass","1","30x","This attack does 30 damage for each Energy card in your opponent's discard pile.","Brain Shake","Colorless, Colorless","2","100","Your opponent's Active Pokemon is now Confused.","Fire","x2"
"sv4-13","Nymble","Pokemon","Basic","40","Grass","Common","","0","","","Gnaw","Colorless","1","10","","","","","","","Fire","x2"
"sv4-14","Nymble","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Flop","Colorless, Colorless","2","30","","","","","","","Fire","x2"
