"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv6pt5-1","Joltik","Pokemon","Basic","40","Grass","Common","Colorless","1","","","Splashing Dodge","Grass","1","10","Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon.","","","","","","Fire","x2"
"sv6pt5-2","Galvantula","Pokemon","Stage 1","100","Grass","Uncommon","Colorless","1","Compound Eyes","Attacks used by this Pokemon do 50 more damage to your opponent's Active Pokemon that has an Ability (before applying Weakness and Resistance).","Shocking Web","Grass, Colorless","2","50+","If this Pokemon has any Lightning Energy attached, this attack does 80 more damage.","","","","","","Fire","x2"
"sv6pt5-3","Rowlet","Pokemon","Basic","70","Grass","Common","Colorless","1","","","Add On","Colorless","1","","Draw a card.","Leafage","Grass","1","10","","Fire","x2"
"sv6pt5-4","Dartrix","Pokemon","Stage 1","90","Grass","Common","Colorless","1","","","United Wings","Colorless","1","20x","This attack does 20 damage for each Pokemon in your discard pile that has the United Wings attack.","Cutting Wind","Grass","1","30","","Fire","x2"
"sv6pt5-5","Decidueye","Pokemon","Stage 2","150","Grass","Uncommon","Colorless, Colorless","2","","","Stock Up on Feathers","Colorless","1","","Draw cards until you have 7 cards in your hand.","Power Shot","Grass","1","170","Discard a Basic Grass Energy card from your hand. If you can't, this attack does nothing.","Fire","x2"
"sv6pt5-6","Tapu Bulu","Pokemon","Basic","140","Grass","Rare","Colorless, Colorless, Colorless","3","","","Wood Hammer","Grass, Grass, Colorless, Colorless","4","220","This Pokemon also does 30 damage to itself.","","","","","","Fire","x2"
"sv6pt5-7","Houndour","Pokemon","Basic","70","Fire","Common","Colorless","1","","","Gnaw","Colorless, Colorless","2","20","","Rear Kick","Fire, Colorless, Colorless","3","50","","Water","x2"
"sv6pt5-8","Houndoom","Pokemon","Stage 1","120","Fire","Common","Colorless, Colorless","2","","","Bite","Colorless, Colorless","2","50","","Snarl","Fire, Colorless, Colorless","3","100","During your opponent's next turn, attacks used by the Defending Pokemon do 100 less damage (before applying Weakness and Resistance).","Water","x2"
"sv6pt5-9","Iron Moth","Pokemon","Basic, Future","120","Fire","Uncommon","Colorless, Colorless","2","","","Suction","Colorless, Colorless","2","30","Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.","Anachronism Repulsor","Fire, Fire, Colorless","3","120","During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Ancient Pokemon.","Water","x2"
"sv6pt5-10","Horsea","Pokemon","Basic","60","Water","Common","Colorless","1","","","Hold Still","Water","1","","Heal 30 damage from this Pokemon.","Razor Fin","Colorless, Colorless","2","20","","Lightning","x2"
"sv6pt5-11","Seadra","Pokemon","Stage 1","90","Water","Common","Colorless","1","","","Call for Backup","Water","1","","Search your deck for up to 3 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.","Sharp Fin","Colorless, Colorless","2","40","","Lightning","x2"
"sv6pt5-13","Sneasel","Pokemon","Basic","70","Water","Common","Colorless","1","","","Cut","Water","1","10","","Beset","Water, Water","2","30","During your opponent's next turn, the Defending Pokemon can't retreat.","Metal","x2"
"sv6pt5-14","Weavile","Pokemon","Stage 1","100","Water","Uncommon","Colorless","1","","","Slash","Water","1","40","","Hail Claw","Water, Water","2","70","Discard all Energy from this Pokemon. Your opponent's Active Pokemon is now Paralyzed.","Metal","x2"
"sv6pt5-16","Drowzee","Pokemon","Basic","70","Psychic","Common","Colorless, Colorless","2","","","Eerie Gaze","Psychic","1","10","Your opponent reveals their hand.","","","","","","Darkness","x2"
"sv6pt5-17","Hypno","Pokemon","Stage 1","110","Psychic","Uncommon","Colorless, Colorless","2","","","Daydream","Psychic, Colorless","2","80","During your opponent's next turn, if they attach an Energy card from their hand to the Defending Pokemon, their turn ends.","","","","","","Darkness","x2"
"sv6pt5-18","Duskull","Pokemon","Basic","60","Psychic","Common","Colorless","1","","","Come and Get You","Psychic","1","","Put up to 3 Duskull from your discard pile onto your Bench.","Mumble","Psychic, Psychic","2","30","","Darkness","x2"
"sv6pt5-19","Dusclops","Pokemon","Stage 1","90","Psychic","Common","Colorless, Colorless","2","Cursed Blast","Once during your turn, you may put 5 damage counters on 1 of your opponent's Pokemon. If you use this Ability, this Pokemon is Knocked Out.","Will-O-Wisp","Psychic, Psychic","2","50","","","","","","","Darkness","x2"
