"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv8-1","Exeggcute","Pokemon","30","Grass","Common","Colorless","1","","","Precocious Evolution","Colorless","1","","If you go first, you can use this attack during your first turn. Search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.","","","","","","Fire","x2"
"sv8-2","Exeggcute","Pokemon","50","Grass","Common","Colorless","1","","","Absorb","Colorless","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"sv8-3","Exeggutor","Pokemon","130","Grass","Uncommon","Colorless, Colorless","2","","","Barrage O'Clock","Grass","1","60x","Flip a coin for each Energy attached to both Active Pokemon. This attack does 60 damage for each heads.","","","","","","Fire","x2"
"sv8-5","Scatterbug","Pokemon","40","Grass","Common","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","","","","","","Fire","x2"
"sv8-6","Spewpa","Pokemon","80","Grass","Common","Colorless, Colorless, Colorless","3","","","Wander About","Colorless","1","","Switch this Pokemon with 1 of your Benched Pokemon.","Tackle","Grass","1","30","","Fire","x2"
"sv8-7","Vivillon","Pokemon","120","Grass","Uncommon","Colorless","1","","","Evo-Powder","Colorless","1","","For each of your Benched Pokemon, search your deck for a card that evolves from that Pokemon and put it onto that Pokemon to evolve it. Then, shuffle your deck.","Cutting Wind","Grass","1","90","","Fire","x2"
"sv8-8","Morelull","Pokemon","60","Grass","Common","Colorless","1","","","Attach","Colorless","1","10","","","","","","","Fire","x2"
"sv8-9","Shiinotic","Pokemon","110","Grass","Uncommon","Colorless, Colorless","2","Calming Light","Once during your turn, if this Pokemon is in the Active Spot, you may make your opponent's Active Pokemon Asleep.","Spiral Rush","Grass, Colorless","2","60+","Flip a coin until you get tails. This attack does 30 more damage for each heads.","","","","","","Fire","x2"
"sv8-10","Dhelmise","Pokemon","130","Grass","Common","Colorless, Colorless, Colorless","3","","","Rescue Kedge","Colorless","1","","Put up to 2 Pokemon from your discard pile into your hand.","Annihilating Anchor","Grass, Colorless, Colorless","3","80","Before doing damage, discard all Pokemon Tools from your opponent's Active Pokemon.","Fire","x2"
"sv8-11","Zarude","Pokemon","120","Grass","Rare","Colorless","1","","","Leaf Drain","Grass","1","20","Heal 20 damage from this Pokemon.","Jungle Whip","Grass, Grass, Colorless","3","80+","You may put all Energy attached to this Pokemon into your hand to have this attack do 80 more damage.","Fire","x2"
