"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"svp-1","Sprigatito","Pokemon","Basic","70","Grass","Promo","Colorless","1","","","Mini Drain","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"svp-2","Fuecoco","Pokemon","Basic","80","Fire","Promo","Colorless, Colorless","2","","","Super Singe","Fire, Fire, Colorless","3","30","Your opponent's Active Pokemon is now Burned.","","","","","","Water","x2"
"svp-3","Quaxly","Pokemon","Basic","70","Water","Promo","Colorless","1","","","Water Splash","Water, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Lightning","x2"
"svp-5","Quaquaval","Pokemon","Stage 2","170","Water","Promo","Colorless, Colorless","2","Energy Carnival","Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokemon.","Hydro Kick","Water, Colorless, Colorless","3","140","","","","","","","Lightning","x2"
"svp-6","Pawmot","Pokemon","Stage 2","130","Lightning","Promo","","0","Electrogenesis","Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokemon. Then, shuffle your deck.","Electro Paws","Lightning, Lightning, Colorless","3","230","Discard all Energy from this Pokemon.","","","","","","Fighting","x2"
"svp-7","Hawlucha","Pokemon","Basic","70","Fighting","Promo","Colorless","1","Flying Entry","When you play this Pokemon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokemon and put 1 damage counter on each of them.","Wing Attack","Fighting, Colorless, Colorless","3","70","","","","","","","Psychic","x2"
"svp-8","Revavroom","Pokemon","Stage 1","140","Metal","Promo","Colorless, Colorless","2","Rumbling Engine","You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.","Knock Away","Metal, Colorless, Colorless, Colorless","4","90+","Flip a coin. If heads, this attack does 90 more damage.","","","","","","Fire","x2"
"svp-9","Spidops","Pokemon","Stage 1","120","Grass","Promo","Colorless, Colorless","2","","","String Truss","Grass","1","30","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Jet Headbutt","Grass, Colorless, Colorless","3","100","","Fire","x2"
"svp-10","Espathra","Pokemon","Stage 1","110","Psychic","Promo","","0","","","Aurora Gain","Colorless","1","30","Heal 30 damage from this Pokemon.","Super Psy Bolt","Psychic, Colorless","2","60","","Darkness","x2"
"svp-11","Arcanine","Pokemon","Stage 1","130","Fire","Promo","Colorless, Colorless, Colorless","3","","","Crunch","Fire, Colorless","2","30","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","Fire Mane","Fire, Fire, Colorless","3","120","","Water","x2"
"svp-12","Dondozo","Pokemon","Basic","150","Water","Promo","Colorless, Colorless, Colorless, Colorless","4","","","Hammer In","Water, Colorless, Colorless","3","60","","Dangerous Wave","Water, Colorless, Colorless, Colorless","4","100+","Flip 2 coins. If both of them are heads, this attack does 100 more damage.","Lightning","x2"
"svp-13","Miraidon","Pokemon","Basic","120","Lightning","Promo","Colorless","1","","","Sharp Fang","Colorless, Colorless","2","30","","Lightning Laser","Lightning, Lightning, Colorless","3","90","This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"svp-14","Koraidon","Pokemon","Basic","130","Fighting","Promo","Colorless, Colorless","2","","","Claw Slash","Colorless, Colorless, Colorless","3","70","","Rampaging Fang","Fighting, Fighting, Fighting, Colorless","4","190","Discard 3 Energy from this Pokemon.","Psychic","x2"
"svp-15","Flaaffy","Pokemon","Stage 1","90","Lightning","Promo","Colorless, Colorless","2","","","Static Shock","Lightning","1","30","","Extreme Current","Lightning, Colorless, Colorless","3","80","Discard an Energy from this Pokemon.","Fighting","x2"
"svp-19","Baxcalibur","Pokemon","Stage 2","160","Water","Promo","Colorless, Colorless","2","Super Cold","As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokemon.","Buster Tail","Water, Water, Colorless","3","130","","","","","","","Metal","x2"
"svp-20","Tinkaton","Pokemon","Stage 2","140","Psychic","Promo","Colorless, Colorless","2","Gather Materials","You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 3 cards.","Special Hammer","Psychic, Colorless","2","90+","If this Pokemon has any Special Energy attached, this attack does 90 more damage.","","","","","","Metal","x2"
