"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh10-2","Hisuian Voltorb","Pokemon","50","Grass","Common","Colorless","1","","","Cheerful Charge","","0","","You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a basic Energy card and attach it to that Pokemon. Then, shuffle your deck.","Ram","Grass","1","10","","Fire","x2"
"swsh10-3","Hisuian Electrode","Pokemon","90","Grass","Uncommon","Colorless","1","","","Triple Draw","","0","","Draw 3 cards.","Irritated Bomb","","0","50","","Fire","x2"
"swsh10-4","Scyther","Pokemon","90","Grass","Common","Colorless","1","","","Blinding Scythe","Colorless","1","20","","","","","","","Fire","x2"
"swsh10-5","Scyther","Pokemon","80","Grass","Common","Colorless","1","","","Quick Blow","Colorless, Colorless","2","30+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Fire","x2"
"swsh10-6","Yanma","Pokemon","60","Grass","Common","","0","","","Speed Dive","Grass","1","20","","","","","","","Fire","x2"
"swsh10-7","Yanmega","Pokemon","120","Grass","Uncommon","","0","","","Razor Wing","Grass","1","30","","Wide Wing","Colorless, Colorless","2","40+","If you have more cards in your hand than your opponent, this attack does 80 more damage.","Fire","x2"
"swsh10-8","Heracross","Pokemon","110","Grass","Common","Colorless, Colorless","2","","","Horn Attack","Grass, Colorless","2","40","","Overhead Throw","Grass, Grass, Colorless","3","120","This attack also does 30 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire","x2"
"swsh10-9","Kricketot","Pokemon","60","Grass","Common","Colorless","1","","","Trip Over","Grass","1","10+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Fire","x2"
"swsh10-10","Kricketune","Pokemon","90","Grass","Uncommon","Colorless","1","Swelling Tune","Your Grass Pokemon in play, except any Kricketune, get +40 HP. You can't apply more than 1 Swelling Tune Ability at a time.","Slash","Grass, Colorless","2","50","","","","","","","Fire","x2"
"swsh10-11","Combee","Pokemon","50","Grass","Common","Colorless","1","","","Honey Courier","Grass","1","","Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck.","Bug Bite","Colorless, Colorless","2","20","","Fire","x2"
"swsh10-12","Vespiquen","Pokemon","120","Grass","Rare","Colorless","1","","","Honey Rush","Grass","1","60x","Reveal any number of Sweet Honey cards from your hand. This attack does 60 damage for each card you revealed in this way.","Pierce","Grass, Colorless, Colorless","3","90","","Fire","x2"
"swsh10-13","Leafeon","Pokemon","110","Grass","Rare","Colorless, Colorless","2","","","Energy Garden","Colorless","1","","Search your deck for up to 3 basic Energy cards of different types and attach them to your Pokemon in any way you like. Then, shuffle your deck.","Leafy Cyclone","Grass, Colorless, Colorless","3","120","During your next turn, this Pokemon can't attack.","Fire","x2"
"swsh10-14","Shaymin","Pokemon","70","Grass","Rare","Colorless","1","","","Encouraging Gift","Colorless","1","","You can use this attack only if you go second, and only during your first turn. Search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.","Flop","Grass","1","30","","Fire","x2"
"swsh10-15","Petilil","Pokemon","50","Grass","Common","Colorless","1","","","Spin Turn","Grass","1","10","Switch this Pokemon with 1 of your Benched Pokemon.","","","","","","Fire","x2"
"swsh10-16","Hisuian Lilligant","Pokemon","110","Grass","Rare Holo","Colorless","1","","","Twister Lutz","Colorless, Colorless","2","","This attack does 20 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Switch this Pokemon with 1 of your Benched Pokemon.","Leaf Step","Grass, Colorless, Colorless","3","100","","Fire","x2"
"swsh10-19","Rowlet","Pokemon","60","Grass","Common","Colorless","1","","","Jump On","Colorless","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Fire","x2"
"swsh10-20","Dartrix","Pokemon","90","Grass","Uncommon","Colorless","1","","","Flap","Colorless","1","30","","Razor Wing","Colorless, Colorless, Colorless","3","60","","Fire","x2"
"swsh10-21","Ponyta","Pokemon","60","Fire","Common","Colorless","1","","","Flame Tail","Fire","1","20","","","","","","","Water","x2"
"swsh10-22","Rapidash","Pokemon","100","Fire","Rare","Colorless","1","","","Combustion","Fire","1","30","","Ring of Fire","Fire, Colorless","2","50","Your opponent's Active Pokemon is now Burned. During your opponent's next turn, that Pokemon can't retreat.","Water","x2"
"swsh10-23","Cyndaquil","Pokemon","60","Fire","Common","Colorless","1","","","Charge Energy","Colorless","1","","Search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Live Coal","Colorless","1","10","","Water","x2"
"swsh10-24","Quilava","Pokemon","90","Fire","Uncommon","Colorless","1","","","Tackle","Colorless","1","20","","Flare","Colorless, Colorless","2","40","","Water","x2"
"swsh10-28","Psyduck","Pokemon","60","Water","Common","Colorless","1","","","Spacing Out","Colorless","1","","Flip a coin. If heads, heal 10 damage from this Pokemon.","Ram","Water, Colorless","2","20","","Lightning","x2"
"swsh10-29","Golduck","Pokemon","100","Water","Uncommon","Colorless","1","","","Aqua Edge","Water, Colorless","2","50","","Entangled Dive","Water, Water, Colorless","3","","Discard each player's Active Pokemon and all attached cards. (You choose a new Active Pokemon first.)","Lightning","x2"
"swsh10-31","Swinub","Pokemon","60","Water","Common","Colorless, Colorless","2","","","Stampede","Colorless, Colorless","2","20","","Icy Wind","Water, Colorless, Colorless","3","40","Your opponent's Active Pokemon is now Asleep.","Metal","x2"
"swsh10-32","Piloswine","Pokemon","90","Water","Uncommon","Colorless, Colorless, Colorless","3","","","Stampede","Colorless, Colorless","2","30","","Blizzard","Water, Colorless, Colorless","3","50","This attack also does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Metal","x2"
"swsh10-33","Mamoswine","Pokemon","180","Water","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Blizzard","Water, Colorless, Colorless","3","80","This attack also does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Iceberg Press","Water, Water, Colorless, Colorless","4","170","Discard an Energy from this Pokemon. During your opponent's next turn, the Defending Pokemon can't attack.","Metal","x2"
"swsh10-34","Mantine","Pokemon","110","Water","Common","Colorless","1","","","Borne Ashore","Colorless","1","","Put a Basic Pokemon from either player's discard pile onto that player's Bench.","Aqua Edge","Water, Water, Colorless","3","100","","Lightning","x2"
"swsh10-35","Barboach","Pokemon","60","Water","Common","Colorless","1","","","Rain Splash","Water, Colorless, Colorless","3","40","","","","","","","Lightning","x2"
