"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh9-1","Exeggcute","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Ram","Colorless","1","10","","Seed Bomb","Grass, Colorless","2","20","","Fire","x2"
"swsh9-2","Exeggutor","Pokemon","Stage 1","140","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Mega Drain","Grass, Colorless, Colorless","3","70","Heal 30 damage from this Pokemon.","Seed Bomb","Grass, Colorless, Colorless, Colorless","4","130","","Fire","x2"
"swsh9-3","Shroomish","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Headbutt","Grass","1","20","","","","","","","Fire","x2"
"swsh9-4","Breloom","Pokemon","Stage 1","110","Grass","Rare","Colorless","1","","","Spore Ball","Grass","1","30","Your opponent's Active Pokemon is now Asleep.","Powdery Uppercut","Grass","1","130","You can use this attack only if this Pokemon used Spore Ball during your last turn.","Fire","x2"
"swsh9-5","Tropius","Pokemon","Basic","110","Grass","Uncommon","Colorless","1","Curative Bower","All of your Pokemon that have Grass Energy attached can't be Confused, and if they are already Confused, they recover from that Special Condition.","Slicing Blade","Grass, Grass, Colorless","3","100","","","","","","","Fire","x2"
"swsh9-6","Turtwig","Pokemon","Basic","80","Grass","Common","Colorless, Colorless","2","","","Bite","Grass","1","10","","Headbutt Bounce","Grass, Colorless","2","20","","Fire","x2"
"swsh9-7","Grotle","Pokemon","Stage 1","100","Grass","Uncommon","Colorless, Colorless, Colorless","3","Sun-Drenched Shell","Once during your turn, you may search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","Razor Leaf","Grass, Colorless, Colorless","3","50","","","","","","","Fire","x2"
"swsh9-8","Torterra","Pokemon","Stage 2","190","Grass","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Evopress","Grass, Colorless","2","50x","This attack does 50 damage for each of your Evolution Pokemon in play.","Hammer In","Grass, Colorless, Colorless, Colorless","4","160","","Fire","x2"
"swsh9-9","Burmy","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Hang Down","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"swsh9-10","Wormadam","Pokemon","Stage 1","110","Grass","Rare","Colorless, Colorless","2","","","Matron's Anger","Colorless, Colorless","2","30+","This attack does 10 more damage for each Pokemon in your discard pile.","Leaf Drain","Grass, Colorless, Colorless","3","80","Heal 30 damage from this Pokemon.","Fire","x2"
