"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xy4-1","Venonat","Pokemon","60","Grass","Common","Colorless","1","","","Stun Spore","Grass, Colorless","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Fire","x2"
"xy4-2","Venomoth","Pokemon","90","Grass","Rare","Colorless","1","","","Dizzying Wind","Grass","1","","Whenever your opponent plays a Trainer card from his or her hand during his or her next turn, your opponent flips a coin. If tails, that card has no effect. (Your opponent still discards that card.)","Noxious Scales","Grass, Colorless, Colorless","3","50","Your opponent's Active Pokemon is now Confused and Poisoned.","Fire","x2"
"xy4-3","Yanma","Pokemon","70","Grass","Common","Colorless","1","","","Air Slash","Colorless, Colorless","2","30","Discard an Energy attached to this Pokemon.","","","","","","Lightning","x2"
"xy4-4","Yanmega","Pokemon","110","Grass","Rare","","0","","","Windfall","Grass","1","","Shuffle your hand into your deck. Then, draw 6 cards.","Surprise Strike","Colorless, Colorless, Colorless","3","50+","If this Pokemon was on the Bench and became your Active Pokemon this turn, this attack does 50 more damage.","Lightning","x2"
"xy4-5","Sewaddle","Pokemon","50","Grass","Common","Colorless","1","","","Nap","Grass","1","","Heal 20 damage from this Pokemon.","Bug Bite","Grass, Colorless","2","20","","Fire","x2"
"xy4-6","Swadloon","Pokemon","70","Grass","Uncommon","Colorless","1","","","Protect","Grass","1","","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","Corkscrew Punch","Grass, Grass, Colorless","3","40","","Fire","x2"
"xy4-7","Leavanny","Pokemon","130","Grass","Rare","Colorless","1","","","Coordinate","Grass","1","","Choose up to 2 of your Benched Pokemon that have no Pokemon Tools attached to them. For each of those Pokemon, search your deck for a Pokemon Tool card, and attach it to that Pokemon. Shuffle your deck afterward.","Leaf Storm","Grass, Grass, Colorless","3","70","Heal 20 damage from each of your Grass Pokemon.","Fire","x2"
"xy4-8","Karrablast","Pokemon","50","Grass","Common","Colorless","1","","","Peck","Colorless","1","10","","Headbutt","Grass, Colorless","2","20","","Fire","x2"
"xy4-9","Fletchinder","Pokemon","80","Fire","Uncommon","Colorless","1","","","Peck","Fire","1","20","","Combustion","Fire, Fire, Colorless","3","60","","Lightning","x2"
"xy4-10","Talonflame","Pokemon","130","Fire","Rare","Colorless","1","","","Acrobatics","Fire","1","30+","Flip 2 coins. This attack does 30 more damage for each heads.","Jet Shoot","Fire, Fire, Colorless","3","120","During your opponent's next turn, any damage done to this Pokemon by attacks is increased by 40 (after applying Weakness and Resistance).","Lightning","x2"
"xy4-11","Litleo","Pokemon","60","Fire","Common","Colorless, Colorless","2","","","Roar","Colorless","1","","Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.","Live Coal","Fire, Colorless","2","20","","Water","x2"
"xy4-12","Pyroar","Pokemon","110","Fire","Rare Holo","Colorless, Colorless","2","Flare Command","Once during your turn (before your attack), you may discard a Fire Energy attached to this Pokemon. If you do, switch 1 of your opponent's Benched Pokemon with his or her Active Pokemon.","Inferno Onrush","Fire, Fire, Fire, Colorless","4","110","This Pokemon does 30 damage to itself.","","","","","","Water","x2"
"xy4-13","Krabby","Pokemon","70","Water","Common","Colorless, Colorless","2","","","Vice Grip","Water","1","10","","Crabhammer","Water, Water, Water","3","50","","Grass","x2"
"xy4-14","Kingler","Pokemon","100","Water","Uncommon","Colorless, Colorless, Colorless","3","","","Guard Claw","Water","1","20","During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).","Crabhammer","Water, Water, Water, Water","4","100","","Grass","x2"
"xy4-15","Totodile","Pokemon","60","Water","Common","Colorless","1","","","Fury Strikes","Water","1","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","","","","","","Grass","x2"
"xy4-16","Croconaw","Pokemon","80","Water","Uncommon","Colorless, Colorless","2","","","Wave Splash","Water, Colorless","2","30","","Crunch","Water, Colorless, Colorless","3","40","Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon.","Grass","x2"
