"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xy9-1","Chikorita","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Tackle","Colorless","1","10","","Blot","Grass, Colorless","2","10","Heal 10 damage from this Pokemon.","Fire","x2"
"xy9-2","Bayleef","Pokemon","Stage 1","90","Grass","Uncommon","Colorless, Colorless","2","","","Body Slam","Colorless","1","20","Flip a coin. If heads, your opponent's active Pokemon is now Paralyzed.","Vine Whip","Grass, Colorless","2","30","","Fire","x2"
"xy9-3","Meganium","Pokemon","Stage 2","150","Grass","Rare Holo","Colorless, Colorless, Colorless","3","Overgrow","If this Pokemon's remaining HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Green Force","Grass, Grass, Colorless","3","50","Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.","","","","","","Fire","x2"
"xy9-4","Seedot","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Ram","Colorless","1","10","","","","","","","Fire","x2"
"xy9-5","Kricketot","Pokemon","Basic","60","Grass","Common","Colorless","1","","","Bug Hunch","Grass","1","","Search your deck for up to 3 Grass Pokemon, reveal them, and put them into your hand. Shuffle your deck afterward.","","","","","","Fire","x2"
"xy9-6","Kricketune","Pokemon","Stage 1","90","Grass","Uncommon","Colorless","1","","","Screech","Colorless","1","","During your next turn, any damage done to the Defending Pokemon by attacks is increased by 60 (after applying Weakness and Resistance).","Slash","Grass","1","40","","Fire","x2"
"xy9-7","Petilil","Pokemon","Basic","50","Grass","Common","Colorless","1","","","Aromatherapy","Grass","1","","Heal 10 damage from each of your Pokemon.","","","","","","Fire","x2"
"xy9-8","Lilligant","Pokemon","Stage 1","80","Grass","Rare","Colorless","1","","","Boo-Hoo","Grass","1","20","If your opponent attaches an Energy card from his or her hand to the Defending Pokemon during his or her next turn, that Pokemon will be Asleep.","Leaf Slice","Colorless, Colorless","2","30x","Flip 2 coins. This attack does 30 damage times the number of heads.","Fire","x2"
"xy9-9","Durant","Pokemon","Basic","70","Grass","Uncommon","Colorless","1","","","Mountain Munch","Grass","1","10","Discard the top card of your opponent's deck.","Scrape Down","Grass, Colorless","2","","If this Pokemon has any damage counters on it, discard the top 4 cards of your opponent's deck.","Fire","x2"
"xy9-10","Growlithe","Pokemon","Basic","70","Fire","Common","Colorless, Colorless","2","","","Bite","Colorless, Colorless","2","20","","","","","","","Water","x2"
"xy9-11","Arcanine","Pokemon","Stage 1","110","Fire","Uncommon","Colorless, Colorless","2","","","Flop","Colorless","1","30","","Flamethrower","Fire, Fire, Colorless","3","90","Discard an Energy attached to this Pokemon.","Water","x2"
"xy9-12","Numel","Pokemon","Basic","80","Fire","Common","Colorless, Colorless, Colorless","3","","","Tackle","Colorless","1","10","","Combustion","Fire, Fire, Colorless","3","40","","Water","x2"
"xy9-13","Camerupt","Pokemon","Stage 1","130","Fire","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Ram","Colorless, Colorless","2","30","","Eruption","Fire, Fire, Colorless","3","80+","Each player discards the top card of his or her deck. This attack does 60 more damage for each Energy card discarded in this way.","Water","x2"
"xy9-15","Heatmor","Pokemon","Basic","100","Fire","Uncommon","Colorless, Colorless","2","","","Reinforced Flame","Fire","1","20+","If this Pokemon has a Pokemon Tool card attached to it, this attack does 20 more damage.","Heat Blast","Fire, Colorless, Colorless","3","70","","Water","x2"
"xy9-16","Psyduck","Pokemon","Basic","60","Water","Common","Colorless","1","","","Stampede","Colorless, Colorless","2","20","","","","","","","Grass","x2"
"xy9-17","Golduck","Pokemon","Stage 1","100","Water","Rare","Colorless","1","","","Derail","Water","1","20","Discard a Special Energy attached to your opponent's Active Pokemon.","Hydro Splash","Water, Colorless, Colorless","3","70","","Grass","x2"
"xy9-19","Slowpoke","Pokemon","Basic","70","Water","Common","Colorless, Colorless","2","","","Headbutt","Colorless","1","10","","Tail Lure","Colorless, Colorless","2","","Search your deck for a Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.","Grass","x2"
"xy9-20","Slowbro","Pokemon","Stage 1","100","Water","Uncommon","Colorless, Colorless","2","","","Careless Head","Water","1","10+","Flip a coin. If heads, this attack does 50 more damage.","Walk-Off Homer","Colorless, Colorless, Colorless","3","","If you use this attack when you have only 1 Prize card left, you win this game.","Grass","x2"
"xy9-21","Slowking","Pokemon","Stage 1","100","Water","Rare Holo","Colorless, Colorless","2","Royal Flash","Once during your turn (before your attack), you may flip a coin. If heads, move an Energy from your opponent's Active Pokemon to 1 of his or her Benched Pokemon.","Psych Up","Water, Colorless","2","40","During your next turn, this Pokemon's Psych Up attack does 40 more damage (before applying Weakness and Resistance).","","","","","","Grass","x2"
"xy9-22","Shellder","Pokemon","Basic","60","Water","Common","Colorless, Colorless","2","","","Razor Shell","Water","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Grass","x2"
"xy9-23","Shellder","Pokemon","Basic","60","Water","Common","Colorless","1","","","Clamp","Water, Colorless","2","30","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. If tails, this attack does nothing.","","","","","","Grass","x2"
"xy9-24","Cloyster","Pokemon","Stage 1","100","Water","Uncommon","Colorless, Colorless","2","","","Sudden Grip","Water","1","10","If this Pokemon evolved from Shellder during this turn, your opponent's Active Pokemon is now Paralyzed.","Surf","Water, Colorless, Colorless","3","70","","Grass","x2"
"xy9-25","Staryu","Pokemon","Basic","40","Water","Common","","0","","","Smack","Water","1","20","","","","","","","Grass","x2"
