"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sm3-1","Caterpie","Pokémon","Basic","50","Grass","Colorless","Common"
"sm3-2","Metapod","Pokémon","Stage 1","80","Grass","Colorless, Colorless","Uncommon"
"sm3-3","Butterfree","Pokémon","Stage 2","120","Grass","Colorless","Rare"
"sm3-4","Oddish","Pokémon","Basic","50","Grass","Colorless","Common"
"sm3-5","Gloom","Pokémon","Stage 1","80","Grass","Colorless, Colorless","Uncommon"
"sm3-6","Vileplume","Pokémon","Stage 2","140","Grass","Colorless, Colorless, Colorless","Rare Holo"
"sm3-7","Tangela","Pokémon","Basic","80","Grass","Colorless, Colorless","Common"
"sm3-8","Tangrowth","Pokémon","Stage 1","140","Grass","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-9","Ledyba","Pokémon","Basic","60","Grass","Colorless","Common"
"sm3-10","Ledian","Pokémon","Stage 1","90","Grass","Colorless","Rare"
"sm3-11","Heracross","Pokémon","Basic","110","Grass","Colorless, Colorless","Rare"
"sm3-12","Pansage","Pokémon","Basic","70","Grass","Colorless","Common"
"sm3-13","Simisage","Pokémon","Stage 1","90","Grass","Colorless","Uncommon"
"sm3-14","Dewpider","Pokémon","Basic","60","Grass","Colorless","Common"
"sm3-15","Araquanid","Pokémon","Stage 1","100","Grass","Colorless","Rare"
"sm3-16","Wimpod","Pokémon","Basic","70","Grass","Colorless, Colorless, Colorless","Common"
"sm3-17","Golisopod-GX","Pokémon","Stage 1, GX","210","Grass","Colorless, Colorless, Colorless","Rare Holo GX"
"sm3-18","Charmander","Pokémon","Basic","70","Fire","Colorless","Common"
"sm3-18a","Charmander","Pokémon","Basic","70","Fire","Colorless","Common"
"sm3-19","Charmeleon","Pokémon","Stage 1","90","Fire","Colorless, Colorless","Uncommon"
"sm3-20","Charizard-GX","Pokémon","Stage 2, GX","250","Fire","Colorless, Colorless","Rare Holo GX"
"sm3-21","Ho-Oh-GX","Pokémon","Basic, GX","190","Fire","Colorless, Colorless","Rare Holo GX"
"sm3-22","Pansear","Pokémon","Basic","70","Fire","Colorless","Common"
"sm3-23","Simisear","Pokémon","Stage 1","90","Fire","Colorless","Uncommon"
"sm3-24","Heatmor","Pokémon","Basic","110","Fire","Colorless, Colorless","Uncommon"
"sm3-25","Salazzle-GX","Pokémon","Stage 1, GX","200","Fire","Colorless, Colorless","Rare Holo GX"
"sm3-26","Turtonator","Pokémon","Basic","130","Fire","Colorless, Colorless, Colorless","Rare"
"sm3-27","Alolan Vulpix","Pokémon","Basic","60","Water","Colorless","Common"
"sm3-28","Alolan Ninetales","Pokémon","Stage 1","110","Water","Colorless","Rare"
"sm3-29","Horsea","Pokémon","Basic","60","Water","Colorless","Common"
"sm3-30","Seadra","Pokémon","Stage 1","80","Water","Colorless","Uncommon"
"sm3-31","Kingdra","Pokémon","Stage 2","140","Water","Colorless","Rare Holo"
"sm3-32","Magikarp","Pokémon","Basic","30","Water","Colorless","Common"
"sm3-33","Gyarados","Pokémon","Stage 1","150","Water","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-34","Marill","Pokémon","Basic","60","Water","Colorless","Common"
"sm3-35","Azumarill","Pokémon","Stage 1","120","Water","Colorless, Colorless, Colorless","Rare"
"sm3-36","Panpour","Pokémon","Basic","70","Water","Colorless","Common"
"sm3-37","Simipour","Pokémon","Stage 1","90","Water","Colorless","Uncommon"
"sm3-38","Bruxish","Pokémon","Basic","100","Water","Colorless","Rare"
"sm3-39","Tapu Fini-GX","Pokémon","Basic, GX","170","Water","Colorless","Rare Holo GX"
"sm3-39a","Tapu Fini-GX","Pokémon","Basic, GX","170","Water","Colorless","Rare Holo GX"
"sm3-40","Pikachu","Pokémon","Basic","60","Lightning","Colorless","Common"
"sm3-41","Raichu","Pokémon","Stage 1","110","Lightning","Colorless","Rare Holo"
"sm3-42","Electabuzz","Pokémon","Basic","80","Lightning","Colorless, Colorless","Uncommon"
"sm3-43","Electivire","Pokémon","Stage 1","140","Lightning","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-44","Tynamo","Pokémon","Basic","40","Lightning","Colorless","Common"
"sm3-45","Eelektrik","Pokémon","Stage 1","90","Lightning","Colorless, Colorless","Uncommon"
"sm3-46","Eelektross","Pokémon","Stage 2","140","Lightning","Colorless, Colorless, Colorless","Rare"
"sm3-47","Togedemaru","Pokémon","Basic","80","Lightning","Colorless","Common"
"sm3-48","Slowking","Pokémon","Stage 1","120","Psychic","Colorless, Colorless","Rare"
"sm3-49","Wobbuffet","Pokémon","Basic","120","Psychic","Colorless, Colorless, Colorless","Uncommon"
"sm3-50","Seviper","Pokémon","Basic","100","Psychic","Colorless, Colorless","Uncommon"
"sm3-51","Duskull","Pokémon","Basic","60","Psychic","Colorless","Common"
"sm3-52","Dusclops","Pokémon","Stage 1","90","Psychic","Colorless, Colorless, Colorless","Uncommon"
"sm3-53","Dusknoir","Pokémon","Stage 2","150","Psychic","Colorless, Colorless, Colorless","Rare Holo"
"sm3-54","Croagunk","Pokémon","Basic","60","Psychic","Colorless","Common"
"sm3-55","Toxicroak","Pokémon","Stage 1","110","Psychic","Colorless, Colorless","Rare"
"sm3-56","Venipede","Pokémon","Basic","70","Psychic","Colorless, Colorless","Common"
"sm3-57","Whirlipede","Pokémon","Stage 1","90","Psychic","Colorless, Colorless, Colorless","Uncommon"
"sm3-58","Scolipede","Pokémon","Stage 2","160","Psychic","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-59","Espurr","Pokémon","Basic","60","Psychic","Colorless","Common"
"sm3-60","Meowstic","Pokémon","Stage 1","90","Psychic","Colorless","Rare"
"sm3-61","Sandygast","Pokémon","Basic","80","Psychic","Colorless, Colorless, Colorless","Common"
"sm3-62","Palossand","Pokémon","Stage 1","130","Psychic","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-63","Necrozma-GX","Pokémon","Basic, GX","180","Psychic","Colorless, Colorless","Rare Holo GX"
"sm3-64","Machamp-GX","Pokémon","Stage 2, GX","250","Fighting","Colorless, Colorless, Colorless","Rare Holo GX"
"sm3-65","Rhyhorn","Pokémon","Basic","80","Fighting","Colorless, Colorless, Colorless","Common"
"sm3-66","Rhydon","Pokémon","Stage 1","110","Fighting","Colorless, Colorless, Colorless, Colorless","Uncommon"
"sm3-67","Rhyperior","Pokémon","Stage 2","160","Fighting","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-68","Lunatone","Pokémon","Basic","90","Fighting","Colorless, Colorless","Uncommon"
"sm3-69","Solrock","Pokémon","Basic","90","Fighting","Colorless","Uncommon"
"sm3-70","Riolu","Pokémon","Basic","70","Fighting","Colorless","Common"
"sm3-71","Lucario","Pokémon","Stage 1","120","Fighting","Colorless","Rare Holo"
"sm3-72","Sawk","Pokémon","Basic","90","Fighting","Colorless, Colorless","Common"
"sm3-73","Crabrawler","Pokémon","Basic","80","Fighting","Colorless, Colorless","Common"
"sm3-74","Crabominable","Pokémon","Stage 1","140","Fighting","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-75","Lycanroc","Pokémon","Stage 1","110","Fighting","Colorless, Colorless","Rare Holo"
"sm3-76","Lycanroc","Pokémon","Stage 1","110","Fighting","Colorless, Colorless","Rare"
"sm3-77","Mudbray","Pokémon","Basic","80","Fighting","Colorless, Colorless","Common"
"sm3-78","Mudsdale","Pokémon","Stage 1","130","Fighting","Colorless, Colorless, Colorless","Rare"
"sm3-79","Passimian","Pokémon","Basic","110","Fighting","Colorless","Rare"
"sm3-80","Marshadow-GX","Pokémon","Basic, GX","150","Fighting","Colorless","Rare Holo GX"
"sm3-81","Alolan Rattata","Pokémon","Basic","40","Darkness","Colorless","Common"
"sm3-82","Alolan Raticate","Pokémon","Stage 1","120","Darkness","Colorless, Colorless, Colorless","Rare"
"sm3-83","Alolan Grimer","Pokémon","Basic","80","Darkness","Colorless, Colorless, Colorless","Common"
"sm3-84","Alolan Muk-GX","Pokémon","Stage 1, GX","220","Darkness","Colorless, Colorless, Colorless, Colorless","Rare Holo GX"
"sm3-85","Sneasel","Pokémon","Basic","70","Darkness","Colorless","Common"
"sm3-86","Weavile","Pokémon","Stage 1","90","Darkness","","Rare"
"sm3-87","Darkrai","Pokémon","Basic","120","Darkness","Colorless, Colorless","Rare Holo"
"sm3-88","Darkrai-GX","Pokémon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Holo GX"
"sm3-88a","Darkrai-GX","Pokémon","Basic, GX","180","Darkness","Colorless, Colorless","Rare Holo GX"
"sm3-89","Inkay","Pokémon","Basic","60","Darkness","Colorless","Common"
"sm3-90","Malamar","Pokémon","Stage 1","100","Darkness","Colorless","Rare"
"sm3-91","Ralts","Pokémon","Basic","60","Fairy","Colorless","Common"
"sm3-92","Kirlia","Pokémon","Stage 1","80","Fairy","Colorless","Uncommon"
"sm3-92a","Kirlia","Pokémon","Stage 1","80","Fairy","Colorless","Uncommon"
"sm3-93","Gardevoir-GX","Pokémon","Stage 2, GX","230","Fairy","Colorless, Colorless","Rare Holo GX"
"sm3-94","Diancie","Pokémon","Basic","90","Fairy","Colorless","Rare Holo"
"sm3-95","Cutiefly","Pokémon","Basic","30","Fairy","","Common"
"sm3-96","Ribombee","Pokémon","Stage 1","70","Fairy","Colorless","Uncommon"
"sm3-97","Morelull","Pokémon","Basic","60","Fairy","Colorless","Common"
"sm3-98","Shiinotic","Pokémon","Stage 1","100","Fairy","Colorless, Colorless","Rare"
"sm3-99","Noivern-GX","Pokémon","Stage 1, GX","200","Dragon","","Rare Holo GX"
"sm3-100","Zygarde","Pokémon","Basic","150","Dragon","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-101","Meowth","Pokémon","Basic","60","Colorless","Colorless","Common"
"sm3-102","Persian","Pokémon","Stage 1","90","Colorless","Colorless","Rare"
"sm3-103","Porygon","Pokémon","Basic","60","Colorless","Colorless","Common"
"sm3-104","Porygon2","Pokémon","Stage 1","80","Colorless","Colorless","Uncommon"
"sm3-105","Porygon-Z","Pokémon","Stage 2","130","Colorless","Colorless, Colorless","Rare Holo"
"sm3-105a","Porygon-Z","Pokémon","Stage 2","130","Colorless","Colorless, Colorless","Rare Holo"
"sm3-106","Hoothoot","Pokémon","Basic","60","Colorless","Colorless","Common"
"sm3-107","Noctowl","Pokémon","Stage 1","90","Colorless","Colorless","Uncommon"
"sm3-108","Bouffalant","Pokémon","Basic","120","Colorless","Colorless, Colorless","Uncommon"
"sm3-109","Noibat","Pokémon","Basic","50","Colorless","Colorless","Common"
"sm3-110","Stufful","Pokémon","Basic","70","Colorless","Colorless, Colorless","Common"
"sm3-111","Bewear","Pokémon","Stage 1","120","Colorless","Colorless, Colorless","Rare"
"sm3-112","Acerola","Trainer","Supporter",,"","","Uncommon"
"sm3-112a","Acerola","Trainer","Supporter",,"","","Uncommon"
"sm3-113","Bodybuilding Dumbbells","Trainer","Pokémon Tool",,"","","Uncommon"
"sm3-114","Escape Rope","Trainer","Item",,"","","Uncommon"
"sm3-115","Guzma","Trainer","Supporter",,"","","Uncommon"
"sm3-115a","Guzma","Trainer","Supporter",,"","","Uncommon"
"sm3-116","Kiawe","Trainer","Supporter",,"","","Uncommon"
"sm3-116a","Kiawe","Trainer","Supporter",,"","","Uncommon"
"sm3-117","Lana","Trainer","Supporter",,"","","Uncommon"
"sm3-118","Mount Lanakila","Trainer","Stadium",,"","","Uncommon"
"sm3-119","Olivia","Trainer","Supporter",,"","","Uncommon"
"sm3-120","Plumeria","Trainer","Supporter",,"","","Uncommon"
"sm3-121","Po Town","Trainer","Stadium",,"","","Uncommon"
"sm3-122","Rotom Dex Poké Finder Mode","Trainer","Item",,"","","Uncommon"
"sm3-123","Sophocles","Trainer","Supporter",,"","","Uncommon"
