"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sm3-1","Caterpie","Pokemon","Basic","50","Grass","Colorless","Common"
"sm3-2","Metapod","Pokemon","Stage 1","80","Grass","Colorless, Colorless","Uncommon"
"sm3-3","Butterfree","Pokemon","Stage 2","120","Grass","Colorless","Rare"
"sm3-4","Oddish","Pokemon","Basic","50","Grass","Colorless","Common"
"sm3-5","Gloom","Pokemon","Stage 1","80","Grass","Colorless, Colorless","Uncommon"
"sm3-6","Vileplume","Pokemon","Stage 2","140","Grass","Colorless, Colorless, Colorless","Rare Holo"
"sm3-7","Tangela","Pokemon","Basic","80","Grass","Colorless, Colorless","Common"
"sm3-8","Tangrowth","Pokemon","Stage 1","140","Grass","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-9","Ledyba","Pokemon","Basic","60","Grass","Colorless","Common"
"sm3-10","Ledian","Pokemon","Stage 1","90","Grass","Colorless","Rare"
"sm3-11","Heracross","Pokemon","Basic","110","Grass","Colorless, Colorless","Rare"
"sm3-12","Pansage","Pokemon","Basic","70","Grass","Colorless","Common"
"sm3-13","Simisage","Pokemon","Stage 1","90","Grass","Colorless","Uncommon"
"sm3-14","Dewpider","Pokemon","Basic","60","Grass","Colorless","Common"
"sm3-15","Araquanid","Pokemon","Stage 1","100","Grass","Colorless","Rare"
"sm3-16","Wimpod","Pokemon","Basic","70","Grass","Colorless, Colorless, Colorless","Common"
"sm3-17","Golisopod-GX","Pokemon","Stage 1, GX","210","Grass","Colorless, Colorless, Colorless","Rare Holo GX"
"sm3-18","Charmander","Pokemon","Basic","70","Fire","Colorless","Common"
"sm3-18a","Charmander","Pokemon","Basic","70","Fire","Colorless","Common"
"sm3-19","Charmeleon","Pokemon","Stage 1","90","Fire","Colorless, Colorless","Uncommon"
"sm3-20","Charizard-GX","Pokemon","Stage 2, GX","250","Fire","Colorless, Colorless","Rare Holo GX"
"sm3-21","Ho-Oh-GX","Pokemon","Basic, GX","190","Fire","Colorless, Colorless","Rare Holo GX"
"sm3-22","Pansear","Pokemon","Basic","70","Fire","Colorless","Common"
"sm3-23","Simisear","Pokemon","Stage 1","90","Fire","Colorless","Uncommon"
"sm3-24","Heatmor","Pokemon","Basic","110","Fire","Colorless, Colorless","Uncommon"
"sm3-25","Salazzle-GX","Pokemon","Stage 1, GX","200","Fire","Colorless, Colorless","Rare Holo GX"
"sm3-26","Turtonator","Pokemon","Basic","130","Fire","Colorless, Colorless, Colorless","Rare"
"sm3-27","Alolan Vulpix","Pokemon","Basic","60","Water","Colorless","Common"
"sm3-28","Alolan Ninetales","Pokemon","Stage 1","110","Water","Colorless","Rare"
"sm3-29","Horsea","Pokemon","Basic","60","Water","Colorless","Common"
"sm3-30","Seadra","Pokemon","Stage 1","80","Water","Colorless","Uncommon"
"sm3-31","Kingdra","Pokemon","Stage 2","140","Water","Colorless","Rare Holo"
"sm3-32","Magikarp","Pokemon","Basic","30","Water","Colorless","Common"
"sm3-33","Gyarados","Pokemon","Stage 1","150","Water","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"sm3-34","Marill","Pokemon","Basic","60","Water","Colorless","Common"
"sm3-35","Azumarill","Pokemon","Stage 1","120","Water","Colorless, Colorless, Colorless","Rare"
"sm3-36","Panpour","Pokemon","Basic","70","Water","Colorless","Common"
"sm3-37","Simipour","Pokemon","Stage 1","90","Water","Colorless","Uncommon"
"sm3-38","Bruxish","Pokemon","Basic","100","Water","Colorless","Rare"
"sm3-39","Tapu Fini-GX","Pokemon","Basic, GX","170","Water","Colorless","Rare Holo GX"
"sm3-39a","Tapu Fini-GX","Pokemon","Basic, GX","170","Water","Colorless","Rare Holo GX"
"sm3-40","Pikachu","Pokemon","Basic","60","Lightning","Colorless","Common"
"sm3-41","Raichu","Pokemon","Stage 1","110","Lightning","Colorless","Rare Holo"
"sm3-42","Electabuzz","Pokemon","Basic","80","Lightning","Colorless, Colorless","Uncommon"
"sm3-43","Electivire","Pokemon","Stage 1","140","Lightning","Colorless, Colorless, Colorless, Colorless","Rare"
"sm3-44","Tynamo","Pokemon","Basic","40","Lightning","Colorless","Common"
"sm3-45","Eelektrik","Pokemon","Stage 1","90","Lightning","Colorless, Colorless","Uncommon"
"sm3-46","Eelektross","Pokemon","Stage 2","140","Lightning","Colorless, Colorless, Colorless","Rare"
"sm3-47","Togedemaru","Pokemon","Basic","80","Lightning","Colorless","Common"
"sm3-48","Slowking","Pokemon","Stage 1","120","Psychic","Colorless, Colorless","Rare"
"sm3-49","Wobbuffet","Pokemon","Basic","120","Psychic","Colorless, Colorless, Colorless","Uncommon"
"sm3-50","Seviper","Pokemon","Basic","100","Psychic","Colorless, Colorless","Uncommon"
"sm3-51","Duskull","Pokemon","Basic","60","Psychic","Colorless","Common"
"sm3-52","Dusclops","Pokemon","Stage 1","90","Psychic","Colorless, Colorless, Colorless","Uncommon"
"sm3-53","Dusknoir","Pokemon","Stage 2","150","Psychic","Colorless, Colorless, Colorless","Rare Holo"
"sm3-54","Croagunk","Pokemon","Basic","60","Psychic","Colorless","Common"
"sm3-55","Toxicroak","Pokemon","Stage 1","110","Psychic","Colorless, Colorless","Rare"
"sm3-56","Venipede","Pokemon","Basic","70","Psychic","Colorless, Colorless","Common"
"sm3-57","Whirlipede","Pokemon","Stage 1","90","Psychic","Colorless, Colorless, Colorless","Uncommon"
"sm3-58","Scolipede","Pokemon","Stage 2","160","Psychic","Colorless, Colorless, Colorless, Colorless","Rare"
